InvoiceID,DiscountID,AppliedDate
INV088013,DST0025,2022-06-28
INV005495,DST0021,2024-03-23
INV065627,DST0022,2023-12-16
INV005616,DST0062,2023-06-19
INV083928,DST0067,2024-09-01
INV068591,DST0042,2024-06-05
INV001120,DST0070,2022-10-15
INV078886,DST0078,2023-07-08
INV019419,DST0063,2023-10-25
INV015785,DST0013,2023-06-20
INV063643,DST0033,2023-12-06
INV051934,DST0057,2024-07-31
INV079147,DST0013,2023-07-04
INV020877,DST0053,2024-10-20
INV055351,DST0058,2024-05-03
INV077393,DST0005,2024-12-12
INV040997,DST0021,2022-09-30
INV037735,DST0019,2022-10-10
INV030821,DST0044,2024-05-13
INV018799,DST0065,2024-11-26
INV088353,DST0018,2024-03-21
INV035228,DST0013,2024-09-25
INV064799,DST0003,2024-03-08
INV014642,DST0071,2023-11-18
INV022636,DST0038,2023-05-25
INV090025,DST0064,2023-07-10
INV010455,DST0022,2023-11-11
INV068247,DST0062,2024-04-03
INV045335,DST0026,2023-08-26
INV091720,DST0058,2022-09-19
INV070520,DST0062,2023-02-04
INV020274,DST0072,2023-12-17
INV056010,DST0034,2022-11-04
INV069731,DST0057,2024-12-12
INV032940,DST0068,2022-05-20
INV070581,DST0043,2023-10-21
INV089378,DST0057,2024-03-03
INV029479,DST0019,2024-08-28
INV041985,DST0063,2023-07-09
INV064265,DST0068,2022-05-23
INV086927,DST0037,2023-08-30
INV023579,DST0060,2024-12-18
INV015180,DST0025,2024-01-15
INV083243,DST0033,2022-02-27
INV016720,DST0075,2022-04-16
INV050901,DST0037,2024-10-04
INV026705,DST0062,2023-01-24
INV003215,DST0070,2023-10-22
INV030763,DST0058,2024-08-05
INV023648,DST0016,2023-08-26
INV063879,DST0029,2023-12-03
INV020890,DST0051,2022-01-02
INV045941,DST0011,2023-01-16
INV026028,DST0031,2023-03-25
INV004295,DST0024,2022-07-15
INV032289,DST0069,2024-07-18
INV082794,DST0064,2023-01-13
INV015507,DST0029,2023-01-04
INV094008,DST0036,2024-04-09
INV042079,DST0072,2022-08-30
INV087600,DST0038,2024-09-06
INV052903,DST0042,2024-04-08
INV067775,DST0018,2023-04-14
INV080530,DST0003,2022-04-25
INV055366,DST0021,2024-10-25
INV010753,DST0043,2022-09-03
INV043236,DST0001,2023-05-08
INV035613,DST0076,2024-12-04
INV065923,DST0052,2024-07-20
INV035327,DST0030,2024-11-18
INV036998,DST0033,2022-09-08
INV037151,DST0004,2024-09-11
INV029461,DST0048,2022-02-15
INV098000,DST0074,2024-12-31
INV040937,DST0076,2022-05-23
INV027605,DST0061,2023-01-08
INV050998,DST0013,2022-12-10
INV015225,DST0043,2022-09-12
INV002776,DST0070,2023-03-31
INV044192,DST0074,2023-09-27
INV059092,DST0013,2023-08-30
INV005534,DST0004,2022-10-02
INV081710,DST0040,2024-08-05
INV050765,DST0031,2023-03-14
INV008148,DST0011,2022-02-04
INV090732,DST0027,2022-11-13
INV051139,DST0062,2023-01-19
INV010752,DST0056,2024-07-22
INV056572,DST0032,2024-12-12
INV020049,DST0037,2023-06-06
INV053183,DST0062,2022-08-16
INV047348,DST0018,2023-07-28
INV054855,DST0027,2024-10-17
INV083558,DST0019,2024-05-19
INV097165,DST0022,2023-06-24
INV036454,DST0039,2022-01-20
INV067435,DST0076,2023-12-02
INV003148,DST0054,2022-10-08
INV007992,DST0020,2024-06-22
INV097891,DST0076,2023-06-24
INV054099,DST0077,2023-03-15
INV071625,DST0049,2023-06-27
INV076245,DST0073,2022-11-30
INV067825,DST0044,2023-07-09
INV067384,DST0011,2024-04-02
INV032324,DST0041,2023-02-17
INV067669,DST0042,2022-09-20
INV097159,DST0070,2024-07-25
INV047032,DST0014,2023-08-02
INV014158,DST0028,2023-09-18
INV072376,DST0079,2022-05-17
INV050418,DST0036,2024-10-12
INV031588,DST0003,2023-03-13
INV045822,DST0040,2024-08-19
INV065023,DST0075,2024-09-04
INV081796,DST0020,2023-09-06
INV077089,DST0015,2023-10-20
INV089094,DST0026,2024-11-13
INV051237,DST0042,2024-02-26
INV098545,DST0060,2024-02-15
INV032493,DST0039,2023-08-29
INV091092,DST0032,2022-05-22
INV033414,DST0028,2022-11-25
INV024495,DST0079,2024-04-13
INV017670,DST0057,2023-10-02
INV080530,DST0071,2023-01-10
INV090983,DST0044,2024-06-18
INV074257,DST0027,2022-09-07
INV071504,DST0053,2022-06-01
INV084889,DST0054,2023-06-13
INV019150,DST0060,2023-10-28
INV016868,DST0021,2024-08-29
INV023087,DST0005,2024-06-19
INV027044,DST0026,2022-08-15
INV048865,DST0051,2023-04-28
INV065595,DST0011,2022-04-18
INV055220,DST0023,2022-09-07
INV069608,DST0059,2022-06-16
INV013636,DST0004,2023-02-06
INV043752,DST0079,2023-10-27
INV091315,DST0056,2024-10-24
INV082809,DST0066,2024-09-27
INV001041,DST0072,2024-04-11
INV071046,DST0017,2023-12-20
INV046615,DST0063,2023-06-24
INV005021,DST0053,2022-09-06
INV025331,DST0008,2023-08-06
INV027791,DST0041,2022-06-03
INV022709,DST0005,2022-11-03
INV006699,DST0052,2023-11-19
INV000621,DST0035,2023-07-09
INV086160,DST0074,2022-06-01
INV060011,DST0057,2024-07-15
INV061581,DST0067,2024-11-29
INV049656,DST0020,2024-07-06
INV047642,DST0027,2024-12-07
INV087420,DST0036,2023-12-11
INV035696,DST0064,2022-06-01
INV084470,DST0057,2024-01-12
INV000075,DST0071,2023-08-29
INV077272,DST0015,2024-07-18
INV001894,DST0072,2022-06-03
INV032337,DST0059,2024-10-31
INV086210,DST0068,2023-05-09
INV095600,DST0031,2023-10-06
INV008330,DST0053,2024-10-12
INV081427,DST0071,2022-03-09
INV018355,DST0070,2023-04-19
INV006108,DST0056,2024-02-07
INV055184,DST0076,2022-03-26
INV096214,DST0070,2024-06-07
INV064341,DST0062,2023-09-26
INV079049,DST0047,2024-12-26
INV003027,DST0066,2023-07-24
INV015789,DST0015,2024-07-21
INV066595,DST0022,2022-01-21
INV045381,DST0067,2024-11-10
INV020056,DST0070,2023-04-24
INV044565,DST0042,2023-04-03
INV094682,DST0022,2023-05-23
INV088441,DST0003,2023-12-18
INV039384,DST0035,2023-03-03
INV032744,DST0020,2022-11-30
INV068906,DST0073,2023-12-26
INV006104,DST0077,2023-07-01
INV048529,DST0060,2022-01-19
INV065232,DST0034,2023-09-14
INV021289,DST0054,2023-07-12
INV003522,DST0065,2023-04-30
INV062237,DST0004,2024-06-01
INV052648,DST0003,2024-10-10
INV010367,DST0050,2024-05-29
INV073731,DST0007,2024-12-14
INV016290,DST0047,2022-08-29
