AppointmentID,CreateDate,CreateTime,Room,Date,Time,BranchID,ServiceID,CustomerID,RID
APP000001,2024-07-07,13:00:00,Phòng 9,2024-07-21,09:00:00,B008,SRV150828,CUS53528,E0010
APP000002,2023-12-01,13:00:00,Phòng 1,2023-12-18,09:00:00,B004,SRV141740,CUS01509,E0472
APP000003,2023-02-05,11:30:00,Phòng 3,2023-02-16,10:00:00,B007,SRV12729,CUS33216,E0044
APP000004,2022-03-13,13:00:00,Phòng 4,2022-03-31,09:00:00,B003,SRV178091,CUS10166,E0309
APP000005,2023-06-10,11:30:00,Phòng 9,2023-06-27,16:00:00,B003,SRV23434,CUS10870,E0366
APP000006,2024-07-09,13:00:00,Phòng 9,2024-07-28,10:00:00,B003,SRV173322,CUS28424,E0279
APP000007,2023-09-02,11:30:00,Phòng 10,2023-09-03,09:00:00,B005,SRV12803,CUS45770,E0284
APP000008,2022-09-15,07:30:00,Phòng 7,2022-09-18,14:00:00,B009,SRV3461,CUS69546,E0381
APP000009,2024-09-27,07:30:00,Phòng 10,2024-10-20,16:00:00,B008,SRV9695,CUS02283,E0149
APP000010,2022-09-02,13:00:00,Phòng 7,2022-09-10,09:00:00,B008,SRV16786,CUS69005,E0261
APP000011,2023-08-15,07:30:00,Phòng 1,2023-08-28,08:00:00,B006,SRV149730,CUS67399,E0463
APP000012,2024-03-29,07:30:00,Phòng 3,2024-04-16,16:00:00,B010,SRV71349,CUS72197,E0149
APP000013,2022-05-27,13:00:00,Phòng 1,2022-05-28,09:00:00,B008,SRV55295,CUS67023,E0079
APP000014,2024-09-02,13:00:00,Phòng 10,2024-09-06,10:00:00,B006,SRV120288,CUS32433,E0253
APP000015,2022-04-25,13:00:00,Phòng 9,2022-05-24,10:00:00,B008,SRV101347,CUS52889,E0454
APP000016,2023-10-16,13:00:00,Phòng 5,2023-11-12,10:00:00,B008,SRV110429,CUS55018,E0275
APP000017,2022-01-22,07:30:00,Phòng 2,2022-02-12,09:00:00,B003,SRV76598,CUS17924,E0256
