BranchID,ProductID,StockQuantity
B001,PRD0032,257
B003,PRD0680,32
B007,PRD1065,150
B005,PRD1413,268
B006,PRD0162,150
B003,PRD1349,222
B003,PRD0973,42
B008,PRD0607,137
B002,PRD0582,193
B007,PRD0974,269
B008,PRD0422,7
B002,PRD1340,269
B010,PRD0175,277
B003,PRD1030,199
B003,PRD0698,108
B001,PRD0992,97
B005,PRD0275,123
B009,PRD1269,248
B004,PRD1284,95
B003,PRD0114,116
B002,PRD0595,182
B006,PRD1491,267
B002,PRD0051,227
B005,PRD0549,185
B009,PRD0180,42
B010,PRD1400,286
B008,PRD1356,232
B006,PRD0899,129
B001,PRD0955,291
B001,PRD0795,139
B004,PRD0885,80
B006,PRD0519,51
B009,PRD0489,84
B009,PRD0573,280
B002,PRD0114,72
B008,PRD0197,240
B006,PRD1337,103
B008,PRD0489,225
B002,PRD0878,109
B005,PRD0223,54
B001,PRD0842,100
B004,PRD0540,179
B008,PRD1410,52
B005,PRD0744,50
B010,PRD1281,225
B009,PRD0289,131
B002,PRD0169,179
B001,PRD1277,205
B008,PRD0729,122
B002,PRD1188,270
B001,PRD0801,56
B009,PRD1258,238
B008,PRD0329,274
B006,PRD0581,191
B010,PRD1286,180
B007,PRD0916,176
B003,PRD1374,97
B005,PRD0020,189
B010,PRD0362,159
B008,PRD1192,281
B008,PRD0618,7
B007,PRD1273,195
B010,PRD0536,247
B001,PRD1179,41
B002,PRD0349,241
B008,PRD1500,111
B010,PRD1210,222
B005,PRD0445,228
B008,PRD0043,258
B007,PRD0921,236
B008,PRD0540,99
B009,PRD0454,95
B003,PRD1393,252
B003,PRD0841,160
B008,PRD1239,113
B009,PRD0130,108
B002,PRD0118,77
B002,PRD0188,168
B009,PRD1443,31
B009,PRD0537,149
B007,PRD1039,262
B010,PRD1020,62
B010,PRD0139,81
B004,PRD0447,165
B010,PRD1092,49
B008,PRD1091,34
B003,PRD0616,35
B006,PRD0868,45
B005,PRD0376,57
B003,PRD1202,292
B001,PRD0283,83
B007,PRD0595,276
B006,PRD0177,278
B007,PRD1095,5
B003,PRD0715,98
B005,PRD0943,296
B008,PRD0446,161
B009,PRD0103,80
B002,PRD0825,191
B004,PRD1079,115
B001,PRD0466,3
B006,PRD1303,26
B001,PRD1015,224
B004,PRD1096,33
B001,PRD0475,177
B008,PRD0481,109
B006,PRD0060,130
B004,PRD1262,171
B005,PRD0700,124
B008,PRD1460,90
B001,PRD0047,87
B002,PRD0226,70
B004,PRD0368,118
B001,PRD0052,142
B005,PRD1473,19
B006,PRD0620,3
B002,PRD1244,220
B004,PRD0666,203
B010,PRD0614,144
B001,PRD0103,171
B004,PRD1337,73
B010,PRD0532,217
B003,PRD0627,249
B006,PRD0544,281
B002,PRD0624,192
B003,PRD0103,276
B005,PRD1079,119
B005,PRD0957,270
B009,PRD0128,187
B002,PRD0116,36
B003,PRD0113,102
B009,PRD0416,218
B001,PRD0677,73
B009,PRD0874,275
B003,PRD0596,85
B009,PRD0382,38
B002,PRD0238,223
B009,PRD0317,211
B007,PRD0561,224
B005,PRD0013,165
B005,PRD0414,128
B006,PRD1238,209
B004,PRD0546,5
B005,PRD1070,109
B003,PRD0673,93
B005,PRD0780,36
B006,PRD1248,63
B005,PRD0473,73
B006,PRD1214,144
B007,PRD0100,177
B001,PRD1225,129
B008,PRD0427,121
B009,PRD1152,190
B002,PRD0879,192
B005,PRD1217,144
B006,PRD0961,275
B006,PRD1255,213
B003,PRD0139,178
B009,PRD0311,286
B009,PRD0123,233
B009,PRD1406,194
B005,PRD0962,111
B004,PRD0095,103
B004,PRD0176,97
B002,PRD1102,117
B007,PRD0593,115
B007,PRD1405,299
B009,PRD1036,73
B006,PRD0294,243
B008,PRD0901,296
B009,PRD1490,36
B004,PRD1447,295
B009,PRD1407,6
B001,PRD0493,156
B010,PRD0553,298
B001,PRD1339,239
B008,PRD0974,213
B008,PRD0485,189
B010,PRD0063,205
B003,PRD1441,234
B010,PRD1387,169
B001,PRD1281,2
B001,PRD1452,1
B002,PRD0076,100
B003,PRD0253,244
B002,PRD1288,106
B003,PRD1420,111
B006,PRD1211,226
B007,PRD0744,206
B008,PRD0927,45
B009,PRD0308,226
B003,PRD0212,198
B001,PRD0775,187
B002,PRD1201,222
B004,PRD1306,242
B004,PRD1417,89
B005,PRD1464,0
B007,PRD0251,151
B008,PRD0496,89
B007,PRD0541,11
B009,PRD1132,131
B008,PRD0199,275
B002,PRD0932,285
B004,PRD0874,257
B002,PRD0931,153
B002,PRD0480,188
B010,PRD1498,27
B010,PRD0072,250
B007,PRD0417,63
B006,PRD0176,130
B002,PRD0220,207
B009,PRD1181,135
B005,PRD0599,192
B010,PRD0490,259
B005,PRD1200,224
B008,PRD0959,18
B009,PRD1031,26
B006,PRD1032,4
B007,PRD0420,133
B006,PRD1468,222
B010,PRD0790,272
B004,PRD1033,96
B002,PRD0460,49
B001,PRD1013,271
B002,PRD0867,153
B004,PRD0547,204
B010,PRD1131,32
B010,PRD1093,228
B008,PRD0166,236
B009,PRD0249,27
B010,PRD0141,222
B008,PRD0629,220
B004,PRD0677,254
B003,PRD0326,9
B009,PRD0920,240
B002,PRD1408,88
B003,PRD1076,228
B007,PRD1444,138
B010,PRD0841,1
B007,PRD1015,102
B004,PRD0825,40
B006,PRD1424,205
B007,PRD0508,63
B010,PRD1310,275
B001,PRD0948,137
B002,PRD0198,126
B005,PRD1303,276
B004,PRD0153,217
B006,PRD0430,34
B007,PRD0838,82
B005,PRD0147,115
B009,PRD1211,182
B007,PRD0602,172
B008,PRD1354,0
B009,PRD0741,76
B004,PRD1053,267
B007,PRD0823,277
B004,PRD0225,208
B004,PRD0101,271
B008,PRD1495,151
B007,PRD0257,207
B009,PRD1249,142
B004,PRD1231,55
B001,PRD0738,238
B010,PRD0763,130
B004,PRD0589,137
B001,PRD0573,285
B009,PRD0783,189
B007,PRD0618,158
B010,PRD0777,253
B009,PRD1226,226
B004,PRD0469,283
B009,PRD0428,288
B001,PRD0828,228
B001,PRD1229,154
B005,PRD0595,232
B010,PRD1080,279
B002,PRD1394,151
B005,PRD0642,88
B004,PRD1086,130
B004,PRD0990,271
B001,PRD0181,46
B004,PRD0989,93
B001,PRD0957,188
B004,PRD0699,80
B009,PRD0426,226
B003,PRD1455,20
B007,PRD0270,153
B006,PRD0260,261
B007,PRD0425,67
B005,PRD0931,142
B010,PRD0767,118
B003,PRD0249,139
B009,PRD1304,37
B002,PRD1209,113
B005,PRD1218,278
B009,PRD1331,164
B003,PRD1227,216
B007,PRD0238,32
B002,PRD0781,222
B009,PRD0182,92
B004,PRD1346,265
B007,PRD1038,51
B007,PRD1340,117
B005,PRD0760,117
B010,PRD1408,86
B009,PRD0391,75
B010,PRD1218,200
B003,PRD0716,69
B010,PRD0823,224
B008,PRD1423,224
B006,PRD1085,265
B008,PRD0758,202
B005,PRD0869,55
B008,PRD0967,280
B001,PRD0776,276
B001,PRD0331,6
B005,PRD0073,200
B007,PRD0695,14
B003,PRD0778,40
B008,PRD0633,31
B004,PRD1222,11
B003,PRD0447,238
B010,PRD0550,212
B003,PRD0918,155
B003,PRD0882,153
B010,PRD0859,191
B009,PRD0593,133
B008,PRD1474,44
B010,PRD0668,252
B006,PRD0776,84
B002,PRD0403,63
B010,PRD1409,86
B010,PRD0581,31
B005,PRD0154,268
B002,PRD0869,182
B009,PRD0471,117
B002,PRD0753,73
B007,PRD1099,49
B002,PRD0432,150
B009,PRD0557,238
B010,PRD1134,289
B002,PRD1224,171
B003,PRD0020,33
B001,PRD0397,141
B005,PRD0320,67
B007,PRD1385,247
B007,PRD1030,20
B008,PRD0682,185
B005,PRD1000,174
B001,PRD0404,160
B005,PRD1357,274
B010,PRD0453,75
B001,PRD0147,99
B003,PRD1064,85
B010,PRD0961,90
B008,PRD0488,133
B005,PRD0338,171
B001,PRD0137,276
B009,PRD0987,258
B008,PRD0585,213
B008,PRD1244,157
B007,PRD1178,66
B008,PRD0073,241
B004,PRD1432,2
B002,PRD0642,131
B004,PRD1370,3
B002,PRD0045,286
B005,PRD1300,79
B001,PRD1471,211
B003,PRD0902,221
B002,PRD0493,295
B003,PRD0028,211
B007,PRD1442,52
B007,PRD1020,1
B009,PRD1190,151
B005,PRD0410,293
B008,PRD0924,2
B009,PRD0708,115
B010,PRD0531,285
B004,PRD1205,259
B010,PRD1407,277
B010,PRD0126,146
B003,PRD0934,226
B006,PRD0115,117
B005,PRD1071,140
B004,PRD0732,78
B001,PRD0863,152
B004,PRD0149,234
B002,PRD0361,190
B001,PRD0642,275
B002,PRD0669,281
B002,PRD1062,277
B005,PRD0602,100
B002,PRD0700,295
B008,PRD1360,52
B009,PRD0152,247
B010,PRD0947,79
B007,PRD0130,134
B010,PRD0270,90
B007,PRD1345,132
B010,PRD0900,53
B006,PRD0637,261
B010,PRD0793,150
B002,PRD0587,76
B009,PRD0145,56
B002,PRD1479,132
B009,PRD1379,206
B008,PRD1387,2
B004,PRD0896,186
B001,PRD1462,69
B001,PRD1221,141
B010,PRD0516,79
B001,PRD0952,195
B009,PRD0159,179
B006,PRD0225,214
B009,PRD0052,187
B004,PRD0161,222
B009,PRD0173,140
B002,PRD0353,130
B007,PRD0670,230
B002,PRD0985,206
B003,PRD1138,155
B001,PRD1423,25
B005,PRD0195,164
B010,PRD0830,78
B009,PRD0717,206
B006,PRD1132,21
B004,PRD0163,79
B008,PRD0696,222
B010,PRD0354,174
B008,PRD0501,64
B003,PRD0305,248
B002,PRD0278,265
B006,PRD0040,14
B008,PRD0555,245
B008,PRD1449,163
B008,PRD0340,246
B007,PRD1439,256
B008,PRD0681,161
B004,PRD0682,66
B002,PRD0639,219
B006,PRD1208,189
B005,PRD0047,298
B010,PRD0607,115
B010,PRD1036,4
B005,PRD1089,257
B007,PRD0914,146
B010,PRD1365,155
B004,PRD0066,189
B009,PRD1253,202
B002,PRD0547,225
B007,PRD0134,86
B010,PRD0282,299
B006,PRD0135,93
B007,PRD0401,118
B002,PRD0164,173
B009,PRD0719,54
B001,PRD1467,178
B005,PRD1044,166
B010,PRD0753,8
B006,PRD0243,82
B005,PRD0102,247
B008,PRD0046,243
B002,PRD0619,285
B003,PRD0198,248
B009,PRD1375,273
B002,PRD0419,57
B007,PRD0107,26
B001,PRD0231,269
B004,PRD1257,158
B001,PRD0609,25
B005,PRD0567,128
B006,PRD1033,92
B009,PRD1465,253
B001,PRD0519,98
B009,PRD0369,292
B010,PRD0030,285
B009,PRD0815,290
B009,PRD1377,270
B003,PRD0952,33
B002,PRD0993,225
B001,PRD1392,267
B001,PRD0509,94
B006,PRD1189,45
B001,PRD0780,145
B005,PRD1323,180
B003,PRD0748,55
B005,PRD1137,11
B003,PRD0935,280
B001,PRD0380,160
B002,PRD0949,206
B003,PRD0941,191
B001,PRD0837,173
B009,PRD1235,55
B005,PRD0124,87
B001,PRD1180,280
B006,PRD1108,109
B002,PRD1233,280
B002,PRD1093,297
B004,PRD0788,275
B008,PRD1424,286
B003,PRD1142,109
B004,PRD0344,294
B008,PRD0440,23
B004,PRD0027,177
B003,PRD1316,86
B007,PRD0981,129
B003,PRD0788,96
B004,PRD0304,228
B001,PRD0862,149
B010,PRD1039,22
B008,PRD1305,175
B008,PRD0266,266
B010,PRD0864,227
B010,PRD0079,225
B007,PRD0137,212
B004,PRD0361,73
B006,PRD1439,178
B001,PRD0855,272
B003,PRD0605,273
B004,PRD0387,290
B005,PRD0820,15
B010,PRD0291,13
B003,PRD0224,300
B003,PRD0102,114
B006,PRD0935,139
B005,PRD0166,196
B001,PRD1056,32
B009,PRD0596,292
B004,PRD0534,147
B004,PRD0574,139
B010,PRD1316,271
B007,PRD0743,252
B004,PRD1497,208
B006,PRD1228,68
B007,PRD1166,26
B001,PRD1165,69
B006,PRD0618,101
B009,PRD0390,64
B002,PRD1095,60
B002,PRD0488,81
B002,PRD0855,275
B004,PRD0265,179
B008,PRD1335,214
B007,PRD1053,11
B007,PRD0011,216
B009,PRD0095,209
B010,PRD0149,14
B007,PRD0724,291
B004,PRD0457,210
B008,PRD1413,95
B003,PRD0155,94
B007,PRD0560,6
B003,PRD1320,74
B005,PRD0513,299
B002,PRD1230,257
B006,PRD0038,244
B001,PRD1378,48
B006,PRD0723,264
B001,PRD1289,42
B007,PRD0871,147
B010,PRD1139,47
B010,PRD1208,9
