CardID,RegistrationDate,LoyalPoint,LevelID,CustomerID
CARD00001,2020-06-28,5759,L1,CUS42793
CARD00002,2020-01-19,6052,L2,CUS34622
CARD00003,2020-11-22,7196,L1,CUS05809
CARD00004,2022-08-19,1016,L2,CUS55446
CARD00005,2023-11-25,4695,L3,CUS59624
CARD00006,2020-07-20,7541,L1,CUS41429
CARD00007,2020-02-15,1873,L3,CUS71509
CARD00008,2022-10-09,8281,L1,CUS52775
CARD00009,2022-02-28,6086,L3,CUS44535
CARD00010,2022-02-15,4512,L2,CUS48213
CARD00011,2023-01-30,2136,L2,CUS40660
CARD00012,2021-06-05,5187,L3,CUS53050
CARD00013,2022-07-23,2305,L2,CUS33030
CARD00014,2020-06-10,1951,L2,CUS62437
CARD00015,2020-12-21,1684,L1,CUS11930
CARD00016,2021-06-19,6264,L3,CUS18896
CARD00017,2022-06-21,6079,L1,CUS22814
CARD00018,2021-03-08,5326,L1,CUS78392
CARD00019,2022-12-23,483,L1,CUS32450
CARD00020,2022-04-10,2857,L2,CUS58060
CARD00021,2024-08-23,5405,L1,CUS18784
CARD00022,2022-02-28,5091,L1,CUS22798
CARD00023,2022-06-30,6890,L1,CUS42362
CARD00024,2022-11-16,6088,L1,CUS50054
CARD00025,2021-02-17,4848,L3,CUS18669
CARD00026,2023-07-27,5864,L3,CUS44391
CARD00027,2022-08-03,5399,L2,CUS73492
CARD00028,2022-05-05,5393,L2,CUS59345
CARD00029,2022-10-27,1514,L2,CUS27261
CARD00030,2020-07-16,1521,L2,CUS65544
CARD00031,2020-09-13,9271,L2,CUS62504
CARD00032,2023-08-28,9466,L2,CUS12369
CARD00033,2023-01-10,7644,L2,CUS60800
CARD00034,2021-01-11,5129,L2,CUS60022
CARD00035,2023-09-27,3346,L1,CUS26148
CARD00036,2024-07-05,1731,L2,CUS16551
CARD00037,2024-05-31,8407,L3,CUS02761
CARD00038,2023-09-10,6177,L3,CUS34118
CARD00039,2022-05-05,3836,L1,CUS78738
CARD00040,2020-02-25,4456,L2,CUS56205
CARD00041,2023-04-11,3602,L3,CUS14330
CARD00042,2020-11-10,7503,L1,CUS47307
CARD00043,2022-12-08,8450,L2,CUS03734
CARD00044,2022-06-29,5112,L1,CUS63928
CARD00045,2023-04-23,3443,L2,CUS08027
CARD00046,2022-09-29,8563,L2,CUS79335
CARD00047,2022-04-13,927,L1,CUS29410
CARD00048,2020-05-08,5378,L3,CUS26078
CARD00049,2020-08-01,4479,L3,CUS70853
CARD00050,2023-07-26,3814,L2,CUS02292
CARD00051,2021-10-16,6146,L1,CUS48427
CARD00052,2023-06-28,879,L3,CUS14436
CARD00053,2021-12-08,662,L1,CUS66523
CARD00054,2023-02-10,1710,L3,CUS43198
CARD00055,2022-06-24,7284,L2,CUS69028
CARD00056,2021-09-15,3938,L1,CUS00871
CARD00057,2024-03-21,8380,L3,CUS51330
CARD00058,2023-12-19,6918,L1,CUS12226
CARD00059,2022-12-25,221,L3,CUS40276
CARD00060,2022-02-06,2965,L3,CUS08317
CARD00061,2021-11-09,299,L3,CUS35167
CARD00062,2023-04-06,6493,L3,CUS63819
CARD00063,2021-07-11,8990,L3,CUS65524
CARD00064,2022-03-17,5547,L2,CUS48982
CARD00065,2023-05-16,4849,L3,CUS23868
CARD00066,2021-03-07,9953,L3,CUS41980
CARD00067,2023-09-07,4931,L3,CUS67935
CARD00068,2024-06-27,4577,L2,CUS35155
CARD00069,2022-07-22,77,L2,CUS29505
CARD00070,2024-12-29,2056,L1,CUS41816
CARD00071,2021-01-12,3906,L2,CUS26295
CARD00072,2023-09-29,3728,L1,CUS00854
CARD00073,2021-01-07,1383,L2,CUS34802
CARD00074,2024-02-17,1218,L1,CUS78894
CARD00075,2021-07-04,1206,L2,CUS61068
CARD00076,2022-04-10,1617,L2,CUS52465
CARD00077,2024-09-19,5080,L1,CUS47332
CARD00078,2024-11-02,3171,L1,CUS53194
CARD00079,2024-06-07,7807,L3,CUS37002
CARD00080,2022-02-16,646,L1,CUS77401
CARD00081,2020-07-20,5605,L2,CUS22684
CARD00082,2023-09-29,1244,L2,CUS23476
CARD00083,2021-06-11,3390,L1,CUS53132
CARD00084,2022-01-12,9180,L2,CUS12272
CARD00085,2023-07-12,5874,L2,CUS33677
CARD00086,2021-09-06,4216,L1,CUS63941
CARD00087,2023-06-19,6007,L3,CUS70335
CARD00088,2020-06-03,5802,L2,CUS76575
CARD00089,2023-04-26,1131,L1,CUS76463
CARD00090,2024-05-27,1497,L3,CUS31583
CARD00091,2020-12-31,1625,L3,CUS65052
CARD00092,2023-03-30,7089,L2,CUS29796
CARD00093,2022-08-29,9628,L1,CUS67935
CARD00094,2022-11-23,7862,L1,CUS19760
CARD00095,2021-06-02,3835,L3,CUS66876
