DiscountID,DiscountName,StartDate,EndDate,TargetUser,Percentage,MID,MinLevelID
DST0001,Khuyến mãi thanh viên mới,2023-02-17,2023-03-20,Doanh nghiệp,0.05,E0325,L2
DST0002,Khuyến mãi tặng quà,2024-05-06,2024-06-07,Doanh nghiệp,0.25,E0306,L2
DST0003,Khuyến mãi mua kèm thức ăn,2023-06-22,2023-08-17,Khách hàng lần đầu,0.05,E0372,L3
DST0004,Giảm giá dịch vụ khám bệnh,2023-09-09,2023-09-21,Doanh nghiệp,0.25,E0325,L1
DST0005,Giảm 50% dịch vụ grooming,2023-02-16,2023-03-18,Tổ chức,0.2,E0323,L3
DST0006,Khuyến mãi cuối tuần,2023-03-06,2023-04-17,Thành viên Standard,0.1,E0424,L2
DST0007,Khuyến mãi mua kèm thức ăn,2023-06-06,2023-07-14,Khách hàng mới,0.1,E0325,L1
DST0008,Giảm giá thẻ thành viên,2024-01-04,2024-01-16,Thành viên Standard,0.2,E0327,L2
DST0009,Khuyến mãi mua kèm thức ăn,2023-08-28,2023-10-13,Thành viên VIP,0.25,E0272,L3
DST0010,Khuyến mãi cuối tuần,2023-01-14,2023-02-11,Khách hàng lần đầu,0.1,E0285,L3
DST0011,Khuyến mãi lên băng hàng tháng,2024-06-11,2024-07-22,Thành viên Cơ Bản,0.1,E0467,L3
DST0012,Khuyến mãi lên băng hàng tháng,2023-03-26,2023-04-16,Thành viên Cơ Bản,0.25,E0285,L1
DST0013,Combo vaccine tiêm phòng,2023-06-20,2023-07-07,Thành viên Cơ Bản,0.05,E0348,L1
DST0014,Giảm giá khách VIP,2023-10-15,2023-10-29,Khách hàng mới,0.2,E0323,L2
DST0015,Giảm giá dịch vụ khám bệnh,2023-03-18,2023-04-22,Thành viên Standard,0.15,E0306,L3
DST0016,Giảm giá thẻ thành viên,2023-12-11,2024-01-20,Khách hàng lần đầu,0.05,E0285,L1
DST0017,Giảm giá dành cho tập thể,2023-08-27,2023-10-04,Thành viên VIP,0.25,E0327,L2
DST0018,Khuyến mãi lên băng hàng tháng,2023-01-27,2023-02-09,Thành viên Cơ Bản,0.1,E0348,L2
DST0019,Giảm giá khách VIP,2023-08-10,2023-08-17,Thành viên Cơ Bản,0.05,E0348,L1
DST0020,Khuyến mãi cuối tuần,2023-09-29,2023-11-15,Thành viên VIP,0.05,E0467,L1
DST0021,Khuyến mãi mua kèm thức ăn,2024-06-15,2024-07-02,Thành viên Standard,0.25,E0285,L1
DST0022,Flash sale 20% tất cả sản phẩm,2023-02-23,2023-03-28,Hội viên CLB thú cưng,0.25,E0348,L2
DST0023,Flash sale 20% tất cả sản phẩm,2023-01-17,2023-02-24,Khách hàng lần đầu,0.1,E0323,L3
DST0024,Giảm giá dành cho tập thể,2023-12-19,2024-01-08,Doanh nghiệp,0.05,E0424,L3
DST0025,Khuyến mãi mua kèm thức ăn,2024-06-09,2024-06-29,Nhóm khách hàng đặc biệt,0.1,E0467,L2
DST0026,Giảm giá dịch vụ khám bệnh,2024-02-23,2024-03-14,Khách hàng mới,0.05,E0372,L2
DST0027,Khuyến mãi cuối tuần,2023-12-15,2024-01-05,Tổ chức,0.1,E0424,L2
DST0028,Giảm giá dành cho tập thể,2023-04-30,2023-05-24,Hội viên CLB thú cưng,0.25,E0325,L1
DST0029,Giảm giá dịch vụ khám bệnh,2023-12-08,2024-01-31,Tổ chức,0.2,E0348,L2
DST0030,Khuyến mãi tặng quà,2023-12-20,2024-01-28,Nhóm khách hàng đặc biệt,0.05,E0272,L1
DST0031,Khuyến mãi thanh viên mới,2024-02-13,2024-03-14,Thành viên Cơ Bản,0.2,E0327,L2
DST0032,Giảm 50% dịch vụ grooming,2024-05-02,2024-06-04,Khách hàng mới,0.25,E0327,L3
DST0033,Combo vaccine tiêm phòng,2023-12-24,2024-01-09,Hội viên CLB thú cưng,0.15,E0424,L3
DST0034,Giảm giá thẻ thành viên,2024-05-31,2024-07-09,Doanh nghiệp,0.25,E0467,L3
DST0035,Khuyến mãi tặng quà,2023-07-03,2023-08-24,Doanh nghiệp,0.25,E0272,L2
DST0036,Giảm giá thẻ thành viên,2023-07-17,2023-09-06,Tất cả khách hàng,0.05,E0467,L1
DST0037,Giảm giá dịch vụ khám bệnh,2023-08-21,2023-08-28,Hội viên CLB thú cưng,0.2,E0424,L1
DST0038,Giảm giá dành cho tập thể,2023-02-03,2023-02-14,Tất cả khách hàng,0.2,E0325,L3
DST0039,Flash sale 20% tất cả sản phẩm,2023-12-09,2024-01-15,Thành viên VIP,0.2,E0285,L3
DST0040,Giảm 50% dịch vụ grooming,2023-05-13,2023-07-10,Tổ chức,0.05,E0327,L1
DST0041,Khuyến mãi cuối tuần,2024-04-28,2024-06-08,Thành viên Cơ Bản,0.2,E0306,L1
DST0042,Giảm 50% dịch vụ grooming,2024-04-18,2024-05-01,Hội viên CLB thú cưng,0.1,E0323,L3
DST0043,Giảm giá dịch vụ khám bệnh,2024-03-24,2024-04-07,Khách hàng mới,0.2,E0306,L2
DST0044,Khuyến mãi mua kèm thức ăn,2023-08-28,2023-10-23,Tổ chức,0.15,E0272,L2
DST0045,Giảm giá dành cho tập thể,2023-11-23,2023-12-02,Tất cả khách hàng,0.05,E0327,L2
DST0046,Giảm giá thẻ thành viên,2023-04-24,2023-05-18,Khách hàng mới,0.2,E0348,L3
DST0047,Giảm giá khách VIP,2023-07-20,2023-08-06,Thành viên Cơ Bản,0.2,E0467,L3
DST0048,Giảm giá dịch vụ khám bệnh,2023-03-23,2023-05-19,Doanh nghiệp,0.2,E0272,L2
DST0049,Giảm 50% dịch vụ grooming,2023-01-07,2023-03-08,Thành viên VIP,0.25,E0323,L2
DST0050,Giảm giá dịch vụ khám bệnh,2024-06-21,2024-08-11,Thành viên Cơ Bản,0.05,E0467,L3
DST0051,Flash sale 20% tất cả sản phẩm,2024-05-06,2024-07-02,Thành viên Cơ Bản,0.05,E0372,L3
DST0052,Khuyến mãi cuối tuần,2023-11-06,2023-11-18,Khách hàng lần đầu,0.15,E0467,L2
DST0053,Giảm giá thẻ thành viên,2024-05-06,2024-06-08,Nhóm khách hàng đặc biệt,0.05,E0306,L1
DST0054,Giảm 50% dịch vụ grooming,2023-09-30,2023-10-23,Khách hàng mới,0.05,E0306,L2
DST0055,Giảm giá dành cho tập thể,2023-08-06,2023-09-06,Tất cả khách hàng,0.1,E0306,L2
DST0056,Giảm giá thẻ thành viên,2024-01-08,2024-02-13,Khách hàng mới,0.05,E0348,L3
DST0057,Khuyến mãi thanh viên mới,2023-02-27,2023-03-15,Tất cả khách hàng,0.1,E0306,L1
DST0058,Combo vaccine tiêm phòng,2023-11-16,2023-12-21,Tổ chức,0.2,E0348,L3
DST0059,Khuyến mãi cuối tuần,2023-04-04,2023-04-18,Tổ chức,0.25,E0323,L3
DST0060,Combo vaccine tiêm phòng,2023-11-23,2024-01-11,Thành viên Standard,0.15,E0325,L1
DST0061,Giảm giá dành cho tập thể,2024-02-20,2024-04-12,Hội viên CLB thú cưng,0.2,E0348,L1
DST0062,Giảm 50% dịch vụ grooming,2023-11-26,2023-12-20,Tổ chức,0.15,E0327,L3
DST0063,Khuyến mãi cuối tuần,2024-04-26,2024-05-07,Thành viên Cơ Bản,0.1,E0325,L2
DST0064,Khuyến mãi mua kèm thức ăn,2023-10-17,2023-11-22,Khách hàng lần đầu,0.05,E0424,L3
DST0065,Khuyến mãi mua kèm thức ăn,2023-06-21,2023-08-07,Thành viên Standard,0.15,E0325,L2
DST0066,Giảm 50% dịch vụ grooming,2023-06-23,2023-07-17,Hội viên CLB thú cưng,0.15,E0306,L3
DST0067,Flash sale 20% tất cả sản phẩm,2023-05-15,2023-07-01,Thành viên Cơ Bản,0.05,E0327,L3
DST0068,Khuyến mãi cuối tuần,2024-06-20,2024-08-04,Hội viên CLB thú cưng,0.2,E0424,L1
DST0069,Giảm giá khách VIP,2024-06-08,2024-06-15,Khách hàng lần đầu,0.05,E0306,L2
DST0070,Giảm giá dịch vụ khám bệnh,2023-10-08,2023-11-12,Thành viên Standard,0.05,E0327,L3
DST0071,Flash sale 20% tất cả sản phẩm,2023-08-16,2023-09-07,Thành viên Standard,0.05,E0272,L2
DST0072,Khuyến mãi lên băng hàng tháng,2023-06-18,2023-07-12,Khách hàng mới,0.2,E0325,L1
DST0073,Giảm giá dịch vụ khám bệnh,2024-05-27,2024-06-04,Tổ chức,0.1,E0348,L1
DST0074,Flash sale 20% tất cả sản phẩm,2023-02-01,2023-02-27,Tất cả khách hàng,0.05,E0272,L3
DST0075,Flash sale 20% tất cả sản phẩm,2023-12-01,2024-01-22,Thành viên VIP,0.05,E0372,L3
DST0076,Giảm 50% dịch vụ grooming,2024-06-13,2024-08-09,Doanh nghiệp,0.05,E0467,L3
DST0077,Khuyến mãi lên băng hàng tháng,2024-01-14,2024-03-13,Thành viên Cơ Bản,0.2,E0306,L1
DST0078,Khuyến mãi cuối tuần,2023-09-12,2023-10-14,Khách hàng lần đầu,0.05,E0306,L3
DST0079,Khuyến mãi thanh viên mới,2023-02-01,2023-02-18,Tổ chức,0.25,E0372,L1
DST0080,Khuyến mãi mua kèm thức ăn,2023-09-26,2023-10-11,Khách hàng mới,0.25,E0285,L1
