DID,Specialization,EducationLevel,DegreeID,CerticateID
E0097,Ngoại khoa,ThS,DEG183,CER0190
E0036,Da liễu thú y,ĐH,DEG101,CER0222
E0081,Da liễu thú y,ThS,DEG148,CER0052
E0066,Thú y chó mèo,ThS,DEG128,CER0280
E0107,Nội tổng quát,ĐH,DEG166,CER0241
E0061,Thú y chó mèo,ĐH,DEG037,CER0113
E0101,Ngoại khoa,ĐH,DEG061,CER0251
E0012,Thú y chó mèo,ThS,DEG191,CER0068
E0093,Ngoại khoa,TS,DEG071,CER0074
E0047,Ngoại khoa,TS,DEG103,CER0199
E0087,Ngoại khoa,ThS,DEG027,CER0249
E0117,Da liễu thú y,TS,DEG159,CER0291
E0110,Ngoại khoa,ĐH,DEG145,CER0080
E0048,Da liễu thú y,ĐH,DEG188,CER0266
E0075,Da liễu thú y,ĐH,DEG121,CER0011
E0010,Da liễu thú y,ThS,DEG113,CER0169
E0049,Da liễu thú y,TS,DEG019,CER0234
E0062,Nội tổng quát,ĐH,DEG061,CER0278
E0045,Nội tổng quát,ĐH,DEG163,CER0195
E0039,Ngoại khoa,ĐH,DEG107,CER0030
E0073,Thú y chó mèo,TS,DEG115,CER0061
E0102,Ngoại khoa,TS,DEG137,CER0265
E0018,Thú y chó mèo,TS,DEG086,CER0146
E0109,Nội tổng quát,ThS,DEG086,CER0146
E0006,Thú y chó mèo,ThS,DEG024,CER0276
E0037,Da liễu thú y,ThS,DEG023,CER0233
E0031,Da liễu thú y,ĐH,DEG200,CER0139
E0050,Da liễu thú y,TS,DEG101,CER0017
E0020,Nội tổng quát,ThS,DEG086,CER0033
E0013,Nội tổng quát,TS,DEG013,CER0211
E0113,Ngoại khoa,ThS,DEG151,CER0014
E0116,Nội tổng quát,ĐH,DEG131,CER0087
E0007,Da liễu thú y,TS,DEG150,CER0044
E0040,Thú y chó mèo,ĐH,DEG023,CER0175
E0088,Da liễu thú y,ThS,DEG021,CER0059
E0091,Nội tổng quát,TS,DEG148,CER0214
E0035,Nội tổng quát,TS,DEG063,CER0239
E0041,Thú y chó mèo,ThS,DEG083,CER0175
E0025,Da liễu thú y,ĐH,DEG081,CER0284
E0092,Nội tổng quát,ĐH,DEG137,CER0277
E0068,Nội tổng quát,ThS,DEG167,CER0044
E0043,Da liễu thú y,TS,DEG193,CER0071
E0067,Nội tổng quát,ĐH,DEG176,CER0254
E0051,Da liễu thú y,ThS,DEG059,CER0019
E0058,Da liễu thú y,ThS,DEG044,CER0220
E0008,Nội tổng quát,ThS,DEG030,CER0297
E0082,Thú y chó mèo,ĐH,DEG120,CER0133
E0114,Da liễu thú y,ĐH,DEG199,CER0190
E0095,Da liễu thú y,ThS,DEG174,CER0079
E0005,Thú y chó mèo,ThS,DEG160,CER0046
E0080,Thú y chó mèo,ĐH,DEG148,CER0261
E0011,Ngoại khoa,ĐH,DEG086,CER0044
E0118,Ngoại khoa,ThS,DEG069,CER0022
E0038,Thú y chó mèo,TS,DEG014,CER0247
E0015,Ngoại khoa,ĐH,DEG055,CER0165
E0104,Da liễu thú y,ĐH,DEG048,CER0163
E0100,Thú y chó mèo,ĐH,DEG151,CER0247
E0030,Nội tổng quát,ThS,DEG096,CER0221
E0046,Thú y chó mèo,TS,DEG064,CER0019
E0044,Da liễu thú y,ThS,DEG062,CER0114
E0054,Da liễu thú y,ĐH,DEG196,CER0169
E0103,Thú y chó mèo,ĐH,DEG053,CER0177
E0033,Thú y chó mèo,ĐH,DEG052,CER0205
E0017,Ngoại khoa,ĐH,DEG011,CER0162
E0094,Thú y chó mèo,TS,DEG008,CER0245
E0002,Ngoại khoa,ĐH,DEG196,CER0236
E0115,Nội tổng quát,TS,DEG049,CER0084
E0098,Da liễu thú y,TS,DEG039,CER0204
E0064,Ngoại khoa,TS,DEG018,CER0227
E0065,Thú y chó mèo,TS,DEG038,CER0261
E0079,Ngoại khoa,ĐH,DEG050,CER0197
E0085,Ngoại khoa,ĐH,DEG161,CER0074
E0024,Nội tổng quát,ThS,DEG085,CER0293
E0089,Nội tổng quát,ThS,DEG195,CER0178
E0083,Thú y chó mèo,TS,DEG029,CER0118
E0021,Ngoại khoa,TS,DEG018,CER0084
E0032,Da liễu thú y,TS,DEG076,CER0251
E0042,Ngoại khoa,TS,DEG081,CER0094
E0072,Ngoại khoa,TS,DEG193,CER0061
E0059,Thú y chó mèo,ĐH,DEG010,CER0004
E0034,Ngoại khoa,TS,DEG021,CER0159
E0084,Nội tổng quát,TS,DEG086,CER0116
E0016,Nội tổng quát,ThS,DEG107,CER0233
E0108,Da liễu thú y,ThS,DEG186,CER0284
E0112,Nội tổng quát,ĐH,DEG186,CER0092
E0023,Da liễu thú y,TS,DEG167,CER0248
E0019,Ngoại khoa,ThS,DEG075,CER0151
E0009,Ngoại khoa,ĐH,DEG119,CER0216
E0026,Thú y chó mèo,TS,DEG037,CER0165
E0028,Da liễu thú y,ThS,DEG045,CER0300
E0069,Thú y chó mèo,TS,DEG164,CER0009
E0029,Nội tổng quát,TS,DEG185,CER0138
E0120,Ngoại khoa,ĐH,DEG106,CER0178
E0063,Ngoại khoa,ĐH,DEG089,CER0059
E0001,Thú y chó mèo,TS,DEG100,CER0165
E0055,Ngoại khoa,TS,DEG038,CER0024
E0105,Nội tổng quát,ĐH,DEG067,CER0124
E0060,Nội tổng quát,ThS,DEG152,CER0035
E0106,Thú y chó mèo,ThS,DEG123,CER0093
E0099,Thú y chó mèo,ThS,DEG074,CER0090
E0022,Ngoại khoa,ĐH,DEG123,CER0063
E0053,Nội tổng quát,TS,DEG176,CER0062
E0119,Da liễu thú y,ThS,DEG149,CER0024
E0096,Ngoại khoa,ĐH,DEG011,CER0202
E0027,Ngoại khoa,ĐH,DEG184,CER0278
E0111,Thú y chó mèo,ThS,DEG005,CER0047
E0004,Nội tổng quát,TS,DEG156,CER0147
E0057,Thú y chó mèo,TS,DEG042,CER0256
E0074,Ngoại khoa,TS,DEG007,CER0072
E0078,Ngoại khoa,ThS,DEG084,CER0085
E0056,Ngoại khoa,TS,DEG106,CER0019
E0052,Thú y chó mèo,ThS,DEG098,CER0291
E0070,Ngoại khoa,TS,DEG026,CER0102
E0090,Thú y chó mèo,TS,DEG195,CER0105
E0071,Da liễu thú y,ThS,DEG014,CER0047
E0086,Da liễu thú y,ĐH,DEG097,CER0096
E0003,Nội tổng quát,ThS,DEG022,CER0209
E0014,Da liễu thú y,TS,DEG059,CER0018
E0076,Thú y chó mèo,ThS,DEG101,CER0248
E0077,Ngoại khoa,ThS,DEG144,CER0052
