DrugID,DrugName,DrugType
DRG0001,Propranolol,Tim mạch
DRG0002,Hydrocortisone,Chống viêm
DRG0003,Bisacodyl,Tiêu hoá
DRG0004,Dipyrone,Giảm đau
DRG0005,Dexamethasone,Chống viêm
DRG0006,Phenylbutazone,Giảm đau
DRG0007,Propranolol,Tim mạch
DRG0008,Gentamycin,Kháng sinh
DRG0009,Vitamin E,Vitamin
DRG0010,Omeprazole,Tiêu hoá
DRG0011,Midazolam,Thần kinh
DRG0012,Taurine,Vitamin
DRG0013,Oxytetracycline,Kháng sinh
DRG0014,Betamethasone,Chống viêm
DRG0015,Vitamin C,Vitamin
DRG0016,Spironolactone,Tim mạch
DRG0017,Doxapram,Hô hấp
DRG0018,Vitamin B Complex,Vitamin
DRG0019,Bromhexine,Hô hấp
DRG0020,Vitamin E,Vitamin
DRG0021,Amoxicillin,Kháng sinh
DRG0022,Vitamin E,Vitamin
DRG0023,Omeprazole,Tiêu hoá
DRG0024,Metoclopramide,Tiêu hoá
DRG0025,Vitamin A+D,Vitamin
DRG0026,Vitamin B Complex,Vitamin
DRG0027,Ranitidine,Tiêu hoá
DRG0028,Phenobarbital,Thần kinh
DRG0029,Bisacodyl,Tiêu hoá
DRG0030,Omeprazole,Tiêu hoá
DRG0031,Methylprednisolone,Chống viêm
DRG0032,Methylprednisolone,Chống viêm
DRG0033,Salbutamol,Hô hấp
DRG0034,Vitamin C,Vitamin
DRG0035,Furosemide,Tim mạch
DRG0036,Gentamycin,Kháng sinh
DRG0037,Metoclopramide,Tiêu hoá
DRG0038,Loperamide,Tiêu hoá
DRG0039,Theophylline,Hô hấp
DRG0040,Phenobarbital,Thần kinh
DRG0041,Metoclopramide,Tiêu hoá
DRG0042,Phenylbutazone,Giảm đau
DRG0043,Bromhexine,Hô hấp
DRG0044,Dipyrone,Giảm đau
DRG0045,Loperamide,Tiêu hoá
DRG0046,Propofol,Thần kinh
DRG0047,Vitamin B Complex,Vitamin
DRG0048,Bromhexine,Hô hấp
DRG0049,Vitamin A+D,Vitamin
DRG0050,Phenylbutazone,Giảm đau
DRG0051,Vitamin E,Vitamin
DRG0052,Methylprednisolone,Chống viêm
DRG0053,Salbutamol,Hô hấp
DRG0054,Theophylline,Hô hấp
DRG0055,Doxapram,Hô hấp
DRG0056,Midazolam,Thần kinh
DRG0057,Methylprednisolone,Chống viêm
DRG0058,Theophylline,Hô hấp
DRG0059,Captopril,Tim mạch
DRG0060,Theophylline,Hô hấp
DRG0061,Doxapram,Hô hấp
DRG0062,Gentamycin,Kháng sinh
DRG0063,Dipyrone,Giảm đau
DRG0064,Ranitidine,Tiêu hoá
DRG0065,Loperamide,Tiêu hoá
DRG0066,Propranolol,Tim mạch
DRG0067,Dipyrone,Giảm đau
DRG0068,Theophylline,Hô hấp
DRG0069,Codeine,Hô hấp
DRG0070,Trimethoprim,Kháng sinh
DRG0071,Phenylbutazone,Giảm đau
DRG0072,Enrofloxacin,Kháng sinh
DRG0073,Vitamin B Complex,Vitamin
DRG0074,Enrofloxacin,Kháng sinh
DRG0075,Furosemide,Tim mạch
DRG0076,Carprofen,Giảm đau
DRG0077,Diazepam,Thần kinh
DRG0078,Vitamin B Complex,Vitamin
DRG0079,Omeprazole,Tiêu hoá
DRG0080,Digoxin,Tim mạch
DRG0081,Dipyrone,Giảm đau
DRG0082,Gentamycin,Kháng sinh
DRG0083,Amoxicillin,Kháng sinh
DRG0084,Enrofloxacin,Kháng sinh
DRG0085,Metoclopramide,Tiêu hoá
DRG0086,Bisacodyl,Tiêu hoá
DRG0087,Furosemide,Tim mạch
DRG0088,Carprofen,Giảm đau
DRG0089,Ranitidine,Tiêu hoá
DRG0090,Betamethasone,Chống viêm
DRG0091,Trimethoprim,Kháng sinh
DRG0092,Diazepam,Thần kinh
DRG0093,Meloxicam,Giảm đau
DRG0094,Betamethasone,Chống viêm
DRG0095,Ranitidine,Tiêu hoá
DRG0096,Bisacodyl,Tiêu hoá
DRG0097,Omeprazole,Tiêu hoá
DRG0098,Phenobarbital,Thần kinh
DRG0099,Vitamin C,Vitamin
DRG0100,Furosemide,Tim mạch
DRG0101,Salbutamol,Hô hấp
DRG0102,Omeprazole,Tiêu hoá
DRG0103,Propranolol,Tim mạch
DRG0104,Salbutamol,Hô hấp
DRG0105,Vitamin B Complex,Vitamin
DRG0106,Oxytetracycline,Kháng sinh
