EID,PetID,ExaminationDate,Symptoms,Diagnoses,FollowUpDate
SRV141191,PET19752,2024-06-02 16:36:00,Mắt đỏ - phù nề - khó mở mắt,Xuất huyết nội bộ - cấp cứu,2024-06-18
SRV160068,PET63730,2024-07-12 22:55:50,Ho kéo dài - khó thở - chảy nước mũi,Bệnh nha chu giai đoạn cuối,2024-08-05
SRV66106,PET13476,2024-02-06 00:03:15,Bụng căng như quả bóng - đau nhiều,Thiếu máu do sốc mất máu hoặc ký sinh,2024-02-12
SRV122592,PET05525,2021-11-23 08:17:19,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm tụy cấp (Pancreatitis),2021-12-09
SRV86028,PET19011,2021-01-01 07:51:50,Bụng căng như quả bóng - đau nhiều,Suy thận cấp - cần xét nghiệm ngay,2021-01-23
SRV80885,PET77581,2024-11-18 11:16:55,Ho kéo dài - khó thở - chảy nước mũi,Bệnh đĩa đệm (bệnh IVDD),2024-12-04
SRV58090,PET11454,2023-08-04 18:30:02,Hôi miệng kinh khủng - nướu sưng tấy,Tổn thương thần kinh ngoại biên,2023-08-10
SRV8501,PET16691,2023-04-29 20:05:31,Liệt chi sau - không đứng được,Nhiễm trùng vết mổ sau phẫu thuật,2023-05-22
SRV122548,PET08030,2023-03-06 11:58:28,Hôi miệng kinh khủng - nướu sưng tấy,Nhiễm trùng vết mổ sau phẫu thuật,2023-03-07
SRV139310,PET10396,2021-02-09 06:45:54,Hôi miệng kinh khủng - nướu sưng tấy,Thiếu máu do sốc mất máu hoặc ký sinh,2021-02-22
SRV69813,PET107643,2023-02-26 13:33:30,Bụng căng như quả bóng - đau nhiều,Suy thận cấp - cần xét nghiệm ngay,2023-03-26
SRV15017,PET16643,2024-03-08 15:07:25,Liệt chi sau - không đứng được,Chấn thương cột sống lưng thắt lưng,2024-03-13
SRV130542,PET73320,2022-01-02 19:55:09,Lờ đờ - mất sinh lực,Bệnh đĩa đệm (bệnh IVDD),2022-01-25
SRV16296,PET07887,2022-02-18 07:38:31,Ngứa dữ dội - chảy máu tai từ gãi,Nhiễm trùng vết mổ sau phẫu thuật,2022-03-13
SRV112163,PET33049,2021-02-20 12:00:29,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Thiếu máu do sốc mất máu hoặc ký sinh,2021-03-14
SRV13223,PET40253,2024-09-27 22:36:12,Ho kéo dài - khó thở - chảy nước mũi,Viêm tai ngoài do nấm Malassezia,2024-10-21
SRV174200,PET116011,2021-11-30 00:09:01,Lờ đờ - mất sinh lực,Viêm mống mắt - cần chỉ định nhanh,2021-12-25
SRV52520,PET96747,2023-09-27 03:25:06,Tê liệt mặt - miệng méo,Bệnh nha chu giai đoạn cuối,2023-10-16
