InvoiceID,OrderID,OrderServiceID,CustomerID,CID,CardID,CreatedDate,CreatedTime,TotalPrice,PaymentMoney,PaymentTypeID
INV000001,ORD061673,ORS042562,CUS02765,E0408,CARD49683,2023-11-08,18:00:00,203615,203615,PM01
INV000002,ORD005927,ORS093516,CUS05285,E0349,CARD15439,2022-06-30,18:00:00,533838,533838,PM02
INV000003,ORD037893,ORS017438,CUS31204,E0397,CARD38961,2022-11-03,11:00:00,2200685,2200685,PM02
INV000004,ORD068540,ORS050940,CUS65673,E0273,CARD42047,2024-05-02,11:00:00,2460495,2460495,PM02
INV000005,ORD015302,ORS066381,CUS69972,E0289,CARD03122,2022-02-12,11:00:00,2117447,2117447,PM02
INV000006,ORD025777,ORS093282,CUS77146,E0289,CARD04861,2023-09-02,18:00:00,179561,179561,PM03
INV000007,ORD056920,ORS083032,CUS74803,E0401,CARD46663,2024-01-27,14:00:00,641753,641753,PM03
INV000008,ORD044961,ORS069671,CUS44784,E0398,CARD07155,2023-05-18,08:00:00,2495316,2495316,PM03
INV000009,ORD092926,ORS026256,CUS66236,E0291,CARD36087,2022-12-14,18:00:00,993320,993320,PM03
INV000010,ORD011185,ORS086855,CUS38265,E0289,CARD14167,2022-07-26,08:00:00,280565,280565,PM04
INV000011,ORD052677,ORS036915,CUS47260,E0336,CARD28290,2022-07-14,11:00:00,330403,330403,PM02
INV000012,ORD011416,ORS040797,CUS58259,E0349,CARD01453,2022-10-12,14:00:00,1030020,1030020,PM02
INV000013,ORD056436,ORS025243,CUS58277,E0472,CARD14196,2024-03-29,18:00:00,1178849,1178849,PM01
INV000014,ORD011138,ORS099080,CUS47766,E0300,CARD47734,2023-07-20,08:00:00,1003518,1003518,PM02
INV000015,ORD014087,ORS049995,CUS39688,E0363,CARD38004,2022-09-19,18:00:00,611320,611320,PM04
INV000016,ORD028268,ORS087422,CUS69087,E0406,CARD38491,2024-08-16,14:00:00,236791,236791,PM03
INV000017,ORD084959,ORS052955,CUS49239,E0299,CARD26647,2022-12-17,14:00:00,1804045,1804045,PM03
INV000018,ORD015125,ORS085368,CUS59610,E0410,CARD43247,2023-02-04,11:00:00,2251640,2251640,PM03
INV000019,ORD064231,ORS019311,CUS08666,E0443,CARD23812,2024-08-19,08:00:00,2598762,2598762,PM01
INV000020,ORD092650,ORS055025,CUS33612,E0395,CARD49747,2024-04-25,14:00:00,1653058,1653058,PM04
INV000021,ORD056511,ORS003664,CUS43143,E0448,CARD19011,2022-03-16,11:00:00,2649642,2649642,PM03
INV000022,ORD013945,ORS081449,CUS70035,E0307,CARD42134,2023-03-25,14:00:00,567618,567618,PM04
INV000023,ORD026301,ORS068570,CUS46170,E0396,CARD44460,2023-04-14,14:00:00,676128,676128,PM01
INV000024,ORD017754,ORS084440,CUS48095,E0379,CARD34187,2024-03-08,08:00:00,1133829,1133829,PM03
INV000025,ORD030304,ORS073331,CUS48540,E0425,CARD12130,2022-06-24,11:00:00,2616154,2616154,PM02
INV000026,ORD062033,ORS036282,CUS17530,E0368,CARD40267,2024-01-30,08:00:00,664324,664324,PM03
INV000027,ORD010098,ORS002713,CUS17884,E0393,CARD28645,2024-11-28,18:00:00,2627046,2627046,PM01
INV000028,ORD053037,ORS085292,CUS33034,E0477,CARD29592,2023-01-12,18:00:00,1776072,1776072,PM04
INV000029,ORD097745,ORS057377,CUS23191,E0401,CARD07374,2023-05-04,11:00:00,2571218,2571218,PM01
INV000030,ORD076030,ORS004299,CUS41279,E0330,CARD23310,2022-09-11,14:00:00,2965916,2965916,PM04
INV000031,ORD015092,ORS038034,CUS19796,E0379,CARD48658,2022-07-15,18:00:00,324489,324489,PM03
INV000032,ORD029093,ORS088432,CUS48280,E0336,CARD44593,2022-12-13,08:00:00,250953,250953,PM02
INV000033,ORD007432,ORS087180,CUS50120,E0371,CARD29730,2022-10-08,11:00:00,1165815,1165815,PM01
INV000034,ORD072709,ORS088501,CUS27032,E0410,CARD03689,2023-03-23,08:00:00,2117761,2117761,PM03
INV000035,ORD001146,ORS007518,CUS43095,E0317,CARD05167,2022-11-02,11:00:00,755871,755871,PM01
INV000036,ORD038418,ORS057633,CUS61338,E0393,CARD38937,2024-09-29,11:00:00,1546089,1546089,PM02
INV000037,ORD042350,ORS000133,CUS33075,E0479,CARD21927,2023-11-16,11:00:00,2217007,2217007,PM03
INV000038,ORD041831,ORS079709,CUS07392,E0464,CARD13526,2023-06-03,11:00:00,748094,748094,PM03
INV000039,ORD058426,ORS041406,CUS05944,E0379,CARD41636,2022-03-06,08:00:00,617715,617715,PM04
INV000040,ORD073134,ORS017256,CUS75329,E0428,CARD07503,2024-08-27,08:00:00,251460,251460,PM01
INV000041,ORD078849,ORS013545,CUS72671,E0319,CARD37630,2023-07-13,14:00:00,668976,668976,PM02
INV000042,ORD023633,ORS002590,CUS76588,E0384,CARD21129,2022-09-13,08:00:00,779533,779533,PM01
INV000043,ORD086218,ORS062531,CUS39949,E0349,CARD27433,2023-04-06,14:00:00,1680069,1680069,PM02
INV000044,ORD078328,ORS080746,CUS33498,E0304,CARD31521,2024-03-14,11:00:00,1529088,1529088,PM01
INV000045,ORD090236,ORS068713,CUS78980,E0393,CARD36217,2023-10-11,08:00:00,1389965,1389965,PM04
INV000046,ORD070603,ORS052710,CUS35323,E0286,CARD29719,2024-04-27,14:00:00,989521,989521,PM04
