NID,Specialization,EducationLevel,DegreeID
E0239,Chăm sóc nội trú,ĐH,DEG196
E0230,Chăm sóc nội trú,CĐ,DEG192
E0176,Chăm sóc nội trú,ĐH,DEG114
E0188,Chăm sóc hậu phẫu,ĐH,DEG093
E0144,Chăm sóc hậu phẫu,ĐH,DEG082
E0156,Tiêm ngừa,CĐ,DEG060
E0136,Chăm sóc hậu phẫu,CĐ,DEG181
E0249,Chăm sóc nội trú,CĐ,DEG196
E0220,Chăm sóc nội trú,ĐH,DEG061
E0168,Tiêm ngừa,ĐH,DEG151
E0157,Chăm sóc hậu phẫu,ĐH,DEG121
E0269,Chăm sóc nội trú,ĐH,DEG061
E0132,Chăm sóc nội trú,CĐ,DEG107
E0208,Tiêm ngừa,ĐH,DEG154
E0133,Chăm sóc hậu phẫu,ĐH,DEG066
E0197,Chăm sóc hậu phẫu,CĐ,DEG096
E0205,Chăm sóc hậu phẫu,CĐ,DEG084
E0172,Tiêm ngừa,CĐ,DEG119
E0210,Chăm sóc nội trú,ĐH,DEG074
E0194,Chăm sóc nội trú,ĐH,DEG190
E0204,Tiêm ngừa,CĐ,DEG039
E0242,Chăm sóc nội trú,CĐ,DEG007
E0181,Tiêm ngừa,CĐ,DEG110
E0209,Chăm sóc hậu phẫu,CĐ,DEG161
E0251,Chăm sóc hậu phẫu,ĐH,DEG124
E0267,Tiêm ngừa,ĐH,DEG190
E0167,Chăm sóc hậu phẫu,CĐ,DEG175
E0139,Tiêm ngừa,ĐH,DEG192
E0259,Chăm sóc nội trú,ĐH,DEG005
E0127,Chăm sóc hậu phẫu,CĐ,DEG115
E0219,Chăm sóc nội trú,ĐH,DEG119
E0248,Chăm sóc hậu phẫu,CĐ,DEG177
E0151,Chăm sóc hậu phẫu,CĐ,DEG031
E0232,Chăm sóc hậu phẫu,ĐH,DEG047
E0186,Chăm sóc hậu phẫu,ĐH,DEG081
E0270,Tiêm ngừa,CĐ,DEG119
E0191,Chăm sóc hậu phẫu,CĐ,DEG170
E0233,Tiêm ngừa,ĐH,DEG013
E0170,Chăm sóc nội trú,ĐH,DEG033
E0178,Chăm sóc hậu phẫu,ĐH,DEG066
E0154,Chăm sóc hậu phẫu,CĐ,DEG103
E0266,Chăm sóc nội trú,ĐH,DEG168
E0231,Tiêm ngừa,ĐH,DEG105
E0174,Chăm sóc nội trú,CĐ,DEG059
E0177,Chăm sóc nội trú,CĐ,DEG170
E0161,Chăm sóc hậu phẫu,ĐH,DEG058
E0198,Chăm sóc nội trú,CĐ,DEG037
E0254,Chăm sóc hậu phẫu,ĐH,DEG107
E0152,Chăm sóc nội trú,CĐ,DEG049
E0238,Chăm sóc nội trú,ĐH,DEG170
E0184,Chăm sóc hậu phẫu,ĐH,DEG161
E0123,Chăm sóc nội trú,ĐH,DEG002
E0145,Chăm sóc nội trú,CĐ,DEG134
E0185,Chăm sóc nội trú,CĐ,DEG032
E0192,Chăm sóc hậu phẫu,ĐH,DEG171
E0166,Tiêm ngừa,ĐH,DEG163
E0183,Chăm sóc nội trú,CĐ,DEG056
E0241,Chăm sóc hậu phẫu,ĐH,DEG062
E0164,Tiêm ngừa,CĐ,DEG016
E0255,Chăm sóc hậu phẫu,ĐH,DEG193
E0162,Chăm sóc nội trú,CĐ,DEG128
E0189,Chăm sóc hậu phẫu,ĐH,DEG072
E0201,Tiêm ngừa,ĐH,DEG001
E0187,Chăm sóc hậu phẫu,ĐH,DEG140
E0124,Chăm sóc nội trú,ĐH,DEG092
E0203,Chăm sóc hậu phẫu,CĐ,DEG121
E0221,Tiêm ngừa,ĐH,DEG133
E0234,Tiêm ngừa,CĐ,DEG166
E0263,Chăm sóc hậu phẫu,CĐ,DEG057
E0200,Chăm sóc nội trú,CĐ,DEG125
E0258,Tiêm ngừa,CĐ,DEG116
E0256,Chăm sóc hậu phẫu,ĐH,DEG119
E0159,Chăm sóc hậu phẫu,ĐH,DEG069
E0180,Chăm sóc nội trú,CĐ,DEG193
E0173,Chăm sóc nội trú,ĐH,DEG013
E0160,Tiêm ngừa,CĐ,DEG082
E0125,Tiêm ngừa,CĐ,DEG079
E0121,Chăm sóc hậu phẫu,ĐH,DEG100
E0193,Chăm sóc nội trú,ĐH,DEG074
E0196,Chăm sóc nội trú,CĐ,DEG161
E0216,Chăm sóc nội trú,ĐH,DEG007
E0199,Chăm sóc hậu phẫu,CĐ,DEG077
E0264,Chăm sóc hậu phẫu,CĐ,DEG042
E0149,Chăm sóc hậu phẫu,ĐH,DEG122
E0179,Chăm sóc nội trú,CĐ,DEG109
E0226,Chăm sóc nội trú,ĐH,DEG045
E0155,Chăm sóc hậu phẫu,ĐH,DEG085
E0228,Chăm sóc nội trú,ĐH,DEG122
E0138,Tiêm ngừa,CĐ,DEG093
E0182,Chăm sóc nội trú,CĐ,DEG128
E0243,Chăm sóc nội trú,ĐH,DEG144
E0175,Tiêm ngừa,ĐH,DEG008
E0244,Tiêm ngừa,ĐH,DEG082
E0131,Tiêm ngừa,ĐH,DEG174
E0146,Chăm sóc hậu phẫu,ĐH,DEG074
E0140,Tiêm ngừa,ĐH,DEG036
E0224,Tiêm ngừa,ĐH,DEG017
E0126,Chăm sóc nội trú,ĐH,DEG005
E0223,Tiêm ngừa,ĐH,DEG032
E0128,Chăm sóc nội trú,ĐH,DEG172
E0137,Chăm sóc nội trú,ĐH,DEG003
E0148,Chăm sóc hậu phẫu,ĐH,DEG112
E0236,Chăm sóc hậu phẫu,CĐ,DEG094
E0245,Chăm sóc hậu phẫu,ĐH,DEG073
E0171,Tiêm ngừa,ĐH,DEG074
E0225,Chăm sóc nội trú,CĐ,DEG091
E0190,Chăm sóc hậu phẫu,ĐH,DEG189
E0122,Chăm sóc hậu phẫu,ĐH,DEG059
E0169,Chăm sóc nội trú,ĐH,DEG126
E0235,Tiêm ngừa,ĐH,DEG156
E0163,Chăm sóc nội trú,CĐ,DEG065
E0237,Chăm sóc nội trú,CĐ,DEG082
E0217,Chăm sóc hậu phẫu,ĐH,DEG111
E0268,Chăm sóc hậu phẫu,CĐ,DEG099
E0135,Tiêm ngừa,CĐ,DEG086
E0213,Tiêm ngừa,CĐ,DEG152
E0207,Tiêm ngừa,ĐH,DEG086
E0142,Chăm sóc hậu phẫu,ĐH,DEG020
E0250,Tiêm ngừa,CĐ,DEG009
E0265,Chăm sóc hậu phẫu,CĐ,DEG080
E0247,Chăm sóc hậu phẫu,CĐ,DEG104
E0262,Tiêm ngừa,CĐ,DEG037
E0214,Chăm sóc hậu phẫu,CĐ,DEG104
E0253,Tiêm ngừa,ĐH,DEG073
E0252,Tiêm ngừa,CĐ,DEG106
E0260,Chăm sóc nội trú,ĐH,DEG005
E0130,Chăm sóc hậu phẫu,CĐ,DEG170
E0165,Chăm sóc hậu phẫu,ĐH,DEG125
E0147,Chăm sóc hậu phẫu,CĐ,DEG145
E0129,Tiêm ngừa,ĐH,DEG062
E0143,Chăm sóc nội trú,ĐH,DEG189
E0215,Chăm sóc hậu phẫu,CĐ,DEG030
E0227,Chăm sóc nội trú,ĐH,DEG116
E0158,Chăm sóc hậu phẫu,ĐH,DEG038
E0134,Chăm sóc nội trú,CĐ,DEG195
E0218,Chăm sóc nội trú,ĐH,DEG021
E0261,Chăm sóc nội trú,CĐ,DEG065
E0141,Tiêm ngừa,ĐH,DEG097
E0202,Chăm sóc hậu phẫu,CĐ,DEG125
E0206,Chăm sóc hậu phẫu,ĐH,DEG040
E0153,Chăm sóc hậu phẫu,ĐH,DEG014
E0229,Chăm sóc hậu phẫu,ĐH,DEG060
E0257,Tiêm ngừa,ĐH,DEG119
E0195,Tiêm ngừa,CĐ,DEG088
E0246,Chăm sóc nội trú,CĐ,DEG131
E0150,Chăm sóc hậu phẫu,ĐH,DEG057
E0211,Tiêm ngừa,CĐ,DEG043
E0212,Chăm sóc nội trú,CĐ,DEG008
E0222,Tiêm ngừa,CĐ,DEG046
E0240,Chăm sóc hậu phẫu,CĐ,DEG195
