AssignmentID,SurgeryID,NurseID,AssignedDate,Note
ASN00001,SRV48226,E0206,2023-06-22,Theo dõi nhịp tim và hô hấp
ASN00002,SRV22863,E0173,2021-03-29,Ca khó - chú ý nhé
ASN00003,SRV22863,E0211,2023-08-30,Theo dõi sát 24h đầu
ASN00004,SRV148754,E0192,2022-10-28,Chú ý dấu hiệu nhiễm trùng
ASN00005,SRV30532,E0161,2023-04-21,Cần theo dõi đặc biệt
ASN00006,SRV10889,E0230,2021-09-01,Cần theo dõi đặc biệt
ASN00007,SRV45502,E0125,2023-12-22,Theo dõi hậu phẫu thường quy
ASN00008,SRV45502,E0234,2023-06-29,Cần theo dõi đặc biệt
ASN00009,SRV101079,E0172,2023-05-31,Bệnh nhân VIP - chăm sóc kỹ
ASN00010,SRV62090,E0130,2024-04-11,Cần theo dõi đặc biệt
ASN00011,SRV124025,E0212,2024-08-16,Bệnh nhân VIP - chăm sóc kỹ
ASN00012,SRV124025,E0207,2022-01-07,Cần theo dõi đặc biệt
ASN00013,SRV81030,E0157,2023-06-25,Ca khó - chú ý nhé
ASN00014,SRV81030,E0140,2022-03-28,Theo dõi hậu phẫu thường quy
ASN00015,SRV46670,E0169,2022-08-19,Bệnh nhân VIP - chăm sóc kỹ
ASN00016,SRV177422,E0152,2023-09-23,Theo dõi nhịp tim và hô hấp
ASN00017,SRV177422,E0193,2024-12-13,Cần theo dõi đặc biệt
ASN00018,SRV37833,E0250,2022-09-27,Theo dõi bình thường
ASN00019,SRV147940,E0228,2024-02-07,Theo dõi sát 24h đầu
ASN00020,SRV46174,E0143,2022-11-04,Chú ý dấu hiệu nhiễm trùng
ASN00021,SRV125450,E0199,2024-07-25,Theo dõi bình thường
ASN00022,SRV168276,E0163,2022-05-14,Bệnh nhân VIP - chăm sóc kỹ
ASN00023,SRV168276,E0167,2021-04-07,Theo dõi bình thường
ASN00024,SRV12758,E0243,2022-06-03,Theo dõi sát 24h đầu
ASN00025,SRV12758,E0235,2022-11-11,Chú ý dấu hiệu nhiễm trùng
ASN00026,SRV124914,E0211,2021-07-17,Cần theo dõi đặc biệt
ASN00027,SRV27558,E0249,2022-08-23,Cần theo dõi đặc biệt
ASN00028,SRV27558,E0132,2022-11-02,Cần theo dõi đặc biệt
ASN00029,SRV5691,E0148,2022-03-08,Theo dõi nhịp tim và hô hấp
ASN00030,SRV188403,E0138,2024-08-17,Cần theo dõi đặc biệt
ASN00031,SRV147887,E0160,2022-10-18,Chú ý dấu hiệu nhiễm trùng
ASN00032,SRV101337,E0255,2024-09-07,Theo dõi hậu phẫu thường quy
ASN00033,SRV101337,E0136,2022-08-07,Ca khó - chú ý nhé
ASN00034,SRV154716,E0196,2024-08-30,Theo dõi sát 24h đầu
ASN00035,SRV89909,E0151,2021-06-12,Cần theo dõi đặc biệt
ASN00036,SRV89909,E0167,2021-03-14,Cần theo dõi đặc biệt
ASN00037,SRV70782,E0241,2024-06-11,Cần theo dõi đặc biệt
ASN00038,SRV158910,E0249,2023-03-05,Theo dõi bình thường
ASN00039,SRV59413,E0215,2023-11-22,Chú ý dấu hiệu nhiễm trùng
ASN00040,SRV57419,E0181,2021-05-05,Cần theo dõi đặc biệt
ASN00041,SRV15246,E0203,2023-07-28,Cần theo dõi đặc biệt
ASN00042,SRV15246,E0139,2022-03-02,Theo dõi bình thường
ASN00043,SRV136817,E0160,2021-07-26,Theo dõi sát 24h đầu
ASN00044,SRV180012,E0127,2021-03-09,Theo dõi sát 24h đầu
ASN00045,SRV180012,E0222,2024-07-05,Theo dõi nhịp tim và hô hấp
ASN00046,SRV88277,E0251,2024-01-16,Ca khó - chú ý nhé
ASN00047,SRV88277,E0212,2023-11-01,Theo dõi sát 24h đầu
ASN00048,SRV95540,E0243,2022-02-09,Theo dõi nhịp tim và hô hấp
ASN00049,SRV112718,E0245,2021-07-08,Chú ý dấu hiệu nhiễm trùng
ASN00050,SRV147398,E0156,2022-11-20,Cần theo dõi đặc biệt
ASN00051,SRV119058,E0243,2023-03-09,Cần theo dõi đặc biệt
ASN00052,SRV119058,E0208,2022-07-31,Theo dõi hậu phẫu thường quy
ASN00053,SRV28888,E0151,2021-03-06,Bệnh nhân VIP - chăm sóc kỹ
ASN00054,SRV115680,E0171,2024-06-03,Ca khó - chú ý nhé
ASN00055,SRV162378,E0179,2022-12-05,Bệnh nhân VIP - chăm sóc kỹ
ASN00056,SRV162378,E0202,2022-10-14,Theo dõi nhịp tim và hô hấp
ASN00057,SRV143342,E0207,2024-08-27,Bệnh nhân VIP - chăm sóc kỹ
ASN00058,SRV64271,E0248,2021-08-15,Bệnh nhân VIP - chăm sóc kỹ
ASN00059,SRV64271,E0208,2023-08-13,Chú ý dấu hiệu nhiễm trùng
ASN00060,SRV144799,E0144,2024-06-26,Ca khó - chú ý nhé
ASN00061,SRV50510,E0148,2021-08-13,Theo dõi sát 24h đầu
ASN00062,SRV107407,E0265,2022-06-12,Theo dõi sát 24h đầu
ASN00063,SRV107407,E0211,2021-05-18,Cần theo dõi đặc biệt
ASN00064,SRV198188,E0134,2021-07-10,Ca khó - chú ý nhé
ASN00065,SRV198188,E0207,2024-12-02,Ca khó - chú ý nhé
ASN00066,SRV193159,E0183,2022-04-16,Theo dõi bình thường
ASN00067,SRV198807,E0268,2024-10-01,Chú ý dấu hiệu nhiễm trùng
ASN00068,SRV135243,E0253,2024-12-05,Ca khó - chú ý nhé
ASN00069,SRV135243,E0257,2022-02-16,Bệnh nhân VIP - chăm sóc kỹ
ASN00070,SRV63896,E0133,2024-03-15,Theo dõi bình thường
ASN00071,SRV186117,E0183,2023-07-13,Theo dõi nhịp tim và hô hấp
ASN00072,SRV111097,E0201,2023-05-08,Theo dõi sát 24h đầu
ASN00073,SRV111097,E0133,2021-08-17,Theo dõi sát 24h đầu
ASN00074,SRV73435,E0202,2021-09-04,Cần theo dõi đặc biệt
ASN00075,SRV128387,E0145,2022-05-28,Theo dõi nhịp tim và hô hấp
ASN00076,SRV35675,E0156,2021-09-15,Theo dõi bình thường
ASN00077,SRV35675,E0184,2021-07-24,Theo dõi sát 24h đầu
ASN00078,SRV7233,E0260,2023-10-25,Chú ý dấu hiệu nhiễm trùng
ASN00079,SRV7233,E0122,2021-08-28,Theo dõi sát 24h đầu
ASN00080,SRV71114,E0149,2023-03-05,Theo dõi hậu phẫu thường quy
ASN00081,SRV55578,E0262,2021-11-25,Ca khó - chú ý nhé
ASN00082,SRV112836,E0202,2023-01-05,Theo dõi bình thường
ASN00083,SRV112836,E0143,2024-02-22,Theo dõi bình thường
ASN00084,SRV140619,E0203,2022-12-23,Bệnh nhân VIP - chăm sóc kỹ
ASN00085,SRV140619,E0165,2023-02-23,Cần theo dõi đặc biệt
ASN00086,SRV72221,E0261,2022-07-20,Ca khó - chú ý nhé
ASN00087,SRV105842,E0241,2022-11-13,Theo dõi sát 24h đầu
ASN00088,SRV105842,E0211,2023-11-25,Theo dõi hậu phẫu thường quy
ASN00089,SRV146800,E0162,2021-11-06,Bệnh nhân VIP - chăm sóc kỹ
ASN00090,SRV102803,E0249,2022-06-23,Theo dõi nhịp tim và hô hấp
ASN00091,SRV179127,E0270,2022-10-16,Theo dõi bình thường
ASN00092,SRV131182,E0176,2021-02-13,Theo dõi bình thường
ASN00093,SRV131182,E0150,2022-11-24,Theo dõi nhịp tim và hô hấp
ASN00094,SRV134539,E0207,2021-05-15,Theo dõi sát 24h đầu
ASN00095,SRV134539,E0215,2024-10-14,Ca khó - chú ý nhé
ASN00096,SRV71129,E0199,2022-11-10,Ca khó - chú ý nhé
ASN00097,SRV71129,E0264,2024-10-06,Theo dõi nhịp tim và hô hấp
ASN00098,SRV123581,E0186,2023-03-03,Ca khó - chú ý nhé
ASN00099,SRV45255,E0131,2021-12-19,Ca khó - chú ý nhé
ASN00100,SRV45255,E0192,2022-08-18,Cần theo dõi đặc biệt
ASN00101,SRV182349,E0231,2022-02-25,Theo dõi hậu phẫu thường quy
ASN00102,SRV182349,E0245,2024-08-26,Theo dõi bình thường
ASN00103,SRV190021,E0227,2023-05-14,Theo dõi hậu phẫu thường quy
ASN00104,SRV151517,E0161,2024-11-01,Theo dõi hậu phẫu thường quy
ASN00105,SRV18846,E0239,2021-10-30,Bệnh nhân VIP - chăm sóc kỹ
ASN00106,SRV18846,E0186,2022-06-23,Bệnh nhân VIP - chăm sóc kỹ
ASN00107,SRV53094,E0266,2023-12-03,Theo dõi hậu phẫu thường quy
ASN00108,SRV119100,E0172,2022-04-30,Theo dõi hậu phẫu thường quy
ASN00109,SRV77413,E0215,2021-04-10,Bệnh nhân VIP - chăm sóc kỹ
ASN00110,SRV63406,E0193,2022-12-15,Theo dõi bình thường
ASN00111,SRV63406,E0131,2024-11-10,Theo dõi nhịp tim và hô hấp
ASN00112,SRV78602,E0257,2024-12-21,Cần theo dõi đặc biệt
ASN00113,SRV78602,E0152,2021-03-29,Theo dõi bình thường
ASN00114,SRV101016,E0221,2022-01-10,Theo dõi hậu phẫu thường quy
ASN00115,SRV149335,E0199,2024-02-04,Theo dõi nhịp tim và hô hấp
ASN00116,SRV147039,E0148,2023-07-11,Ca khó - chú ý nhé
ASN00117,SRV169406,E0270,2022-09-25,Bệnh nhân VIP - chăm sóc kỹ
ASN00118,SRV169406,E0143,2023-10-24,Theo dõi nhịp tim và hô hấp
ASN00119,SRV153270,E0125,2024-10-02,Ca khó - chú ý nhé
ASN00120,SRV153270,E0269,2022-08-10,Theo dõi nhịp tim và hô hấp
ASN00121,SRV76457,E0216,2023-10-16,Theo dõi bình thường
ASN00122,SRV8033,E0148,2024-10-12,Ca khó - chú ý nhé
ASN00123,SRV8033,E0208,2022-04-28,Bệnh nhân VIP - chăm sóc kỹ
ASN00124,SRV159509,E0157,2024-03-29,Theo dõi sát 24h đầu
ASN00125,SRV159509,E0230,2022-12-21,Chú ý dấu hiệu nhiễm trùng
ASN00126,SRV44085,E0265,2023-04-24,Theo dõi sát 24h đầu
ASN00127,SRV174242,E0199,2021-06-21,Chú ý dấu hiệu nhiễm trùng
ASN00128,SRV85908,E0265,2022-03-31,Bệnh nhân VIP - chăm sóc kỹ
ASN00129,SRV85908,E0266,2021-02-16,Theo dõi sát 24h đầu
ASN00130,SRV145610,E0190,2022-10-19,Theo dõi hậu phẫu thường quy
ASN00131,SRV145610,E0236,2021-08-18,Theo dõi bình thường
ASN00132,SRV74054,E0122,2021-05-24,Theo dõi sát 24h đầu
ASN00133,SRV194568,E0132,2024-10-22,Bệnh nhân VIP - chăm sóc kỹ
ASN00134,SRV43962,E0262,2022-08-04,Theo dõi hậu phẫu thường quy
ASN00135,SRV43962,E0242,2022-09-06,Theo dõi bình thường
ASN00136,SRV196509,E0128,2022-09-13,Theo dõi bình thường
ASN00137,SRV188528,E0207,2024-08-11,Theo dõi hậu phẫu thường quy
ASN00138,SRV188528,E0246,2021-02-19,Theo dõi nhịp tim và hô hấp
ASN00139,SRV45201,E0194,2021-02-24,Theo dõi sát 24h đầu
ASN00140,SRV45201,E0193,2023-01-30,Cần theo dõi đặc biệt
ASN00141,SRV122318,E0249,2022-05-09,Ca khó - chú ý nhé
ASN00142,SRV122318,E0138,2022-11-21,Ca khó - chú ý nhé
ASN00143,SRV117359,E0186,2022-12-06,Theo dõi nhịp tim và hô hấp
ASN00144,SRV123111,E0184,2022-12-13,Cần theo dõi đặc biệt
ASN00145,SRV123111,E0156,2024-01-17,Ca khó - chú ý nhé
ASN00146,SRV151816,E0150,2024-06-12,Cần theo dõi đặc biệt
ASN00147,SRV46172,E0180,2022-01-05,Ca khó - chú ý nhé
ASN00148,SRV46172,E0147,2021-01-07,Ca khó - chú ý nhé
ASN00149,SRV109123,E0201,2022-12-06,Ca khó - chú ý nhé
ASN00150,SRV109123,E0222,2023-10-27,Bệnh nhân VIP - chăm sóc kỹ
ASN00151,SRV175924,E0124,2024-05-14,Theo dõi bình thường
ASN00152,SRV175924,E0262,2022-02-07,Theo dõi bình thường
ASN00153,SRV63497,E0238,2022-03-16,Bệnh nhân VIP - chăm sóc kỹ
ASN00154,SRV63497,E0122,2021-04-04,Ca khó - chú ý nhé
ASN00155,SRV148737,E0133,2022-03-31,Chú ý dấu hiệu nhiễm trùng
ASN00156,SRV148737,E0268,2022-02-20,Chú ý dấu hiệu nhiễm trùng
ASN00157,SRV171542,E0205,2023-06-10,Bệnh nhân VIP - chăm sóc kỹ
ASN00158,SRV44317,E0161,2021-03-28,Chú ý dấu hiệu nhiễm trùng
ASN00159,SRV170253,E0185,2024-05-22,Chú ý dấu hiệu nhiễm trùng
ASN00160,SRV170253,E0196,2024-03-09,Cần theo dõi đặc biệt
ASN00161,SRV178168,E0242,2022-07-21,Bệnh nhân VIP - chăm sóc kỹ
ASN00162,SRV153626,E0150,2021-12-22,Theo dõi bình thường
ASN00163,SRV47242,E0126,2022-07-23,Cần theo dõi đặc biệt
ASN00164,SRV47242,E0185,2024-01-18,Theo dõi bình thường
ASN00165,SRV144682,E0255,2021-04-10,Chú ý dấu hiệu nhiễm trùng
ASN00166,SRV192154,E0267,2024-03-26,Ca khó - chú ý nhé
ASN00167,SRV192154,E0256,2022-10-22,Bệnh nhân VIP - chăm sóc kỹ
ASN00168,SRV170807,E0186,2022-12-01,Theo dõi sát 24h đầu
ASN00169,SRV170807,E0228,2023-05-01,Theo dõi hậu phẫu thường quy
ASN00170,SRV4422,E0262,2021-04-07,Ca khó - chú ý nhé
ASN00171,SRV4422,E0180,2021-05-21,Theo dõi hậu phẫu thường quy
ASN00172,SRV16141,E0199,2022-01-26,Theo dõi hậu phẫu thường quy
ASN00173,SRV16141,E0164,2023-12-20,Theo dõi sát 24h đầu
ASN00174,SRV74680,E0269,2021-01-06,Theo dõi hậu phẫu thường quy
ASN00175,SRV74680,E0205,2024-12-28,Theo dõi nhịp tim và hô hấp
ASN00176,SRV50274,E0142,2024-03-11,Theo dõi sát 24h đầu
ASN00177,SRV171872,E0230,2021-04-10,Ca khó - chú ý nhé
ASN00178,SRV171872,E0131,2021-12-31,Theo dõi nhịp tim và hô hấp
ASN00179,SRV166927,E0145,2024-07-26,Cần theo dõi đặc biệt
ASN00180,SRV78036,E0210,2023-02-12,Cần theo dõi đặc biệt
ASN00181,SRV78036,E0215,2022-04-06,Bệnh nhân VIP - chăm sóc kỹ
ASN00182,SRV145775,E0233,2021-06-26,Theo dõi nhịp tim và hô hấp
ASN00183,SRV145775,E0244,2022-01-13,Chú ý dấu hiệu nhiễm trùng
ASN00184,SRV25325,E0252,2021-12-02,Theo dõi bình thường
ASN00185,SRV86525,E0159,2021-11-10,Theo dõi sát 24h đầu
ASN00186,SRV70645,E0219,2023-11-21,Theo dõi bình thường
ASN00187,SRV70645,E0126,2024-05-17,Theo dõi sát 24h đầu
ASN00188,SRV172560,E0213,2023-02-25,Theo dõi nhịp tim và hô hấp
ASN00189,SRV172560,E0246,2023-04-21,Cần theo dõi đặc biệt
ASN00190,SRV0227,E0185,2022-02-05,Ca khó - chú ý nhé
ASN00191,SRV113723,E0179,2021-05-21,Theo dõi hậu phẫu thường quy
ASN00192,SRV113723,E0229,2024-10-15,Ca khó - chú ý nhé
ASN00193,SRV104708,E0232,2021-06-24,Theo dõi bình thường
ASN00194,SRV52232,E0123,2024-03-31,Bệnh nhân VIP - chăm sóc kỹ
ASN00195,SRV52232,E0134,2024-05-01,Bệnh nhân VIP - chăm sóc kỹ
ASN00196,SRV16828,E0124,2023-11-28,Theo dõi sát 24h đầu
ASN00197,SRV84117,E0153,2021-01-17,Theo dõi nhịp tim và hô hấp
ASN00198,SRV84117,E0233,2024-08-10,Theo dõi bình thường
ASN00199,SRV28569,E0149,2023-11-18,Theo dõi nhịp tim và hô hấp
ASN00200,SRV28569,E0154,2023-09-24,Cần theo dõi đặc biệt
ASN00201,SRV79433,E0176,2021-11-25,Theo dõi sát 24h đầu
ASN00202,SRV170451,E0222,2022-03-03,Theo dõi nhịp tim và hô hấp
ASN00203,SRV170451,E0122,2024-04-01,Theo dõi bình thường
ASN00204,SRV111859,E0132,2023-07-20,Theo dõi sát 24h đầu
ASN00205,SRV111859,E0213,2022-03-07,Ca khó - chú ý nhé
ASN00206,SRV114745,E0136,2022-06-24,Ca khó - chú ý nhé
ASN00207,SRV36401,E0202,2021-01-08,Theo dõi sát 24h đầu
ASN00208,SRV71266,E0140,2024-08-14,Theo dõi hậu phẫu thường quy
ASN00209,SRV71266,E0166,2021-02-01,Theo dõi bình thường
ASN00210,SRV162132,E0268,2022-03-14,Theo dõi hậu phẫu thường quy
ASN00211,SRV183075,E0221,2022-06-16,Theo dõi hậu phẫu thường quy
ASN00212,SRV183075,E0157,2022-11-06,Theo dõi bình thường
ASN00213,SRV68863,E0128,2023-10-23,Theo dõi hậu phẫu thường quy
ASN00214,SRV179562,E0270,2021-12-22,Theo dõi hậu phẫu thường quy
ASN00215,SRV179562,E0133,2023-03-06,Theo dõi hậu phẫu thường quy
ASN00216,SRV110744,E0172,2021-04-26,Theo dõi bình thường
ASN00217,SRV110744,E0216,2022-11-18,Ca khó - chú ý nhé
ASN00218,SRV56408,E0160,2024-11-11,Bệnh nhân VIP - chăm sóc kỹ
ASN00219,SRV56408,E0209,2021-06-13,Theo dõi bình thường
ASN00220,SRV35283,E0213,2023-08-30,Theo dõi hậu phẫu thường quy
ASN00221,SRV35283,E0171,2021-04-30,Theo dõi sát 24h đầu
ASN00222,SRV182544,E0224,2022-05-01,Bệnh nhân VIP - chăm sóc kỹ
ASN00223,SRV182544,E0152,2023-01-26,Theo dõi hậu phẫu thường quy
ASN00224,SRV73717,E0128,2024-08-31,Theo dõi hậu phẫu thường quy
ASN00225,SRV134552,E0233,2024-05-08,Cần theo dõi đặc biệt
ASN00226,SRV112946,E0132,2022-06-11,Cần theo dõi đặc biệt
ASN00227,SRV112946,E0169,2021-03-31,Ca khó - chú ý nhé
ASN00228,SRV12048,E0222,2022-04-05,Chú ý dấu hiệu nhiễm trùng
ASN00229,SRV12048,E0250,2024-11-07,Chú ý dấu hiệu nhiễm trùng
ASN00230,SRV94342,E0177,2022-11-05,Cần theo dõi đặc biệt
ASN00231,SRV94342,E0140,2024-11-07,Theo dõi bình thường
ASN00232,SRV193635,E0267,2021-04-04,Theo dõi nhịp tim và hô hấp
ASN00233,SRV48472,E0225,2023-02-16,Ca khó - chú ý nhé
ASN00234,SRV48472,E0249,2021-07-16,Ca khó - chú ý nhé
ASN00235,SRV178466,E0121,2023-09-12,Bệnh nhân VIP - chăm sóc kỹ
ASN00236,SRV74564,E0215,2021-07-06,Theo dõi bình thường
ASN00237,SRV74564,E0260,2023-02-22,Cần theo dõi đặc biệt
ASN00238,SRV34534,E0173,2024-04-28,Theo dõi hậu phẫu thường quy
ASN00239,SRV34534,E0215,2023-03-18,Ca khó - chú ý nhé
ASN00240,SRV18718,E0252,2024-07-18,Theo dõi sát 24h đầu
ASN00241,SRV18718,E0188,2022-03-29,Theo dõi hậu phẫu thường quy
ASN00242,SRV174419,E0177,2023-07-24,Theo dõi nhịp tim và hô hấp
ASN00243,SRV36724,E0265,2024-07-09,Chú ý dấu hiệu nhiễm trùng
ASN00244,SRV36724,E0200,2021-08-27,Bệnh nhân VIP - chăm sóc kỹ
ASN00245,SRV83856,E0189,2023-01-19,Theo dõi bình thường
ASN00246,SRV137713,E0226,2022-12-17,Cần theo dõi đặc biệt
ASN00247,SRV45395,E0148,2024-08-10,Theo dõi nhịp tim và hô hấp
ASN00248,SRV48270,E0221,2023-04-18,Bệnh nhân VIP - chăm sóc kỹ
ASN00249,SRV48270,E0229,2023-02-14,Ca khó - chú ý nhé
ASN00250,SRV33563,E0193,2023-08-26,Theo dõi hậu phẫu thường quy
ASN00251,SRV33563,E0230,2023-02-26,Bệnh nhân VIP - chăm sóc kỹ
ASN00252,SRV188734,E0255,2021-02-13,Theo dõi bình thường
ASN00253,SRV188734,E0162,2024-05-25,Theo dõi nhịp tim và hô hấp
ASN00254,SRV30513,E0139,2021-02-07,Theo dõi nhịp tim và hô hấp
ASN00255,SRV30513,E0183,2022-10-26,Theo dõi sát 24h đầu
ASN00256,SRV76633,E0189,2022-02-11,Bệnh nhân VIP - chăm sóc kỹ
ASN00257,SRV76633,E0192,2024-01-18,Theo dõi bình thường
ASN00258,SRV39817,E0162,2021-03-06,Theo dõi bình thường
ASN00259,SRV183724,E0159,2023-06-10,Theo dõi hậu phẫu thường quy
ASN00260,SRV168484,E0149,2024-09-29,Cần theo dõi đặc biệt
ASN00261,SRV115379,E0233,2022-04-09,Chú ý dấu hiệu nhiễm trùng
ASN00262,SRV109246,E0232,2022-02-28,Chú ý dấu hiệu nhiễm trùng
ASN00263,SRV109246,E0181,2023-05-15,Cần theo dõi đặc biệt
ASN00264,SRV116781,E0268,2022-08-11,Theo dõi sát 24h đầu
ASN00265,SRV43099,E0263,2023-01-18,Theo dõi hậu phẫu thường quy
ASN00266,SRV43099,E0122,2023-06-30,Ca khó - chú ý nhé
ASN00267,SRV161676,E0234,2021-10-21,Theo dõi bình thường
ASN00268,SRV161676,E0208,2021-09-14,Theo dõi nhịp tim và hô hấp
ASN00269,SRV64458,E0137,2023-11-01,Theo dõi bình thường
ASN00270,SRV64458,E0190,2021-07-08,Theo dõi bình thường
ASN00271,SRV48116,E0199,2021-11-13,Cần theo dõi đặc biệt
ASN00272,SRV48116,E0252,2024-02-20,Bệnh nhân VIP - chăm sóc kỹ
ASN00273,SRV198795,E0193,2024-12-31,Ca khó - chú ý nhé
ASN00274,SRV198795,E0181,2021-01-03,Theo dõi hậu phẫu thường quy
ASN00275,SRV74471,E0254,2023-01-27,Theo dõi sát 24h đầu
ASN00276,SRV74471,E0230,2022-07-29,Chú ý dấu hiệu nhiễm trùng
ASN00277,SRV131459,E0121,2022-08-01,Theo dõi bình thường
ASN00278,SRV72206,E0178,2024-05-13,Chú ý dấu hiệu nhiễm trùng
ASN00279,SRV72206,E0121,2023-10-26,Cần theo dõi đặc biệt
ASN00280,SRV135950,E0255,2022-04-30,Ca khó - chú ý nhé
ASN00281,SRV135950,E0208,2024-10-25,Theo dõi hậu phẫu thường quy
ASN00282,SRV109505,E0137,2023-02-17,Cần theo dõi đặc biệt
ASN00283,SRV121406,E0248,2023-03-09,Theo dõi bình thường
ASN00284,SRV140234,E0174,2023-07-13,Theo dõi sát 24h đầu
ASN00285,SRV165283,E0208,2022-09-14,Theo dõi hậu phẫu thường quy
ASN00286,SRV165283,E0193,2024-06-05,Bệnh nhân VIP - chăm sóc kỹ
ASN00287,SRV157586,E0132,2024-02-01,Chú ý dấu hiệu nhiễm trùng
ASN00288,SRV157586,E0227,2024-09-06,Cần theo dõi đặc biệt
ASN00289,SRV144333,E0153,2024-11-07,Theo dõi nhịp tim và hô hấp
ASN00290,SRV64958,E0130,2021-12-12,Theo dõi nhịp tim và hô hấp
ASN00291,SRV64958,E0156,2021-09-21,Bệnh nhân VIP - chăm sóc kỹ
ASN00292,SRV145139,E0144,2023-08-13,Cần theo dõi đặc biệt
ASN00293,SRV145139,E0269,2021-04-27,Bệnh nhân VIP - chăm sóc kỹ
ASN00294,SRV85676,E0142,2021-06-01,Theo dõi nhịp tim và hô hấp
ASN00295,SRV188564,E0193,2022-02-15,Theo dõi hậu phẫu thường quy
ASN00296,SRV188564,E0166,2023-12-01,Bệnh nhân VIP - chăm sóc kỹ
ASN00297,SRV156138,E0218,2021-09-13,Bệnh nhân VIP - chăm sóc kỹ
ASN00298,SRV156138,E0228,2023-12-28,Theo dõi nhịp tim và hô hấp
ASN00299,SRV148208,E0197,2023-12-01,Theo dõi hậu phẫu thường quy
ASN00300,SRV148208,E0131,2021-09-12,Theo dõi nhịp tim và hô hấp
ASN00301,SRV163310,E0223,2022-07-10,Ca khó - chú ý nhé
ASN00302,SRV163310,E0152,2022-05-08,Theo dõi hậu phẫu thường quy
ASN00303,SRV153827,E0170,2023-10-05,Cần theo dõi đặc biệt
ASN00304,SRV179531,E0197,2021-02-21,Theo dõi hậu phẫu thường quy
ASN00305,SRV134959,E0166,2021-07-23,Bệnh nhân VIP - chăm sóc kỹ
ASN00306,SRV134959,E0135,2023-12-19,Ca khó - chú ý nhé
ASN00307,SRV99574,E0136,2021-07-27,Cần theo dõi đặc biệt
ASN00308,SRV166200,E0201,2022-09-23,Ca khó - chú ý nhé
ASN00309,SRV166200,E0241,2024-05-25,Bệnh nhân VIP - chăm sóc kỹ
ASN00310,SRV98106,E0154,2021-04-24,Theo dõi bình thường
ASN00311,SRV98106,E0138,2023-09-16,Cần theo dõi đặc biệt
ASN00312,SRV185782,E0167,2022-08-08,Theo dõi nhịp tim và hô hấp
ASN00313,SRV185782,E0131,2024-08-31,Theo dõi sát 24h đầu
ASN00314,SRV195738,E0142,2023-05-22,Theo dõi hậu phẫu thường quy
ASN00315,SRV195738,E0131,2024-11-10,Theo dõi hậu phẫu thường quy
ASN00316,SRV40323,E0244,2022-06-26,Theo dõi bình thường
ASN00317,SRV40323,E0187,2022-03-27,Ca khó - chú ý nhé
ASN00318,SRV116336,E0151,2023-05-14,Theo dõi nhịp tim và hô hấp
ASN00319,SRV116336,E0208,2022-11-06,Theo dõi nhịp tim và hô hấp
ASN00320,SRV173716,E0165,2021-04-05,Theo dõi sát 24h đầu
ASN00321,SRV115171,E0195,2021-12-29,Theo dõi bình thường
ASN00322,SRV13737,E0159,2022-01-19,Ca khó - chú ý nhé
ASN00323,SRV13737,E0179,2022-09-26,Cần theo dõi đặc biệt
ASN00324,SRV49028,E0261,2022-01-01,Theo dõi hậu phẫu thường quy
ASN00325,SRV49028,E0213,2021-04-01,Theo dõi hậu phẫu thường quy
ASN00326,SRV48836,E0222,2021-10-14,Cần theo dõi đặc biệt
ASN00327,SRV48836,E0157,2021-02-25,Bệnh nhân VIP - chăm sóc kỹ
ASN00328,SRV25161,E0266,2024-10-03,Theo dõi nhịp tim và hô hấp
ASN00329,SRV125619,E0232,2024-03-05,Bệnh nhân VIP - chăm sóc kỹ
ASN00330,SRV125619,E0170,2021-07-26,Theo dõi nhịp tim và hô hấp
ASN00331,SRV100987,E0244,2022-06-04,Bệnh nhân VIP - chăm sóc kỹ
ASN00332,SRV173964,E0193,2024-03-13,Chú ý dấu hiệu nhiễm trùng
ASN00333,SRV173964,E0137,2021-04-24,Theo dõi nhịp tim và hô hấp
ASN00334,SRV38275,E0221,2024-09-05,Theo dõi bình thường
ASN00335,SRV38275,E0152,2024-04-02,Bệnh nhân VIP - chăm sóc kỹ
ASN00336,SRV56213,E0209,2021-04-30,Theo dõi nhịp tim và hô hấp
ASN00337,SRV56213,E0148,2024-12-06,Theo dõi bình thường
ASN00338,SRV38030,E0190,2021-04-18,Theo dõi nhịp tim và hô hấp
ASN00339,SRV38030,E0169,2022-01-12,Chú ý dấu hiệu nhiễm trùng
