TaskID,AssignmentID,TaskName,IsCompleted,CompletedTime
TSK00001,ASN00001,Kiểm tra rỉ dịch,1,2021-01-08 10:26:13
TSK00002,ASN00001,Kiểm tra ăn uống,0,
TSK00003,ASN00001,Đánh giá mức độ đau,1,2024-04-28 23:44:10
TSK00004,ASN00001,Kiểm tra đi vệ sinh,1,2024-09-01 01:00:45
TSK00005,ASN00002,Kiểm tra phản xạ tỉnh táo,1,2022-07-15 18:14:58
TSK00006,ASN00002,Kiểm tra ăn uống,0,
TSK00007,ASN00002,Kiểm tra nhịp thở,0,
TSK00008,ASN00002,Vệ sinh vết mổ,1,2021-12-29 14:11:38
TSK00009,ASN00002,Kiểm tra độ liền da,0,
TSK00010,ASN00003,Đánh giá mức độ đau,1,2024-05-14 10:23:54
TSK00011,ASN00003,Kiểm tra ăn uống,0,
TSK00012,ASN00003,Theo dõi sốt,0,
TSK00013,ASN00003,Kiểm tra tuần hoàn,0,
TSK00014,ASN00003,Kiểm tra sưng tấy,1,2024-02-17 07:46:18
TSK00015,ASN00004,Kiểm tra tuần hoàn,1,2023-11-22 11:09:56
TSK00016,ASN00004,Theo dõi sốt,1,2022-01-30 17:06:39
TSK00017,ASN00004,Kiểm tra phản xạ tỉnh táo,1,2023-06-01 14:51:51
TSK00018,ASN00005,Kiểm tra rỉ dịch,1,2021-04-17 10:12:23
TSK00019,ASN00005,Kiểm tra tuần hoàn,0,
TSK00020,ASN00005,Đo nhiệt độ cơ thể,1,2023-03-06 21:10:19
TSK00021,ASN00006,Kiểm tra sưng tấy,0,
TSK00022,ASN00006,Kiểm tra rỉ dịch,1,2021-12-26 20:49:56
TSK00023,ASN00006,Kiểm tra tuần hoàn,1,2024-11-17 03:04:58
TSK00024,ASN00006,Đo nhiệt độ cơ thể,0,
TSK00025,ASN00006,Kiểm tra nhịp thở,1,2021-07-01 07:46:40
TSK00026,ASN00007,Kiểm tra sưng tấy,1,2024-06-06 09:23:08
TSK00027,ASN00007,Kiểm tra ăn uống,0,
TSK00028,ASN00007,Kiểm tra đi vệ sinh,1,2023-08-23 11:55:02
TSK00029,ASN00008,Đo nhiệt độ cơ thể,0,
TSK00030,ASN00008,Đánh giá mức độ đau,0,
TSK00031,ASN00008,Kiểm tra độ liền da,1,2022-09-05 07:35:16
TSK00032,ASN00008,Kiểm tra phản xạ tỉnh táo,1,2023-02-08 01:16:49
TSK00033,ASN00008,Kiểm tra sưng tấy,0,
TSK00034,ASN00009,Vệ sinh vết mổ,1,2024-07-17 22:54:15
TSK00035,ASN00009,Đo nhiệt độ cơ thể,1,2022-11-30 09:36:14
TSK00036,ASN00009,Kiểm tra phản xạ tỉnh táo,1,2021-08-28 03:43:34
TSK00037,ASN00009,Kiểm tra đi vệ sinh,1,2024-01-17 06:36:27
TSK00038,ASN00010,Kiểm tra phản xạ tỉnh táo,0,
TSK00039,ASN00010,Kiểm tra độ liền da,0,
TSK00040,ASN00010,Kiểm tra rỉ dịch,1,2024-06-17 09:30:57
