OrderID,ProductID,Quantity,TemporaryPrice
ORD057609,PRD1219,7,788074
ORD061574,PRD0008,8,150351
ORD054881,PRD1391,8,688043
ORD057666,PRD0102,3,460209
ORD031284,PRD1244,6,61163
ORD019469,PRD0966,5,793911
ORD042948,PRD0596,5,434101
ORD041526,PRD0103,4,308777
ORD014960,PRD0777,8,237843
ORD039959,PRD1219,5,937377
ORD058790,PRD0446,2,980592
ORD086521,PRD0408,6,377547
ORD041708,PRD0951,1,628467
ORD085147,PRD0704,7,908993
ORD029180,PRD0517,2,356991
ORD053442,PRD0705,5,297381
ORD001966,PRD0980,7,980289
ORD028095,PRD1158,5,468318
ORD020744,PRD1073,5,765644
ORD046145,PRD1088,10,296224
ORD079897,PRD0768,4,903017
ORD083972,PRD1309,7,118989
ORD084615,PRD1260,9,172807
ORD064146,PRD0793,3,997322
ORD093376,PRD0194,1,854663
ORD058241,PRD0350,5,691116
ORD058930,PRD0558,8,42602
ORD019890,PRD0569,5,92273
ORD060666,PRD0695,7,659192
ORD050849,PRD0943,7,293820
ORD074064,PRD0221,1,95508
ORD022322,PRD1063,2,88267
ORD005493,PRD1263,8,739891
ORD040706,PRD0847,9,972515
ORD021745,PRD1302,5,418747
ORD050913,PRD1421,8,476077
ORD038322,PRD1494,10,922637
ORD023925,PRD1032,4,905772
ORD064776,PRD1086,8,439255
ORD008566,PRD0331,9,919674
ORD018834,PRD1343,8,678714
ORD031423,PRD1297,1,956909
ORD034870,PRD1194,9,612740
ORD057699,PRD0354,10,100960
ORD027858,PRD0913,3,244804
ORD090123,PRD0535,10,646399
ORD073029,PRD1445,8,560344
ORD085538,PRD0712,7,449120
ORD072102,PRD0168,6,260800
ORD023542,PRD0070,4,252139
ORD078764,PRD0377,3,773670
ORD018969,PRD1139,10,526704
ORD083411,PRD0396,5,325258
ORD067232,PRD0402,1,494257
ORD048390,PRD0114,2,365456
ORD002360,PRD0638,7,76334
ORD011364,PRD0532,2,687659
ORD076320,PRD1047,6,747325
ORD002303,PRD1460,7,445017
ORD028107,PRD0658,1,633687
ORD006986,PRD1293,1,906828
ORD062439,PRD0423,2,39278
ORD010922,PRD0807,3,874883
ORD075800,PRD0086,7,92878
ORD038870,PRD0112,8,952124
ORD028538,PRD0961,2,409264
ORD090745,PRD1236,1,572575
ORD077402,PRD1245,5,61338
