OrderServiceID,CustomerID,PetID,CreateDate,CreateTime,BranchID
ORS000001,CUS39284,PET63895,2023-10-04,08:00:00,B003
ORS000002,CUS10340,PET15612,2023-06-25,16:00:00,B007
ORS000003,CUS64524,PET22150,2022-01-17,16:00:00,B006
ORS000004,CUS37940,PET25456,2024-08-30,16:00:00,B009
ORS000005,CUS15271,PET115290,2024-12-12,14:00:00,B007
ORS000006,CUS64822,PET108919,2022-09-25,14:00:00,B010
ORS000007,CUS33721,PET42053,2023-01-29,16:00:00,B004
ORS000008,CUS14126,PET74992,2024-09-08,08:00:00,B006
ORS000009,CUS21587,PET36566,2022-01-14,10:30:00,B007
ORS000010,CUS09403,PET81457,2023-05-31,14:00:00,B009
ORS000011,CUS02308,PET12510,2023-12-07,10:30:00,B007
ORS000012,CUS05637,PET62604,2023-09-27,14:00:00,B003
ORS000013,CUS27681,PET99265,2023-07-31,08:00:00,B007
ORS000014,CUS34407,PET71580,2023-09-21,14:00:00,B005
ORS000015,CUS15604,PET64319,2024-05-29,10:30:00,B002
ORS000016,CUS09124,PET72875,2023-12-29,08:00:00,B004
ORS000017,CUS52579,PET47787,2024-10-14,08:00:00,B010
ORS000018,CUS32956,PET116979,2022-02-21,10:30:00,B003
ORS000019,CUS58155,PET06089,2024-03-29,14:00:00,B001
ORS000020,CUS51426,PET56648,2023-10-07,16:00:00,B007
ORS000021,CUS54606,PET67687,2023-05-24,10:30:00,B010
ORS000022,CUS75982,PET19781,2023-06-13,08:00:00,B005
ORS000023,CUS17058,PET101013,2024-01-08,08:00:00,B008
ORS000024,CUS24186,PET34739,2022-05-01,16:00:00,B006
ORS000025,CUS63671,PET22560,2024-04-04,14:00:00,B001
ORS000026,CUS28523,PET64136,2023-06-12,16:00:00,B009
ORS000027,CUS61011,PET56073,2022-02-09,16:00:00,B003
ORS000028,CUS54822,PET62475,2024-01-09,14:00:00,B003
ORS000029,CUS30619,PET45039,2024-10-29,10:30:00,B004
ORS000030,CUS00221,PET04226,2024-07-24,16:00:00,B009
ORS000031,CUS57087,PET97951,2023-08-09,08:00:00,B010
ORS000032,CUS53425,PET93059,2024-09-15,10:30:00,B008
ORS000033,CUS35021,PET56725,2022-01-26,14:00:00,B002
ORS000034,CUS09897,PET09197,2024-10-22,08:00:00,B002
ORS000035,CUS52713,PET63202,2022-05-25,08:00:00,B004
ORS000036,CUS78609,PET99894,2023-10-09,16:00:00,B009
ORS000037,CUS49153,PET25871,2023-02-12,16:00:00,B006
ORS000038,CUS64988,PET60000,2023-08-18,16:00:00,B002
ORS000039,CUS01319,PET95525,2024-02-22,14:00:00,B004
