OrderID,CustomerID,SalesPersonID,CreateDate,CreateTime,Status,BranchID
ORD000001,CUS44275,E0434,2024-03-13,10:30:00,Paid,B005
ORD000002,CUS33114,E0411,2024-07-20,08:00:00,Paid,B001
ORD000003,CUS61318,E0357,2023-03-27,10:30:00,Created,B002
ORD000004,CUS12391,E0485,2022-11-18,15:00:00,Created,B005
ORD000005,CUS23884,E0357,2024-01-16,10:30:00,Cancelled,B008
ORD000006,CUS74426,E0312,2024-02-28,10:30:00,Cancelled,B005
ORD000007,CUS38623,E0301,2024-01-26,15:00:00,Cancelled,B009
ORD000008,CUS11117,E0350,2022-06-21,15:00:00,Paid,B005
ORD000009,CUS50788,E0491,2023-06-01,10:30:00,Created,B001
ORD000010,CUS04624,E0440,2024-08-28,15:00:00,Created,B006
ORD000011,CUS51751,E0318,2022-05-22,15:00:00,Created,B005
ORD000012,CUS38655,E0450,2022-05-02,19:00:00,Cancelled,B003
ORD000013,CUS73035,E0301,2024-03-06,10:30:00,Created,B010
ORD000014,CUS76022,E0496,2023-11-15,08:00:00,Created,B007
ORD000015,CUS54015,E0471,2022-06-30,10:30:00,Paid,B007
ORD000016,CUS67204,E0416,2023-02-07,10:30:00,Cancelled,B009
ORD000017,CUS32302,E0331,2024-12-20,08:00:00,Paid,B007
ORD000018,CUS26786,E0416,2022-01-24,10:30:00,Created,B007
ORD000019,CUS35253,E0331,2023-07-10,10:30:00,Created,B006
ORD000020,CUS11760,E0439,2024-02-12,08:00:00,Created,B009
ORD000021,CUS65732,E0288,2024-03-15,10:30:00,Created,B007
ORD000022,CUS22424,E0282,2022-05-03,08:00:00,Paid,B004
ORD000023,CUS56997,E0492,2023-04-10,10:30:00,Paid,B008
ORD000024,CUS73543,E0345,2023-01-24,19:00:00,Cancelled,B009
ORD000025,CUS42901,E0276,2023-04-21,19:00:00,Paid,B005
ORD000026,CUS59222,E0288,2024-08-08,08:00:00,Paid,B003
ORD000027,CUS60136,E0293,2023-12-09,19:00:00,Cancelled,B002
ORD000028,CUS16830,E0496,2024-11-03,19:00:00,Paid,B004
ORD000029,CUS37105,E0287,2023-06-27,19:00:00,Created,B004
ORD000030,CUS05618,E0453,2022-09-02,15:00:00,Cancelled,B008
ORD000031,CUS64757,E0305,2023-06-28,08:00:00,Paid,B008
ORD000032,CUS67266,E0322,2023-03-14,19:00:00,Created,B005
