VPID,VaccineID,Quantity
SRV155103,VAC0097,1
SRV36318,VAC0077,3
SRV36318,VAC0111,1
SRV135891,VAC0034,4
SRV160720,VAC0055,2
SRV97910,VAC0093,2
SRV131475,VAC0006,1
SRV182682,VAC0083,4
SRV72523,VAC0016,5
SRV4457,VAC0006,3
SRV73060,VAC0086,1
SRV86243,VAC0044,5
SRV104031,VAC0072,2
SRV17966,VAC0065,3
SRV31724,VAC0046,3
SRV36318,VAC0064,2
SRV131475,VAC0055,1
SRV160720,VAC0072,4
SRV109920,VAC0097,3
SRV160720,VAC0010,1
SRV192435,VAC0034,4
SRV109920,VAC0068,2
SRV109339,VAC0007,4
SRV135891,VAC0008,5
SRV138286,VAC0116,3
SRV96237,VAC0064,4
SRV26209,VAC0115,3
SRV177923,VAC0109,2
SRV158187,VAC0013,1
SRV104031,VAC0032,5
SRV160720,VAC0028,1
SRV104031,VAC0115,2
SRV78520,VAC0086,2
SRV156732,VAC0002,4
SRV26209,VAC0119,1
SRV74734,VAC0095,3
SRV40083,VAC0041,5
SRV133697,VAC0066,4
SRV104031,VAC0056,3
SRV133697,VAC0072,5
SRV121382,VAC0011,4
SRV167827,VAC0038,1
SRV139236,VAC0111,2
SRV182682,VAC0004,4
SRV156732,VAC0049,1
SRV4457,VAC0099,2
SRV160720,VAC0001,5
SRV40083,VAC0027,4
SRV97910,VAC0009,1
SRV78520,VAC0029,1
SRV63216,VAC0052,2
SRV168563,VAC0089,4
SRV182682,VAC0087,5
SRV119307,VAC0085,3
SRV157164,VAC0063,1
SRV182682,VAC0096,2
SRV139236,VAC0110,5
SRV158187,VAC0076,5
SRV192435,VAC0004,3
SRV158187,VAC0048,5
SRV167827,VAC0063,1
SRV156732,VAC0032,5
SRV119307,VAC0009,4
SRV78520,VAC0078,4
SRV177923,VAC0120,1
SRV135891,VAC0073,1
SRV135891,VAC0050,2
SRV40083,VAC0112,3
SRV158187,VAC0004,5
SRV138286,VAC0052,1
SRV138286,VAC0021,1
SRV78520,VAC0109,3
SRV26209,VAC0101,2
SRV121382,VAC0082,1
SRV167827,VAC0070,5
SRV119307,VAC0044,4
SRV127701,VAC0037,2
SRV109339,VAC0036,4
SRV97910,VAC0070,5
SRV121382,VAC0070,1
SRV109920,VAC0077,1
SRV40083,VAC0019,3
SRV127701,VAC0095,1
SRV127701,VAC0045,2
SRV104031,VAC0048,3
SRV104031,VAC0023,4
SRV135891,VAC0081,3
SRV119307,VAC0091,5
SRV73822,VAC0101,1
SRV73060,VAC0025,3
SRV31724,VAC0088,1
SRV97910,VAC0103,1
SRV17966,VAC0073,3
SRV168563,VAC0045,1
SRV78520,VAC0098,2
SRV109339,VAC0052,1
SRV168563,VAC0119,2
SRV73060,VAC0001,4
SRV157164,VAC0047,1
SRV138286,VAC0109,3
SRV139236,VAC0018,4
SRV139236,VAC0049,2
SRV14345,VAC0037,5
SRV155103,VAC0007,5
SRV109920,VAC0062,3
SRV63216,VAC0064,5
SRV31724,VAC0051,3
SRV139875,VAC0119,1
SRV160720,VAC0050,2
SRV104031,VAC0027,3
SRV158187,VAC0091,5
SRV182682,VAC0052,1
SRV72523,VAC0039,3
SRV97910,VAC0031,2
SRV139236,VAC0098,2
SRV73822,VAC0100,5
SRV17966,VAC0109,5
SRV26209,VAC0046,4
SRV167827,VAC0101,2
SRV104031,VAC0119,4
SRV160720,VAC0025,5
SRV156732,VAC0008,4
SRV157164,VAC0120,3
SRV104031,VAC0041,3
SRV155103,VAC0081,5
SRV135891,VAC0025,3
SRV4457,VAC0118,4
SRV157164,VAC0054,3
SRV112876,VAC0096,4
SRV73060,VAC0023,3
SRV133697,VAC0102,2
SRV72523,VAC0038,3
SRV26209,VAC0059,5
SRV4457,VAC0085,4
SRV4457,VAC0023,1
SRV121382,VAC0104,1
SRV109339,VAC0030,1
SRV112876,VAC0010,3
SRV131475,VAC0024,4
SRV73822,VAC0069,1
SRV177923,VAC0062,2
SRV73822,VAC0002,3
SRV104031,VAC0030,2
SRV31724,VAC0044,4
SRV167827,VAC0039,3
SRV158187,VAC0073,4
SRV138286,VAC0043,3
SRV139875,VAC0034,4
SRV192435,VAC0028,4
SRV63216,VAC0097,4
