PetID,CustomerID,PetName,Species,Breed,Birthday,Gender,HealthStatus
PET00001,CUS59155,Gấu,Mèo,Sphynx,2019-08-17,Cái,Chưa tiêm phòng
PET00002,CUS41347,Xôi,Rùa,Rùa Cạn,2023-02-10,Đực,Phục hồi chấn thương
PET00003,CUS66888,Mochi,Rùa,Rùa Tai Đỏ,2024-02-28,Đực,Cần theo dõi
PET00004,CUS27382,Butter,Thỏ,Thỏ Angora,2022-11-27,Cái,Sau phẫu thuật
PET00005,CUS59966,Cò,Mèo,Ragdoll,2018-11-22,Cái,Cần theo dõi
PET00006,CUS01318,Canh,Rùa,Rùa Núi Vimg,2023-02-17,Cái,Đang điều trị
PET00007,CUS01741,Mochi,Hamster,Hamster Roborovski,2024-05-30,Đực,Đang điều trị
PET00008,CUS18437,Bơ,Rùa,Rùa Cạn,2023-07-24,Cái,Sau phẫu thuật
PET00009,CUS11430,Gió,Mèo,Mèo Mướp,2018-09-30,Cái,Đang điều trị
PET00010,CUS55042,Simba,Rùa,Rùa Núi Vimg,2020-01-26,Đực,Phục hồi chấn thương
PET00011,CUS36880,Canh,Rùa,Rùa Cạn,2018-09-21,Đực,Chưa tiêm phòng
PET00012,CUS59305,Mây,Chim,Vẹt,2024-03-08,Cái,Cần theo dõi
PET00013,CUS23977,Hoa,Chó,Chó cỏ,2023-03-29,Cái,Chưa tiêm phòng
PET00014,CUS77813,Cún,Chó,Corgi,2022-06-01,Cái,Tiêm phòng đầy đủ
PET00015,CUS26139,Oreo,Mèo,Sphynx,2021-11-30,Đực,Cần theo dõi
PET00016,CUS36872,Cookie,Rùa,Rùa Tai Đỏ,2022-11-13,Cái,Khỏe mạnh
PET00017,CUS63752,Max,Chó,Corgi,2023-06-05,Đực,Phục hồi chấn thương
PET00018,CUS50090,Mochi,Thỏ,Thỏ Angora,2021-07-04,Đực,Đang điều trị
PET00019,CUS09673,Milo,Mèo,Sphynx,2023-12-14,Đực,Sau phẫu thuật
PET00020,CUS76704,Nắng,Thỏ,Thỏ Trắng,2019-07-30,Đực,Phục hồi chấn thương
PET00021,CUS01350,Honey,Chó,Corgi,2020-04-20,Đực,Tiêm phòng đầy đủ
PET00022,CUS40273,Phở,Chim,Chim Sáo,2019-09-28,Đực,Tiêm phòng đầy đủ
PET00023,CUS58642,Bánh,Rùa,Rùa Núi Vimg,2018-09-07,Đực,Cần theo dõi
PET00024,CUS59495,Chả,Chim,Chim Sáo,2023-04-26,Đực,Tiêm phòng đầy đủ
PET00025,CUS00282,Lucky,Chó,Béc giê Đức,2018-01-03,Cái,Sau phẫu thuật
PET00026,CUS77386,Milu,Chó,Chó Phú Quốc,2020-06-28,Cái,Phục hồi chấn thương
PET00027,CUS14759,Mây,Rùa,Rùa Sulcata,2022-05-12,Cái,Cần theo dõi
