MonitorID,SurgeryID,NurseID,CheckTime,Status,Note
MON000001,SRV124697,E0164,2021-06-04 15:49:33,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000002,SRV195488,E0244,2023-11-18 02:44:39,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000003,SRV47726,E0263,2022-07-24 15:16:25,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000004,SRV79043,E0242,2023-02-06 00:35:48,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000005,SRV155822,E0124,2023-10-09 10:40:56,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000006,SRV73249,E0221,2024-02-28 21:16:45,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000007,SRV142431,E0201,2024-09-10 13:39:00,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000008,SRV199903,E0180,2022-05-05 12:42:05,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000009,SRV2312,E0184,2021-01-18 00:34:21,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000010,SRV192816,E0228,2022-11-19 09:23:36,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000011,SRV120328,E0258,2021-03-03 12:34:36,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000012,SRV173772,E0195,2021-06-13 05:31:57,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000013,SRV170535,E0229,2022-01-16 23:49:44,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000014,SRV15330,E0234,2024-06-13 19:19:42,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000015,SRV14673,E0126,2023-01-01 03:00:15,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000016,SRV87121,E0195,2022-10-27 16:36:13,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000017,SRV0903,E0149,2023-08-22 14:50:13,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000018,SRV126318,E0204,2024-04-27 21:19:06,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000019,SRV14661,E0121,2023-04-20 17:45:44,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000020,SRV25599,E0200,2022-09-30 18:01:52,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000021,SRV142133,E0155,2021-12-31 00:03:29,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
