PrescriptionID,DrugID,Quantity,UsageInstruction
PRSC013652,DRG0074,6,"Uống sau khi ăn, ngày 2 lần"
PRSC024124,DRG0235,1,"Uống sau khi ăn, ngày 2 lần"
PRSC036902,DRG0204,5,"Uống sau khi ăn, ngày 2 lần"
PRSC044313,DRG0100,6,"Uống sau khi ăn, ngày 2 lần"
PRSC071851,DRG0062,1,"Uống sau khi ăn, ngày 2 lần"
PRSC058800,DRG0016,10,"Uống sau khi ăn, ngày 2 lần"
PRSC024950,DRG0258,5,"Uống sau khi ăn, ngày 2 lần"
PRSC017887,DRG0098,5,"Uống sau khi ăn, ngày 2 lần"
PRSC001070,DRG0079,9,"Uống sau khi ăn, ngày 2 lần"
PRSC024445,DRG0012,4,"Uống sau khi ăn, ngày 2 lần"
PRSC018731,DRG0008,4,"Uống sau khi ăn, ngày 2 lần"
PRSC061856,DRG0103,4,"Uống sau khi ăn, ngày 2 lần"
PRSC055763,DRG0039,10,"Uống sau khi ăn, ngày 2 lần"
PRSC026708,DRG0279,9,"Uống sau khi ăn, ngày 2 lần"
PRSC056816,DRG0175,2,"Uống sau khi ăn, ngày 2 lần"
PRSC014878,DRG0213,7,"Uống sau khi ăn, ngày 2 lần"
PRSC063076,DRG0265,5,"Uống sau khi ăn, ngày 2 lần"
PRSC069061,DRG0181,3,"Uống sau khi ăn, ngày 2 lần"
PRSC020971,DRG0181,10,"Uống sau khi ăn, ngày 2 lần"
PRSC049692,DRG0109,7,"Uống sau khi ăn, ngày 2 lần"
PRSC059326,DRG0069,7,"Uống sau khi ăn, ngày 2 lần"
PRSC028926,DRG0135,3,"Uống sau khi ăn, ngày 2 lần"
PRSC019475,DRG0098,9,"Uống sau khi ăn, ngày 2 lần"
PRSC078495,DRG0133,3,"Uống sau khi ăn, ngày 2 lần"
PRSC072890,DRG0224,4,"Uống sau khi ăn, ngày 2 lần"
PRSC026376,DRG0198,9,"Uống sau khi ăn, ngày 2 lần"
PRSC030964,DRG0204,1,"Uống sau khi ăn, ngày 2 lần"
PRSC023972,DRG0282,10,"Uống sau khi ăn, ngày 2 lần"
