ProductID,ProductName,ProductType,SellingPrice
PRD0001,Lồng vận chuyển,Phụ kiện,192218
PRD0002,Me-O Premium,Thức ăn mèo,239622
PRD0003,Lược chải lông,Dụng cụ grooming,89765
PRD0004,Bàn chải đánh răng,Dụng cụ grooming,329957
PRD0005,Bóng lông vũ mèo,Đồ chơi,84616
PRD0006,Giày đi mưa chó,Phụ kiện,66137
PRD0007,Royal Canin Mèo,Thức ăn mèo,737109
PRD0008,Vitamin cho chó,Chăm sóc sức khỏe,134400
PRD0009,Lược chải lông,Dụng cụ grooming,146916
PRD0010,Bàn grooming,Dụng cụ grooming,328492
PRD0011,Bóng lông vũ mèo,Đồ chơi,262107
PRD0012,Frisbee chó,Đồ chơi,40159
PRD0013,Royal Canin Adult Chó,Thức ăn chó,694899
PRD0014,Bột sữa cho chó con,Chăm sóc sức khỏe,233565
PRD0015,Kéo cắt móng,Dụng cụ grooming,368022
PRD0016,Dầu cá omega 3,Chăm sóc sức khỏe,220331
PRD0017,Kéo cắt móng,Dụng cụ grooming,165750
PRD0018,Bát nước tự động,Phụ kiện,431121
PRD0019,Royal Canin Adult Chó,Thức ăn chó,235989
PRD0020,Vitamin cho chó,Chăm sóc sức khỏe,100253
PRD0021,Pedigree Hạt Khô,Thức ăn chó,775174
PRD0022,Ganador Adult,Thức ăn chó,655226
PRD0023,Tunnel chơi cho mèo,Đồ chơi,141704
PRD0024,Purina One,Thức ăn mèo,260731
PRD0025,Smartheart Chó Con,Thức ăn chó,596662
PRD0026,Pedigree Hạt Khô,Thức ăn chó,568016
PRD0027,Me-O Premium,Thức ăn mèo,388963
PRD0028,Thuốc vệ sinh tai,Chăm sóc sức khỏe,270291
PRD0029,Laser pointer mèo,Đồ chơi,36123
PRD0030,Minino Yum,Thức ăn mèo,505264
PRD0031,Felidae Mèo,Thức ăn mèo,756063
PRD0032,Dầu cá omega 3,Chăm sóc sức khỏe,160835
PRD0033,Bột sữa cho chó con,Chăm sóc sức khỏe,347880
PRD0034,Chuông leng keng,Đồ chơi,45669
PRD0035,Sữa tắm dưỡng lông,Vệ sinh,300639
PRD0036,Laser pointer mèo,Đồ chơi,142465
PRD0037,Me-O Premium,Thức ăn mèo,750529
PRD0038,Bát nước tự động,Phụ kiện,181573
PRD0039,Găng tay chải lông,Dụng cụ grooming,241530
PRD0040,Bóng cao su chó,Đồ chơi,96571
PRD0041,Bát nước tự động,Phụ kiện,252838
PRD0042,Áo mưa thú cưng,Phụ kiện,337878
PRD0043,Sữa cho mèo con,Chăm sóc sức khỏe,324073
PRD0044,Máy sấy lông,Dụng cụ grooming,247763
PRD0045,Catsrang Mèo,Thức ăn mèo,405311
PRD0046,Cat's Eye,Thức ăn mèo,164685
PRD0047,Khăn choàng chó,Phụ kiện,400946
PRD0048,Vitamin cho chó,Chăm sóc sức khỏe,329209
PRD0049,Khay vệ sinh mèo,Vệ sinh,390876
PRD0050,Dầu gội mèo,Vệ sinh,383266
PRD0051,Áo mưa thú cưng,Phụ kiện,241287
PRD0052,Men tiêu hóa,Chăm sóc sức khỏe,254766
PRD0053,Blue Buffalo Mèo,Thức ăn mèo,434432
PRD0054,Hill's Science Diet Mèo,Thức ăn mèo,603719
PRD0055,Nước hoa xịt thú cưng,Vệ sinh,89676
PRD0056,Laser pointer mèo,Đồ chơi,235718
PRD0057,Nước hoa xịt thú cưng,Vệ sinh,158756
PRD0058,Purina One,Thức ăn mèo,503628
PRD0059,Dây thừng kéo,Đồ chơi,263101
PRD0060,Thuốc vệ sinh tai,Chăm sóc sức khỏe,144488
PRD0061,Men tiêu hóa,Chăm sóc sức khỏe,276423
PRD0062,Royal Canin Adult Chó,Thức ăn chó,572067
PRD0063,Áo mưa thú cưng,Phụ kiện,331118
PRD0064,Nutri Source Chó,Thức ăn chó,730741
PRD0065,ANF Chó Trưởng Thành,Thức ăn chó,655212
PRD0066,Cát vệ sinh mèo,Vệ sinh,99954
PRD0067,Frisbee chó,Đồ chơi,118891
PRD0068,Dầu gội mèo,Vệ sinh,319746
PRD0069,Nutri Source Chó,Thức ăn chó,626783
PRD0070,Rọ mõm chó,Phụ kiện,369143
PRD0071,Laser pointer mèo,Đồ chơi,232223
PRD0072,Canxi bổ sung,Chăm sóc sức khỏe,244620
PRD0073,Bóng cao su chó,Đồ chơi,151310
PRD0074,Nước hoa xịt thú cưng,Vệ sinh,206961
PRD0075,Lược chải lông,Dụng cụ grooming,166152
PRD0076,Găng tay chải lông,Dụng cụ grooming,225033
