ServiceID,ServiceName,ServiceDescription,DID
SRV0001,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0085
SRV0002,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0055
SRV0003,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0037
SRV0004,Phẫu thuật xương khớp,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0053
SRV0005,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0026
SRV0006,Tiêm vắc-xin Leukemia mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0044
SRV0007,Phẫu thuật nội soi,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0084
SRV0008,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0082
SRV0009,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0117
SRV0010,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0120
SRV0011,Tiêm vắc-xin Leukemia mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0108
SRV0012,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0071
SRV0013,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0098
SRV0014,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0087
SRV0015,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0095
SRV0016,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0094
SRV0017,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0103
SRV0018,Khám tim mạch,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0082
SRV0019,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0053
