SurgeryID,PetID,PrescriptionID,SurgeryStatus,SurgeryType,AnesthesiaType,SurgeryDate,DiagnosisNote
SRV48226,PET98245,PRSC022986,Đã thực hiện,Nội soi,Gây mê toàn thân,2021-11-04 22:13:16,Phẫu thuật theo chỉ định bác sĩ
SRV22863,PET80762,PRSC056949,Đã thực hiện,Mổ bụng,Gây tê,2022-12-07 02:19:01,Phẫu thuật theo chỉ định bác sĩ
SRV148754,PET111963,PRSC034271,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2023-04-21 07:32:35,Phẫu thuật theo chỉ định bác sĩ
SRV30532,PET58599,PRSC015181,Đã thực hiện,Mổ bụng,Gây tê,2023-01-11 22:07:18,Phẫu thuật theo chỉ định bác sĩ
SRV10889,PET79064,PRSC015663,Đã thực hiện,Thiến,Gây tê,2021-03-29 22:17:23,Phẫu thuật theo chỉ định bác sĩ
SRV45502,PET110880,PRSC049416,Đang theo dõi,Mổ u,Gây mê toàn thân,2024-12-15 06:55:23,Phẫu thuật theo chỉ định bác sĩ
SRV101079,PET20263,PRSC006005,Đang theo dõi,Mổ u,Gây tê,2024-01-12 13:55:57,Phẫu thuật theo chỉ định bác sĩ
SRV62090,PET110127,PRSC065275,Đã thực hiện,Thiến,Gây tê,2021-02-04 02:33:35,Phẫu thuật theo chỉ định bác sĩ
SRV124025,PET110458,PRSC027033,Đã thực hiện,Mổ bụng,Gây tê,2022-07-13 02:49:25,Phẫu thuật theo chỉ định bác sĩ
SRV81030,PET21968,PRSC057678,Đã thực hiện,Mổ u,Gây mê toàn thân,2024-01-23 09:29:58,Phẫu thuật theo chỉ định bác sĩ
SRV46670,PET95060,PRSC036949,Đang theo dõi,Thiến,Gây mê toàn thân,2022-04-16 21:56:19,Phẫu thuật theo chỉ định bác sĩ
SRV177422,PET27547,PRSC066371,Đã thực hiện,Thiến,Gây tê,2021-03-10 04:17:57,Phẫu thuật theo chỉ định bác sĩ
SRV37833,PET46401,PRSC069333,Đã thực hiện,Mổ u,Gây tê,2021-01-11 15:50:39,Phẫu thuật theo chỉ định bác sĩ
SRV147940,PET86295,PRSC079253,Đã thực hiện,Mổ u,Gây tê,2021-08-23 19:59:42,Phẫu thuật theo chỉ định bác sĩ
SRV46174,PET78643,PRSC059157,Đã thực hiện,Thiến,Gây mê toàn thân,2023-10-24 07:22:22,Phẫu thuật theo chỉ định bác sĩ
SRV125450,PET38666,PRSC060858,Đang theo dõi,Thiến,Gây mê toàn thân,2021-08-23 06:19:48,Phẫu thuật theo chỉ định bác sĩ
SRV168276,PET86582,PRSC070714,Đang theo dõi,Nội soi,Gây tê,2024-03-11 02:57:46,Phẫu thuật theo chỉ định bác sĩ
SRV12758,PET112337,PRSC024817,Đang theo dõi,Thiến,Gây mê toàn thân,2022-11-18 04:37:36,Phẫu thuật theo chỉ định bác sĩ
SRV124914,PET42656,PRSC064026,Đang theo dõi,Thiến,Gây mê toàn thân,2021-10-11 05:18:02,Phẫu thuật theo chỉ định bác sĩ
SRV27558,PET119496,PRSC049180,Đã thực hiện,Thiến,Gây tê,2024-02-04 02:11:05,Phẫu thuật theo chỉ định bác sĩ
SRV5691,PET82423,PRSC064310,Đang theo dõi,Mổ u,Gây mê toàn thân,2023-04-30 18:06:35,Phẫu thuật theo chỉ định bác sĩ
SRV188403,PET90093,PRSC007770,Đã thực hiện,Mổ u,Gây tê,2023-06-18 03:57:07,Phẫu thuật theo chỉ định bác sĩ
SRV147887,PET86708,PRSC046920,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2024-04-04 03:55:13,Phẫu thuật theo chỉ định bác sĩ
SRV101337,PET98493,PRSC053507,Đã thực hiện,Thiến,Gây tê,2023-05-10 02:09:53,Phẫu thuật theo chỉ định bác sĩ
SRV154716,PET28514,PRSC020730,Đã thực hiện,Nội soi,Gây mê toàn thân,2023-04-23 00:08:49,Phẫu thuật theo chỉ định bác sĩ
SRV89909,PET08305,PRSC017833,Đang theo dõi,Mổ u,Gây mê toàn thân,2022-05-29 23:29:07,Phẫu thuật theo chỉ định bác sĩ
SRV70782,PET42154,PRSC046176,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2023-12-03 08:45:35,Phẫu thuật theo chỉ định bác sĩ
SRV158910,PET88665,PRSC015737,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-08-22 08:31:32,Phẫu thuật theo chỉ định bác sĩ
SRV59413,PET107011,PRSC034272,Đã thực hiện,Mổ bụng,Gây tê,2023-12-10 12:29:59,Phẫu thuật theo chỉ định bác sĩ
SRV57419,PET50246,PRSC056038,Đang theo dõi,Mổ u,Gây mê toàn thân,2022-05-08 03:40:08,Phẫu thuật theo chỉ định bác sĩ
SRV15246,PET07552,PRSC009413,Đã thực hiện,Thiến,Gây mê toàn thân,2022-01-22 00:47:09,Phẫu thuật theo chỉ định bác sĩ
SRV136817,PET10211,PRSC058305,Đã thực hiện,Nội soi,Gây mê toàn thân,2023-04-22 19:20:21,Phẫu thuật theo chỉ định bác sĩ
SRV180012,PET09130,PRSC036163,Đã thực hiện,Mổ bụng,Gây tê,2023-04-09 20:28:05,Phẫu thuật theo chỉ định bác sĩ
SRV88277,PET22897,PRSC056231,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2022-05-21 10:54:52,Phẫu thuật theo chỉ định bác sĩ
SRV95540,PET10619,PRSC054962,Đang theo dõi,Thiến,Gây mê toàn thân,2024-03-27 06:50:21,Phẫu thuật theo chỉ định bác sĩ
SRV112718,PET59295,PRSC001542,Đã thực hiện,Thiến,Gây tê,2021-01-28 17:00:27,Phẫu thuật theo chỉ định bác sĩ
SRV147398,PET05441,PRSC007689,Đã thực hiện,Nội soi,Gây tê,2021-08-14 23:50:46,Phẫu thuật theo chỉ định bác sĩ
SRV119058,PET42457,PRSC012376,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-02-03 12:48:41,Phẫu thuật theo chỉ định bác sĩ
SRV28888,PET75348,PRSC008260,Đã thực hiện,Mổ u,Gây tê,2021-02-27 03:40:24,Phẫu thuật theo chỉ định bác sĩ
SRV115680,PET24565,PRSC040292,Đã thực hiện,Mổ u,Gây tê,2021-01-22 07:59:42,Phẫu thuật theo chỉ định bác sĩ
SRV162378,PET55111,PRSC031285,Đang theo dõi,Mổ bụng,Gây tê,2021-03-21 10:03:49,Phẫu thuật theo chỉ định bác sĩ
SRV143342,PET56005,PRSC042198,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2024-11-24 17:01:53,Phẫu thuật theo chỉ định bác sĩ
SRV64271,PET46310,PRSC032336,Đã thực hiện,Thiến,Gây tê,2022-12-11 10:18:55,Phẫu thuật theo chỉ định bác sĩ
SRV144799,PET63576,PRSC027603,Đã thực hiện,Mổ u,Gây mê toàn thân,2024-09-14 10:22:27,Phẫu thuật theo chỉ định bác sĩ
SRV50510,PET114557,PRSC042317,Đang theo dõi,Mổ u,Gây mê toàn thân,2021-06-15 21:39:22,Phẫu thuật theo chỉ định bác sĩ
SRV107407,PET82517,PRSC060032,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-02-06 21:08:49,Phẫu thuật theo chỉ định bác sĩ
SRV198188,PET54860,PRSC068519,Đang theo dõi,Mổ u,Gây tê,2024-10-20 08:33:17,Phẫu thuật theo chỉ định bác sĩ
SRV193159,PET117877,PRSC034767,Đã thực hiện,Mổ u,Gây mê toàn thân,2022-10-05 03:35:16,Phẫu thuật theo chỉ định bác sĩ
SRV198807,PET106773,PRSC029577,Đang theo dõi,Thiến,Gây tê,2024-02-24 08:37:41,Phẫu thuật theo chỉ định bác sĩ
SRV135243,PET109614,PRSC041159,Đã thực hiện,Nội soi,Gây tê,2021-02-05 19:31:28,Phẫu thuật theo chỉ định bác sĩ
SRV63896,PET30801,PRSC079039,Đang theo dõi,Thiến,Gây tê,2023-10-04 20:43:08,Phẫu thuật theo chỉ định bác sĩ
SRV186117,PET62125,PRSC052983,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2023-06-09 05:07:35,Phẫu thuật theo chỉ định bác sĩ
SRV111097,PET56262,PRSC049598,Đang theo dõi,Thiến,Gây mê toàn thân,2024-01-19 14:13:31,Phẫu thuật theo chỉ định bác sĩ
SRV73435,PET02739,PRSC076308,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2022-11-07 06:54:44,Phẫu thuật theo chỉ định bác sĩ
SRV128387,PET03355,PRSC001449,Đã thực hiện,Mổ u,Gây tê,2023-11-09 21:39:44,Phẫu thuật theo chỉ định bác sĩ
SRV35675,PET86945,PRSC007384,Đã thực hiện,Nội soi,Gây mê toàn thân,2024-04-09 12:05:42,Phẫu thuật theo chỉ định bác sĩ
SRV7233,PET34355,PRSC010681,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-04-26 21:20:29,Phẫu thuật theo chỉ định bác sĩ
SRV71114,PET04977,PRSC022179,Đã thực hiện,Thiến,Gây mê toàn thân,2024-05-29 08:13:25,Phẫu thuật theo chỉ định bác sĩ
SRV55578,PET111557,PRSC034247,Đã thực hiện,Thiến,Gây tê,2023-10-27 11:55:38,Phẫu thuật theo chỉ định bác sĩ
SRV112836,PET51891,PRSC054730,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-04-25 23:54:41,Phẫu thuật theo chỉ định bác sĩ
SRV140619,PET111104,PRSC031470,Đang theo dõi,Mổ u,Gây tê,2024-04-25 19:52:04,Phẫu thuật theo chỉ định bác sĩ
SRV72221,PET31647,PRSC022747,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2023-10-21 01:19:51,Phẫu thuật theo chỉ định bác sĩ
SRV105842,PET29358,PRSC070887,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-01-28 23:00:16,Phẫu thuật theo chỉ định bác sĩ
SRV146800,PET115873,PRSC048986,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2024-08-15 22:38:14,Phẫu thuật theo chỉ định bác sĩ
SRV102803,PET58916,PRSC019956,Đã thực hiện,Mổ u,Gây tê,2024-09-28 12:29:10,Phẫu thuật theo chỉ định bác sĩ
SRV179127,PET59389,PRSC058191,Đã thực hiện,Mổ u,Gây tê,2022-02-25 05:26:47,Phẫu thuật theo chỉ định bác sĩ
SRV131182,PET59648,PRSC067477,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2022-08-30 14:08:29,Phẫu thuật theo chỉ định bác sĩ
SRV134539,PET69713,PRSC073018,Đang theo dõi,Mổ u,Gây mê toàn thân,2021-01-15 04:39:07,Phẫu thuật theo chỉ định bác sĩ
SRV71129,PET58131,PRSC063119,Đã thực hiện,Mổ bụng,Gây tê,2022-05-27 23:16:33,Phẫu thuật theo chỉ định bác sĩ
SRV123581,PET56560,PRSC043817,Đang theo dõi,Nội soi,Gây mê toàn thân,2022-12-27 19:24:59,Phẫu thuật theo chỉ định bác sĩ
SRV45255,PET82184,PRSC006119,Đang theo dõi,Mổ bụng,Gây tê,2021-04-13 21:38:08,Phẫu thuật theo chỉ định bác sĩ
SRV182349,PET88920,PRSC015959,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-04-05 21:19:17,Phẫu thuật theo chỉ định bác sĩ
SRV190021,PET75566,PRSC023149,Đã thực hiện,Thiến,Gây tê,2022-04-09 16:58:04,Phẫu thuật theo chỉ định bác sĩ
SRV151517,PET91204,PRSC008688,Đang theo dõi,Thiến,Gây tê,2021-03-25 14:47:47,Phẫu thuật theo chỉ định bác sĩ
SRV18846,PET32799,PRSC037438,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-11-29 07:07:35,Phẫu thuật theo chỉ định bác sĩ
SRV53094,PET71863,PRSC051030,Đã thực hiện,Mổ u,Gây tê,2024-07-12 08:57:05,Phẫu thuật theo chỉ định bác sĩ
SRV119100,PET04243,PRSC075117,Đang theo dõi,Mổ u,Gây tê,2022-02-11 15:07:01,Phẫu thuật theo chỉ định bác sĩ
SRV77413,PET15670,PRSC030961,Đang theo dõi,Mổ u,Gây tê,2023-05-26 15:13:15,Phẫu thuật theo chỉ định bác sĩ
SRV63406,PET34990,PRSC049794,Đang theo dõi,Mổ u,Gây tê,2023-08-22 16:15:29,Phẫu thuật theo chỉ định bác sĩ
SRV78602,PET30601,PRSC075815,Đang theo dõi,Thiến,Gây mê toàn thân,2021-05-01 19:17:49,Phẫu thuật theo chỉ định bác sĩ
SRV101016,PET22310,PRSC006122,Đang theo dõi,Nội soi,Gây mê toàn thân,2023-07-11 22:01:00,Phẫu thuật theo chỉ định bác sĩ
SRV149335,PET42805,PRSC031991,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2021-02-18 04:12:53,Phẫu thuật theo chỉ định bác sĩ
SRV147039,PET58691,PRSC078250,Đã thực hiện,Thiến,Gây tê,2022-06-28 13:03:05,Phẫu thuật theo chỉ định bác sĩ
SRV169406,PET06919,PRSC038972,Đang theo dõi,Mổ bụng,Gây tê,2023-06-24 15:35:46,Phẫu thuật theo chỉ định bác sĩ
SRV153270,PET13532,PRSC044427,Đã thực hiện,Nội soi,Gây mê toàn thân,2021-06-21 23:07:14,Phẫu thuật theo chỉ định bác sĩ
SRV76457,PET62263,PRSC076461,Đang theo dõi,Mổ u,Gây tê,2022-03-20 02:54:36,Phẫu thuật theo chỉ định bác sĩ
SRV8033,PET31699,PRSC041411,Đang theo dõi,Thiến,Gây tê,2022-06-28 15:44:18,Phẫu thuật theo chỉ định bác sĩ
SRV159509,PET51014,PRSC021799,Đã thực hiện,Thiến,Gây tê,2023-11-03 04:42:30,Phẫu thuật theo chỉ định bác sĩ
SRV44085,PET39676,PRSC059506,Đang theo dõi,Mổ bụng,Gây tê,2022-10-18 02:46:42,Phẫu thuật theo chỉ định bác sĩ
SRV174242,PET119283,PRSC048334,Đang theo dõi,Thiến,Gây mê toàn thân,2022-04-16 22:31:12,Phẫu thuật theo chỉ định bác sĩ
SRV85908,PET97415,PRSC030035,Đã thực hiện,Thiến,Gây tê,2023-04-02 01:25:55,Phẫu thuật theo chỉ định bác sĩ
SRV145610,PET110382,PRSC035874,Đã thực hiện,Mổ u,Gây mê toàn thân,2021-01-24 00:42:39,Phẫu thuật theo chỉ định bác sĩ
SRV74054,PET101400,PRSC051643,Đã thực hiện,Nội soi,Gây mê toàn thân,2022-01-07 04:16:55,Phẫu thuật theo chỉ định bác sĩ
SRV194568,PET119639,PRSC004625,Đang theo dõi,Mổ u,Gây tê,2022-10-09 01:51:00,Phẫu thuật theo chỉ định bác sĩ
SRV43962,PET75142,PRSC039282,Đã thực hiện,Thiến,Gây mê toàn thân,2024-12-03 08:44:23,Phẫu thuật theo chỉ định bác sĩ
SRV196509,PET49326,PRSC043868,Đang theo dõi,Thiến,Gây tê,2022-01-28 08:16:34,Phẫu thuật theo chỉ định bác sĩ
SRV188528,PET82777,PRSC026432,Đang theo dõi,Mổ u,Gây mê toàn thân,2021-12-29 10:51:05,Phẫu thuật theo chỉ định bác sĩ
SRV45201,PET81330,PRSC043799,Đã thực hiện,Mổ bụng,Gây tê,2023-11-15 00:03:29,Phẫu thuật theo chỉ định bác sĩ
SRV122318,PET35396,PRSC008445,Đã thực hiện,Thiến,Gây mê toàn thân,2022-10-26 12:48:06,Phẫu thuật theo chỉ định bác sĩ
SRV117359,PET103900,PRSC052426,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2024-10-22 12:59:39,Phẫu thuật theo chỉ định bác sĩ
SRV123111,PET72082,PRSC064662,Đã thực hiện,Mổ bụng,Gây tê,2022-02-25 11:59:19,Phẫu thuật theo chỉ định bác sĩ
SRV151816,PET03145,PRSC056657,Đã thực hiện,Mổ u,Gây tê,2022-10-04 11:53:37,Phẫu thuật theo chỉ định bác sĩ
SRV46172,PET06169,PRSC028523,Đang theo dõi,Thiến,Gây mê toàn thân,2022-01-29 13:23:59,Phẫu thuật theo chỉ định bác sĩ
SRV109123,PET85373,PRSC054046,Đã thực hiện,Thiến,Gây tê,2021-02-20 01:04:18,Phẫu thuật theo chỉ định bác sĩ
SRV175924,PET32852,PRSC033931,Đang theo dõi,Thiến,Gây mê toàn thân,2021-08-19 15:12:17,Phẫu thuật theo chỉ định bác sĩ
SRV63497,PET23004,PRSC023044,Đang theo dõi,Mổ u,Gây tê,2021-02-16 11:07:08,Phẫu thuật theo chỉ định bác sĩ
SRV148737,PET79985,PRSC054202,Đã thực hiện,Nội soi,Gây mê toàn thân,2024-07-26 00:59:11,Phẫu thuật theo chỉ định bác sĩ
SRV171542,PET69827,PRSC046980,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2023-11-14 15:12:57,Phẫu thuật theo chỉ định bác sĩ
SRV44317,PET92098,PRSC036321,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2021-02-27 09:05:36,Phẫu thuật theo chỉ định bác sĩ
SRV170253,PET41302,PRSC056682,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-11-11 13:04:39,Phẫu thuật theo chỉ định bác sĩ
SRV178168,PET82157,PRSC058118,Đã thực hiện,Thiến,Gây mê toàn thân,2024-09-23 06:55:59,Phẫu thuật theo chỉ định bác sĩ
SRV153626,PET72631,PRSC069881,Đã thực hiện,Nội soi,Gây mê toàn thân,2023-12-28 17:19:55,Phẫu thuật theo chỉ định bác sĩ
SRV47242,PET89394,PRSC015459,Đang theo dõi,Mổ u,Gây tê,2021-04-02 22:49:19,Phẫu thuật theo chỉ định bác sĩ
SRV144682,PET88763,PRSC052074,Đã thực hiện,Nội soi,Gây tê,2021-10-31 12:59:28,Phẫu thuật theo chỉ định bác sĩ
SRV192154,PET27119,PRSC026819,Đã thực hiện,Mổ u,Gây tê,2023-02-28 07:07:52,Phẫu thuật theo chỉ định bác sĩ
SRV170807,PET41291,PRSC024708,Đang theo dõi,Nội soi,Gây tê,2024-12-05 20:02:06,Phẫu thuật theo chỉ định bác sĩ
SRV4422,PET76569,PRSC041601,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2024-04-10 19:30:12,Phẫu thuật theo chỉ định bác sĩ
SRV16141,PET53251,PRSC031121,Đang theo dõi,Nội soi,Gây tê,2022-05-07 15:20:24,Phẫu thuật theo chỉ định bác sĩ
SRV74680,PET29737,PRSC002054,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2023-08-06 11:40:03,Phẫu thuật theo chỉ định bác sĩ
SRV50274,PET65676,PRSC018949,Đang theo dõi,Mổ bụng,Gây tê,2021-03-26 23:21:13,Phẫu thuật theo chỉ định bác sĩ
SRV171872,PET16255,PRSC035725,Đang theo dõi,Mổ bụng,Gây tê,2023-06-20 00:12:21,Phẫu thuật theo chỉ định bác sĩ
SRV166927,PET57848,PRSC070997,Đã thực hiện,Thiến,Gây tê,2021-06-16 20:09:13,Phẫu thuật theo chỉ định bác sĩ
SRV78036,PET40239,PRSC006437,Đang theo dõi,Thiến,Gây mê toàn thân,2022-02-06 00:15:19,Phẫu thuật theo chỉ định bác sĩ
SRV145775,PET81331,PRSC036339,Đã thực hiện,Mổ u,Gây tê,2022-06-21 20:19:12,Phẫu thuật theo chỉ định bác sĩ
SRV25325,PET69916,PRSC065983,Đã thực hiện,Nội soi,Gây tê,2024-07-13 04:42:49,Phẫu thuật theo chỉ định bác sĩ
SRV86525,PET18345,PRSC016305,Đang theo dõi,Nội soi,Gây tê,2021-11-27 16:47:47,Phẫu thuật theo chỉ định bác sĩ
SRV70645,PET06001,PRSC070087,Đã thực hiện,Thiến,Gây mê toàn thân,2022-01-15 00:31:35,Phẫu thuật theo chỉ định bác sĩ
SRV172560,PET49934,PRSC006964,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2021-05-27 00:27:46,Phẫu thuật theo chỉ định bác sĩ
SRV0227,PET83977,PRSC065158,Đang theo dõi,Mổ u,Gây mê toàn thân,2022-04-12 20:54:26,Phẫu thuật theo chỉ định bác sĩ
SRV113723,PET52670,PRSC069249,Đang theo dõi,Mổ u,Gây mê toàn thân,2024-06-26 20:02:13,Phẫu thuật theo chỉ định bác sĩ
SRV104708,PET107452,PRSC030129,Đã thực hiện,Mổ bụng,Gây tê,2024-07-16 04:19:14,Phẫu thuật theo chỉ định bác sĩ
SRV52232,PET47227,PRSC020537,Đang theo dõi,Nội soi,Gây tê,2024-05-18 09:21:36,Phẫu thuật theo chỉ định bác sĩ
SRV16828,PET56400,PRSC057814,Đã thực hiện,Mổ bụng,Gây tê,2021-05-12 19:44:10,Phẫu thuật theo chỉ định bác sĩ
SRV84117,PET27690,PRSC064737,Đã thực hiện,Nội soi,Gây tê,2023-09-07 02:50:56,Phẫu thuật theo chỉ định bác sĩ
SRV28569,PET87968,PRSC014605,Đang theo dõi,Mổ u,Gây mê toàn thân,2024-12-02 19:12:02,Phẫu thuật theo chỉ định bác sĩ
SRV79433,PET105960,PRSC063582,Đang theo dõi,Mổ u,Gây mê toàn thân,2023-07-19 23:42:19,Phẫu thuật theo chỉ định bác sĩ
SRV170451,PET57943,PRSC001387,Đang theo dõi,Thiến,Gây mê toàn thân,2024-04-08 23:36:29,Phẫu thuật theo chỉ định bác sĩ
SRV111859,PET101210,PRSC063789,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2022-06-22 00:20:31,Phẫu thuật theo chỉ định bác sĩ
SRV114745,PET81673,PRSC075924,Đang theo dõi,Thiến,Gây mê toàn thân,2022-01-13 05:37:21,Phẫu thuật theo chỉ định bác sĩ
SRV36401,PET94379,PRSC061820,Đã thực hiện,Mổ u,Gây tê,2024-10-24 01:22:50,Phẫu thuật theo chỉ định bác sĩ
SRV71266,PET93765,PRSC055757,Đang theo dõi,Mổ u,Gây tê,2023-06-20 15:11:58,Phẫu thuật theo chỉ định bác sĩ
SRV162132,PET01227,PRSC069951,Đã thực hiện,Nội soi,Gây tê,2022-07-26 06:18:35,Phẫu thuật theo chỉ định bác sĩ
SRV183075,PET21073,PRSC073602,Đã thực hiện,Nội soi,Gây mê toàn thân,2023-04-15 10:26:06,Phẫu thuật theo chỉ định bác sĩ
SRV68863,PET114405,PRSC052120,Đã thực hiện,Nội soi,Gây tê,2022-04-06 20:27:29,Phẫu thuật theo chỉ định bác sĩ
SRV179562,PET51991,PRSC004050,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-08-08 03:09:40,Phẫu thuật theo chỉ định bác sĩ
SRV110744,PET44851,PRSC074515,Đã thực hiện,Thiến,Gây tê,2023-09-28 04:41:19,Phẫu thuật theo chỉ định bác sĩ
SRV56408,PET67156,PRSC006085,Đã thực hiện,Thiến,Gây tê,2023-01-06 20:37:20,Phẫu thuật theo chỉ định bác sĩ
SRV35283,PET114914,PRSC029503,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-04-04 22:35:53,Phẫu thuật theo chỉ định bác sĩ
SRV182544,PET74140,PRSC057112,Đang theo dõi,Mổ bụng,Gây tê,2022-09-01 03:11:16,Phẫu thuật theo chỉ định bác sĩ
SRV73717,PET106995,PRSC063027,Đang theo dõi,Nội soi,Gây tê,2023-01-26 20:13:03,Phẫu thuật theo chỉ định bác sĩ
SRV134552,PET36318,PRSC073750,Đang theo dõi,Mổ bụng,Gây tê,2024-05-14 23:56:49,Phẫu thuật theo chỉ định bác sĩ
SRV112946,PET45444,PRSC063208,Đang theo dõi,Mổ u,Gây tê,2024-06-14 00:19:26,Phẫu thuật theo chỉ định bác sĩ
SRV12048,PET111879,PRSC070398,Đã thực hiện,Mổ u,Gây mê toàn thân,2024-09-27 10:00:20,Phẫu thuật theo chỉ định bác sĩ
SRV94342,PET62698,PRSC038488,Đang theo dõi,Nội soi,Gây tê,2021-12-27 00:37:59,Phẫu thuật theo chỉ định bác sĩ
