ChecklistID,ServiceID,BodyPart,CheckItem
CHK00001,SRV48226,Mắt,Kiểm tra phản xạ ánh sáng
CHK00002,SRV48226,Hô hấp,Kiểm tra tiếng thở
CHK00003,SRV48226,Chân,Kiểm tra sưng
CHK00004,SRV22863,Tim mạch,Kiểm tra mạch
CHK00005,SRV22863,Mắt,Kiểm tra phản xạ ánh sáng
CHK00006,SRV22863,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00007,SRV148754,Chân,Kiểm tra cử động
CHK00008,SRV148754,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00009,SRV148754,Hô hấp,Kiểm tra màu niêm mạc
CHK00010,SRV30532,Chân,Kiểm tra sưng
CHK00011,SRV30532,Toàn thân,Đánh giá mức độ đau
CHK00012,SRV30532,Thân nhiệt,Theo dõi sốt
CHK00013,SRV30532,Vùng bụng,Sờ nắn kiểm tra đau
CHK00014,SRV30532,Hô hấp,Kiểm tra màu niêm mạc
CHK00015,SRV10889,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00016,SRV10889,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00017,SRV10889,Vùng bụng,Kiểm tra chướng bụng
CHK00018,SRV45502,Vết mổ,Vệ sinh vết mổ
CHK00019,SRV45502,Hô hấp,Kiểm tra tiếng thở
CHK00020,SRV45502,Mắt,Kiểm tra phản xạ ánh sáng
CHK00021,SRV45502,Vùng bụng,Kiểm tra chướng bụng
CHK00022,SRV101079,Hô hấp,Đếm nhịp thở
CHK00023,SRV101079,Thân nhiệt,Theo dõi sốt
CHK00024,SRV101079,Vùng bụng,Sờ nắn kiểm tra đau
CHK00025,SRV62090,Hô hấp,Đếm nhịp thở
CHK00026,SRV62090,Mắt,Kiểm tra phản xạ ánh sáng
CHK00027,SRV62090,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00028,SRV62090,Tim mạch,Kiểm tra mạch
CHK00029,SRV62090,Chân,Kiểm tra sưng
CHK00030,SRV62090,Vùng bụng,Sờ nắn kiểm tra đau
CHK00031,SRV124025,Mắt,Kiểm tra độ ẩm mắt
CHK00032,SRV124025,Vùng bụng,Kiểm tra chướng bụng
CHK00033,SRV124025,Tim mạch,Kiểm tra mạch
CHK00034,SRV81030,Vết mổ,Kiểm tra sưng tấy
CHK00035,SRV81030,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00036,SRV81030,Chân,Kiểm tra cử động
CHK00037,SRV46670,Hô hấp,Kiểm tra màu niêm mạc
CHK00038,SRV46670,Mắt,Kiểm tra phản xạ ánh sáng
CHK00039,SRV46670,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00040,SRV46670,Vùng bụng,Sờ nắn kiểm tra đau
