BranchID,EmployeeID,StartDate,EndDate
B010,E0343,2021-11-19,2022-08-06
B004,E0492,2023-11-19,2024-02-12
B004,E0414,2023-07-02,2024-06-30
B004,E0267,2020-08-04,2021-01-05
B005,E0406,2020-10-29,2021-05-04
B005,E0256,2023-03-02,2024-02-16
B003,E0177,2020-05-15,2021-03-07
B004,E0241,2022-04-16,2022-06-03
B004,E0282,2023-09-17,2024-03-01
B005,E0188,2021-04-06,2021-07-15
B003,E0067,2022-10-16,2023-04-05
B006,E0247,2020-04-19,2020-11-28
B003,E0400,2023-12-20,2024-12-13
B004,E0104,2020-09-25,2021-06-04
B005,E0001,2022-01-20,2022-10-18
B008,E0332,2021-05-21,2021-08-31
B008,E0110,2023-05-02,2023-10-24
B008,E0220,2020-10-13,2021-04-15
B009,E0097,2023-10-14,2024-04-02
B003,E0490,2021-12-25,2022-07-09
B001,E0226,2021-08-07,2021-10-17
B010,E0287,2021-10-12,2022-02-15
B002,E0316,2020-09-07,2020-10-17
B010,E0042,2020-04-17,2020-08-27
B007,E0380,2021-12-10,2022-07-09
B002,E0215,2020-10-04,2021-09-15
B008,E0350,2023-09-13,2023-11-29
B003,E0371,2020-05-26,2021-01-08
B004,E0375,2023-03-10,2023-12-05
B003,E0400,2023-02-02,2024-01-12
B002,E0056,2020-10-05,2020-12-27
B004,E0258,2022-11-07,2023-04-24
B006,E0399,2022-02-24,2022-09-02
B010,E0201,2020-07-20,2021-06-21
B002,E0078,2023-12-07,2024-09-06
B007,E0111,2021-02-08,2021-08-27
B009,E0479,2021-12-20,2022-06-23
B004,E0300,2022-03-13,2022-09-15
B010,E0175,2022-01-21,2022-06-24
B005,E0149,2021-08-07,2022-07-18
B003,E0167,2022-05-27,2022-08-21
B008,E0305,2020-02-17,2020-09-18
B002,E0322,2020-01-20,2020-09-18
B010,E0189,2021-10-13,2022-04-20
B008,E0391,2021-01-02,2021-07-14
B009,E0495,2021-11-01,2022-10-15
B004,E0222,2020-07-08,2020-12-09
B002,E0009,2021-09-12,2021-10-13
B001,E0366,2022-12-20,2023-08-05
