VID,PetID,VaccineID,VaccinationDate,Dosage
SRV185477,PET94172,VAC0070,2022-04-02 12:00:35,1ml/kg
SRV60623,PET74047,VAC0037,2022-01-13 00:25:34,1ml/kg
SRV27531,PET115428,VAC0083,2021-09-08 02:04:45,1ml/kg
SRV13871,PET67335,VAC0109,2022-02-20 04:36:29,1ml/kg
SRV8080,PET80819,VAC0058,2022-05-22 15:15:40,1ml/kg
SRV186621,PET89804,VAC0056,2024-11-02 17:23:19,1ml/kg
SRV136562,PET52512,VAC0055,2024-01-26 11:25:02,1ml/kg
SRV136320,PET42653,VAC0066,2021-05-22 12:11:45,1ml/kg
SRV189031,PET84170,VAC0110,2023-03-23 16:58:42,1ml/kg
SRV50696,PET68181,VAC0102,2023-12-19 01:35:07,1ml/kg
SRV51246,PET91870,VAC0065,2024-04-30 19:56:21,1ml/kg
SRV157611,PET68579,VAC0120,2023-09-05 18:32:24,1ml/kg
SRV141856,PET60038,VAC0088,2022-08-25 03:42:08,1ml/kg
SRV190390,PET118614,VAC0113,2023-03-09 05:12:32,1ml/kg
SRV27425,PET24830,VAC0095,2021-11-25 11:57:59,1ml/kg
SRV3065,PET53804,VAC0092,2021-08-10 01:52:46,1ml/kg
SRV56585,PET93325,VAC0119,2024-02-25 19:14:21,1ml/kg
SRV63034,PET113327,VAC0079,2023-12-30 20:52:01,1ml/kg
SRV168098,PET60899,VAC0106,2022-07-29 13:32:54,1ml/kg
SRV141333,PET34948,VAC0078,2023-06-13 03:31:30,1ml/kg
SRV152051,PET54363,VAC0024,2024-07-18 07:56:33,1ml/kg
SRV190726,PET52898,VAC0076,2023-11-18 00:35:01,1ml/kg
SRV188663,PET82929,VAC0120,2021-11-12 07:18:01,1ml/kg
SRV35105,PET103676,VAC0072,2024-01-09 10:39:58,1ml/kg
SRV104548,PET85495,VAC0110,2024-05-22 06:11:15,1ml/kg
SRV88313,PET82216,VAC0083,2022-05-22 01:07:55,1ml/kg
SRV96445,PET96703,VAC0093,2023-02-09 15:45:08,1ml/kg
SRV159037,PET116425,VAC0067,2021-11-16 18:31:05,1ml/kg
SRV22813,PET50302,VAC0008,2022-07-04 14:18:19,1ml/kg
SRV173413,PET63862,VAC0102,2021-02-26 13:59:14,1ml/kg
SRV100434,PET79394,VAC0110,2021-12-01 07:31:10,1ml/kg
SRV62765,PET98956,VAC0026,2022-01-24 03:36:34,1ml/kg
SRV192541,PET78159,VAC0039,2023-04-13 06:45:04,1ml/kg
SRV179866,PET65632,VAC0065,2021-05-10 18:16:37,1ml/kg
SRV69166,PET14038,VAC0115,2021-08-12 08:05:50,1ml/kg
SRV55320,PET10765,VAC0034,2021-11-21 10:02:47,1ml/kg
SRV159401,PET05278,VAC0098,2021-11-15 04:24:09,1ml/kg
SRV6879,PET02546,VAC0096,2022-07-25 07:10:56,1ml/kg
SRV67293,PET42183,VAC0093,2021-04-03 12:07:53,1ml/kg
SRV62149,PET56136,VAC0063,2021-11-11 12:39:43,1ml/kg
SRV163090,PET61917,VAC0077,2023-04-25 20:57:43,1ml/kg
SRV129037,PET32899,VAC0081,2023-02-11 13:03:48,1ml/kg
SRV89460,PET39398,VAC0003,2021-02-01 01:18:52,1ml/kg
SRV113838,PET51989,VAC0013,2021-09-05 05:07:20,1ml/kg
