VPID,PetID,Duration,DiscountRate
SRV4457,PET62176,238,0.1
SRV97910,PET79374,272,0.15
SRV78520,PET66330,260,0.15
SRV109339,PET93681,201,0.15
SRV31724,PET105582,270,0.15
SRV74734,PET101832,191,0.15
SRV14345,PET75789,233,0.15
SRV139236,PET77688,221,0.15
SRV192435,PET98571,318,0.1
SRV63216,PET69797,327,0.15
SRV17966,PET51703,271,0.15
SRV133697,PET90248,206,0.05
SRV135891,PET77565,211,0.05
SRV155103,PET29435,250,0.1
SRV73060,PET29834,229,0.1
SRV40083,PET79958,222,0.15
SRV182682,PET99370,221,0.15
SRV168563,PET00157,274,0.1
SRV157164,PET38195,321,0.1
SRV112876,PET64580,351,0.05
SRV73822,PET48187,217,0.1
SRV131475,PET103906,218,0.1
SRV36318,PET95044,252,0.1
SRV26209,PET94074,184,0.1
SRV156732,PET107919,341,0.05
SRV177923,PET43657,243,0.05
SRV139875,PET45262,194,0.15
SRV72523,PET02110,345,0.15
SRV96237,PET81802,180,0.1
SRV110710,PET116888,298,0.1
SRV160720,PET67506,339,0.15
SRV167827,PET20706,213,0.1
SRV104031,PET44988,322,0.1
SRV86243,PET110259,347,0.1
SRV127701,PET92848,231,0.05
SRV109920,PET29980,354,0.05
SRV119307,PET69126,217,0.05
SRV121382,PET27517,189,0.05
SRV158187,PET82886,209,0.05
SRV138286,PET66521,362,0.1
