VaccineID,VaccineName,ExpiryDate,ProductionDate,VaccineType,Manufacturer,SideEffects
VAC0001,FELV (Feline Leukemia Virus),2023-12-03,2022-05-14,Live attenuated,Elanco,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0002,Feline Herpesvirus,2025-03-17,2023-07-22,Live attenuated,Ceva,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0003,Feline Herpesvirus,2022-09-06,2020-12-10,Virus,Virbac,Không có tác dụng phụ đáng kể
VAC0004,Feline Panleukopenia,2024-10-15,2023-04-22,Virus,Virbac,Phát ban nhẹ tại vị trí tiêm
VAC0005,DHP(Distemper - Hepatitis- Parvovirus),2024-10-05,2023-08-18,Live attenuated,Elanco,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0006,DHP(Distemper - Hepatitis- Parvovirus),2024-04-22,2023-07-24,Virus,Merck,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0007,Feline Leukemia,2021-05-26,2020-08-07,Recombinant,Zoetis,Sốt cao - mất ăn trong vài ngày
VAC0008,Giardia Vaccine,2021-02-27,2020-01-22,Hỗn hợp,Zoetis,Sốt nhẹ - sưng vùng tiêm
VAC0009,Giardia Vaccine,2024-09-06,2023-08-07,Live attenuated,Elanco,Phản ứng dị ứng nặng (rất hiếm)
VAC0010,Bordetella,2023-06-02,2021-02-18,Hỗn hợp,Boehringer Ingelheim,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0011,FELV (Feline Leukemia Virus),2025-11-19,2023-11-30,Virus,Elanco,Phản ứng dị ứng nặng (rất hiếm)
VAC0012,Leptospirosis,2024-04-10,2022-09-22,Recombinant,Ceva,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0013,FELV (Feline Leukemia Virus),2024-10-25,2023-06-02,Vi khuẩn,Pfizer,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0014,Feline Leukemia,2021-05-13,2020-01-12,Recombinant,Merck,Phát ban nhẹ tại vị trí tiêm
VAC0015,DHP(Distemper - Hepatitis- Parvovirus),2025-05-18,2023-12-20,Vi khuẩn,MSD,Phản ứng dị ứng nặng (rất hiếm)
VAC0016,Feline Calicivirus,2023-03-16,2021-05-09,Hỗn hợp,MSD,Sốt nhẹ - sưng vùng tiêm
VAC0017,Bordetella,2025-04-18,2023-11-12,Virus,Zoetis,Phản ứng dị ứng nặng (rất hiếm)
VAC0018,Feline Panleukopenia,2024-12-20,2023-12-31,Live attenuated,MSD,Sốt cao - mất ăn trong vài ngày
VAC0019,DHP(Distemper - Hepatitis- Parvovirus),2021-09-15,2020-11-16,Vi khuẩn,MSD,Không có tác dụng phụ đáng kể
VAC0020,Feline Panleukopenia,2023-11-27,2023-01-01,Recombinant,MSD,Sốt nhẹ - sưng vùng tiêm
VAC0021,Leptospirosis,2023-03-19,2022-02-12,Recombinant,Pfizer,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0022,DHP(Distemper - Hepatitis- Parvovirus),2023-06-04,2022-11-20,Vi khuẩn,Pfizer,Sốt cao - mất ăn trong vài ngày
VAC0023,Leptospirosis,2024-07-05,2022-11-12,Virus,Elanco,Không có tác dụng phụ đáng kể
VAC0024,Feline Calicivirus,2025-09-06,2023-10-18,Hỗn hợp,Ceva,Sốt nhẹ - sưng vùng tiêm
VAC0025,Leptospirosis,2024-02-14,2022-10-18,Virus,Ceva,Sốt cao - mất ăn trong vài ngày
VAC0026,Chlamydia,2022-10-11,2021-03-23,Hỗn hợp,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0027,DHP(Distemper - Hepatitis- Parvovirus),2021-03-18,2020-04-06,Vi khuẩn,Pfizer,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0028,Feline Panleukopenia,2021-12-16,2020-12-22,Recombinant,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0029,FIP (Feline Infectious Peritonitis),2022-06-09,2020-04-18,Recombinant,Ceva,Phát ban nhẹ tại vị trí tiêm
VAC0030,Feline Calicivirus,2023-03-05,2021-09-12,Live attenuated,MSD,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0031,Feline Calicivirus,2022-12-07,2022-06-02,Hỗn hợp,Ceva,Sốt nhẹ - sưng vùng tiêm
VAC0032,Feline Leukemia,2025-02-27,2022-10-05,Hỗn hợp,Merck,Sốt nhẹ - sưng vùng tiêm
VAC0033,Feline Leukemia,2024-10-27,2023-08-08,Virus,Ceva,Sưng hạch bạch huyết tạm thời
VAC0034,Leptospirosis,2025-04-28,2023-12-08,Recombinant,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0035,FELV (Feline Leukemia Virus),2023-03-11,2021-08-02,Recombinant,Virbac,Không có tác dụng phụ đáng kể
VAC0036,Bordetella,2021-11-07,2021-03-09,Hỗn hợp,Elanco,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0037,Leptospirosis,2025-02-14,2022-11-25,Recombinant,Ceva,Phản ứng dị ứng nặng (rất hiếm)
VAC0038,Chlamydia,2024-06-13,2022-02-12,Virus,Zoetis,Sốt nhẹ - sưng vùng tiêm
VAC0039,Chlamydia,2022-02-23,2021-01-27,Vi khuẩn,Boehringer Ingelheim,Sốt nhẹ - sưng vùng tiêm
VAC0040,Bordetella,2025-02-12,2023-08-18,Hỗn hợp,Merck,Phản ứng dị ứng nặng (rất hiếm)
VAC0041,Feline Leukemia,2023-07-05,2022-03-03,Virus,Zoetis,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0042,DHP(Distemper - Hepatitis- Parvovirus),2025-10-12,2023-06-19,Recombinant,Pfizer,Sốt cao - mất ăn trong vài ngày
VAC0043,FIP (Feline Infectious Peritonitis),2022-02-20,2021-08-23,Virus,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0044,Rabies,2024-05-25,2022-07-16,Recombinant,Pfizer,Phát ban nhẹ tại vị trí tiêm
VAC0045,Chlamydia,2022-07-20,2020-05-09,Vi khuẩn,Merck,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0046,Chlamydia,2023-06-04,2022-08-01,Vi khuẩn,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0047,FIP (Feline Infectious Peritonitis),2024-01-17,2023-04-05,Virus,MSD,Sốt cao - mất ăn trong vài ngày
VAC0048,Leptospirosis,2026-04-04,2023-11-25,Vi khuẩn,Ceva,Phản ứng dị ứng nặng (rất hiếm)
VAC0049,DHP(Distemper - Hepatitis- Parvovirus),2021-01-10,2020-07-14,Recombinant,Elanco,Phản ứng dị ứng nặng (rất hiếm)
VAC0050,Feline Calicivirus,2023-09-30,2021-07-24,Recombinant,Merck,Phát ban nhẹ tại vị trí tiêm
VAC0051,Chlamydia,2023-02-05,2021-06-24,Virus,Merck,Sốt nhẹ - sưng vùng tiêm
