InvoiceID,DiscountID,AppliedDate
INV130056,DST0051,2022-01-09
INV017697,DST0036,2022-08-13
INV003755,DST0034,2024-09-15
INV031529,DST0033,2022-02-11
INV086741,DST0043,2022-09-02
INV091623,DST0071,2022-09-26
INV019865,DST0010,2023-07-25
INV049696,DST0065,2024-05-27
INV036357,DST0077,2022-08-22
INV064496,DST0015,2022-06-25
INV071260,DST0034,2022-09-16
INV017186,DST0034,2023-04-09
INV011111,DST0076,2023-03-14
INV096719,DST0060,2023-01-18
INV055472,DST0045,2024-09-04
INV122504,DST0058,2022-06-13
INV043833,DST0034,2022-01-22
INV069102,DST0048,2023-01-30
INV013602,DST0079,2022-08-30
INV056976,DST0049,2023-12-19
INV099364,DST0031,2022-09-29
INV039233,DST0013,2022-07-12
INV087916,DST0055,2024-02-09
INV005813,DST0075,2022-10-22
INV115524,DST0027,2024-01-03
INV138490,DST0003,2023-02-18
INV062517,DST0045,2024-04-30
INV016703,DST0023,2022-06-25
INV094761,DST0019,2024-06-21
INV059688,DST0026,2024-06-20
INV136267,DST0075,2023-08-03
INV020216,DST0060,2023-12-25
INV006783,DST0043,2022-10-11
INV047757,DST0068,2022-09-22
INV099982,DST0048,2022-11-29
INV065521,DST0019,2024-02-08
INV136259,DST0045,2023-04-19
INV079762,DST0030,2024-04-22
INV122683,DST0055,2024-09-04
INV128230,DST0029,2022-07-03
INV016054,DST0046,2024-06-28
INV101037,DST0078,2023-04-03
INV000890,DST0064,2024-05-11
INV042501,DST0023,2024-08-28
INV149380,DST0049,2022-10-30
INV008251,DST0059,2023-10-14
INV032592,DST0070,2024-05-08
INV097175,DST0050,2024-11-06
INV064061,DST0068,2023-05-03
INV023725,DST0038,2024-02-27
INV078412,DST0073,2022-01-24
INV076798,DST0061,2023-04-25
INV013086,DST0025,2024-12-10
INV148158,DST0044,2024-08-24
INV102908,DST0073,2022-12-20
INV078144,DST0073,2024-09-05
INV068280,DST0052,2024-04-06
INV139071,DST0039,2022-06-04
INV105908,DST0072,2024-07-22
INV132692,DST0002,2024-03-05
INV073879,DST0054,2022-03-02
INV020676,DST0079,2023-01-24
INV040474,DST0012,2022-05-31
INV060017,DST0057,2024-04-02
INV022056,DST0077,2023-05-24
INV141619,DST0067,2023-02-22
INV091406,DST0056,2022-02-28
INV086999,DST0001,2023-05-11
INV035164,DST0066,2023-10-27
INV087104,DST0013,2024-02-06
INV018061,DST0024,2023-05-29
INV063413,DST0053,2022-05-10
INV052882,DST0050,2022-03-23
INV067688,DST0036,2024-08-22
INV146656,DST0065,2022-08-01
INV109098,DST0040,2023-11-29
INV062473,DST0052,2023-03-20
INV133240,DST0066,2022-08-23
INV061483,DST0025,2022-01-08
INV076478,DST0031,2023-03-09
INV144432,DST0063,2024-07-16
INV004662,DST0033,2023-12-16
INV016270,DST0038,2024-10-11
INV021151,DST0052,2023-12-04
INV010777,DST0064,2024-08-22
INV116243,DST0021,2024-04-09
INV105978,DST0006,2024-11-09
INV097970,DST0050,2022-04-23
INV056813,DST0007,2022-06-22
INV095264,DST0019,2022-01-13
INV042370,DST0044,2024-02-12
INV063606,DST0064,2024-04-26
INV115529,DST0040,2022-07-10
INV098381,DST0066,2024-04-25
INV128375,DST0021,2024-02-23
INV070176,DST0045,2023-11-03
INV133349,DST0011,2022-02-21
INV009597,DST0010,2022-04-09
INV074735,DST0070,2023-06-05
INV020600,DST0043,2024-09-27
INV143439,DST0023,2023-02-02
INV141590,DST0059,2022-07-06
INV067972,DST0057,2023-08-31
INV011161,DST0006,2022-03-17
INV096161,DST0073,2022-01-10
INV109421,DST0076,2022-02-25
INV010044,DST0057,2023-12-23
INV058026,DST0077,2024-05-06
INV068057,DST0050,2023-06-02
INV005988,DST0005,2024-07-04
INV101706,DST0035,2023-05-05
INV022911,DST0046,2024-01-19
INV128812,DST0070,2022-11-27
INV100845,DST0017,2022-09-19
INV062723,DST0049,2023-05-25
INV013257,DST0015,2023-06-11
INV022215,DST0051,2023-12-14
INV051833,DST0060,2024-10-30
INV144788,DST0066,2024-10-16
INV073478,DST0033,2024-04-02
INV109352,DST0048,2024-07-06
INV009386,DST0015,2023-01-30
INV000033,DST0002,2023-07-10
INV077867,DST0010,2024-03-29
INV068504,DST0033,2023-07-05
INV012809,DST0004,2023-08-09
INV070504,DST0022,2022-03-25
INV034504,DST0063,2024-04-01
INV089473,DST0035,2024-12-01
INV020580,DST0023,2024-02-26
INV134410,DST0064,2023-11-19
INV072687,DST0050,2022-02-12
INV043796,DST0008,2024-12-24
INV033993,DST0026,2022-06-24
INV001774,DST0033,2023-10-13
INV085605,DST0060,2022-05-31
INV092593,DST0027,2022-11-18
INV089879,DST0009,2022-02-04
INV137438,DST0025,2023-03-11
INV123579,DST0062,2022-11-05
INV108084,DST0010,2024-05-29
INV049817,DST0039,2022-01-01
INV046182,DST0013,2024-07-08
INV041599,DST0078,2022-03-21
INV002232,DST0005,2022-04-05
INV000540,DST0029,2023-08-03
INV088240,DST0020,2023-11-20
INV002831,DST0013,2022-07-10
INV080502,DST0060,2022-12-22
INV125513,DST0033,2024-02-25
INV083773,DST0019,2023-06-05
INV064168,DST0055,2022-08-29
INV098830,DST0004,2022-12-23
INV111123,DST0066,2023-12-09
INV123028,DST0047,2024-11-08
INV049715,DST0038,2022-03-13
INV109119,DST0005,2023-01-06
INV122189,DST0052,2022-12-11
INV097576,DST0031,2024-01-16
INV110267,DST0049,2024-03-22
INV146998,DST0017,2022-10-16
INV145217,DST0031,2023-09-06
INV038704,DST0045,2022-12-09
INV125790,DST0055,2024-09-07
INV096953,DST0006,2023-01-24
INV016339,DST0057,2024-11-03
INV131376,DST0034,2024-06-24
INV083675,DST0016,2024-10-26
INV103239,DST0039,2022-03-22
INV005118,DST0018,2022-09-16
INV042434,DST0051,2022-04-26
INV060451,DST0061,2023-08-30
INV005217,DST0004,2023-03-15
INV022354,DST0007,2023-05-14
INV044214,DST0005,2022-09-05
INV100006,DST0060,2022-08-14
INV085571,DST0080,2023-08-07
INV106701,DST0051,2022-04-05
INV130129,DST0005,2022-04-18
INV009034,DST0078,2024-06-18
INV060397,DST0032,2024-07-04
INV038963,DST0046,2022-05-05
INV000912,DST0047,2024-01-22
INV025949,DST0073,2023-07-02
INV103142,DST0017,2024-10-03
INV123542,DST0036,2024-05-02
INV010607,DST0016,2024-12-08
INV123828,DST0075,2022-06-08
INV035089,DST0064,2022-03-14
INV105035,DST0064,2023-05-27
INV143115,DST0047,2023-03-15
INV013400,DST0042,2023-01-23
INV022328,DST0047,2023-11-05
INV135031,DST0030,2022-06-01
INV147373,DST0021,2022-05-18
INV025138,DST0034,2023-02-14
INV091928,DST0021,2023-03-07
INV106958,DST0050,2023-02-03
INV125443,DST0043,2024-11-25
INV067676,DST0014,2023-04-19
INV060511,DST0012,2023-11-06
INV037481,DST0062,2024-02-05
INV127070,DST0056,2022-02-19
INV001307,DST0009,2022-03-06
INV106169,DST0049,2024-03-07
INV025083,DST0036,2024-05-30
INV029510,DST0075,2023-08-27
INV034820,DST0008,2024-08-05
INV076052,DST0032,2024-05-17
INV122448,DST0012,2022-02-13
INV106310,DST0056,2022-01-07
INV117159,DST0052,2024-05-11
INV065096,DST0045,2022-04-10
INV145051,DST0018,2022-01-18
