AppointmentID,CreateDate,CreateTime,Room,Date,Time,BranchID,ServiceID,CustomerID,RID
APP000001,2022-02-02,13:00:00,Phòng 8,2022-02-26,14:00:00,B006,SRV0092,CUS37156,E0322
APP000002,2022-12-10,11:30:00,Phòng 9,2022-12-28,16:00:00,B003,SRV0122,CUS43280,E0368
APP000003,2022-11-12,13:00:00,Phòng 7,2022-12-01,09:00:00,B004,SRV0199,CUS38948,E0275
APP000004,2023-07-09,07:30:00,Phòng 6,2023-07-17,10:00:00,B008,SRV0197,CUS28350,E0321
APP000005,2022-10-23,11:30:00,Phòng 2,2022-11-04,16:00:00,B005,SRV0078,CUS60666,E0365
APP000006,2024-07-29,13:00:00,Phòng 2,2024-08-18,08:00:00,B008,SRV0120,CUS55510,E0117
APP000007,2023-11-18,13:00:00,Phòng 9,2023-12-13,16:00:00,B010,SRV0186,CUS64661,E0205
APP000008,2023-05-22,13:00:00,Phòng 4,2023-06-02,16:00:00,B010,SRV0060,CUS27383,E0351
APP000009,2023-03-15,13:00:00,Phòng 4,2023-03-23,10:00:00,B003,SRV0165,CUS45220,E0052
APP000010,2023-01-12,13:00:00,Phòng 1,2023-01-18,08:00:00,B004,SRV0071,CUS63385,E0291
APP000011,2022-06-11,11:30:00,Phòng 3,2022-06-15,10:00:00,B008,SRV0184,CUS07006,E0155
APP000012,2022-05-02,07:30:00,Phòng 6,2022-05-18,09:00:00,B002,SRV0197,CUS50487,E0327
APP000013,2024-08-07,07:30:00,Phòng 1,2024-08-11,16:00:00,B004,SRV0122,CUS24139,E0221
APP000014,2023-10-03,11:30:00,Phòng 7,2023-10-21,14:00:00,B001,SRV0126,CUS47181,E0226
APP000015,2024-10-02,11:30:00,Phòng 9,2024-10-24,10:00:00,B004,SRV0031,CUS06526,E0294
APP000016,2022-02-08,13:00:00,Phòng 4,2022-03-05,14:00:00,B010,SRV0020,CUS35747,E0115
APP000017,2023-03-23,11:30:00,Phòng 2,2023-04-11,08:00:00,B005,SRV0047,CUS16138,E0258
APP000018,2024-10-31,13:00:00,Phòng 1,2024-11-14,16:00:00,B007,SRV0177,CUS67853,E0041
APP000019,2023-12-26,07:30:00,Phòng 4,2024-01-05,16:00:00,B008,SRV0129,CUS30303,E0218
APP000020,2023-05-03,07:30:00,Phòng 2,2023-05-06,09:00:00,B010,SRV0117,CUS23974,E0311
APP000021,2024-08-26,11:30:00,Phòng 7,2024-09-13,14:00:00,B007,SRV0007,CUS56259,E0284
APP000022,2022-05-12,13:00:00,Phòng 7,2022-06-08,09:00:00,B007,SRV0102,CUS32824,E0082
APP000023,2022-03-28,11:30:00,Phòng 10,2022-04-02,14:00:00,B008,SRV0034,CUS16276,E0268
APP000024,2022-03-28,07:30:00,Phòng 5,2022-04-09,16:00:00,B002,SRV0040,CUS63035,E0335
APP000025,2023-05-21,13:00:00,Phòng 6,2023-06-16,14:00:00,B009,SRV0032,CUS62308,E0241
APP000026,2022-02-28,13:00:00,Phòng 4,2022-03-16,09:00:00,B006,SRV0177,CUS75639,E0458
APP000027,2024-11-28,11:30:00,Phòng 8,2024-12-01,10:00:00,B002,SRV0194,CUS78002,E0056
APP000028,2023-08-01,13:00:00,Phòng 4,2023-08-23,08:00:00,B002,SRV0105,CUS33269,E0455
APP000029,2022-03-18,07:30:00,Phòng 6,2022-03-24,14:00:00,B006,SRV0138,CUS55945,E0335
APP000030,2023-12-13,07:30:00,Phòng 9,2023-12-22,16:00:00,B010,SRV0087,CUS79466,E0130
APP000031,2023-08-14,07:30:00,Phòng 3,2023-09-03,10:00:00,B003,SRV0171,CUS56633,E0130
APP000032,2024-01-31,13:00:00,Phòng 2,2024-02-20,08:00:00,B003,SRV0149,CUS04663,E0121
APP000033,2022-08-15,11:30:00,Phòng 9,2022-09-10,09:00:00,B006,SRV0171,CUS57137,E0248
