BranchID,ProductID,StockQuantity
B010,PRD1392,282
B008,PRD0837,83
B006,PRD0928,152
B010,PRD1024,146
B009,PRD0255,239
B004,PRD1188,170
B003,PRD1181,72
B003,PRD0254,109
B002,PRD1406,140
B006,PRD0644,291
B003,PRD1081,67
B001,PRD0111,267
B009,PRD1115,93
B008,PRD0366,46
B001,PRD0195,83
B008,PRD0393,94
B006,PRD0541,126
B006,PRD0119,135
B006,PRD0219,170
B010,PRD1344,16
B006,PRD0188,242
B003,PRD0471,45
B005,PRD0280,205
B003,PRD0991,142
B008,PRD0384,218
B002,PRD0364,299
B003,PRD1431,278
B001,PRD0533,36
B003,PRD1055,261
B008,PRD0932,267
B005,PRD0578,29
B008,PRD0178,271
B007,PRD0138,195
B009,PRD0902,88
B004,PRD0717,273
B008,PRD0636,225
B002,PRD0846,27
B002,PRD0344,187
B004,PRD0107,211
B002,PRD1197,8
B006,PRD0622,28
B004,PRD1353,291
B009,PRD1325,30
B009,PRD1296,193
B006,PRD0744,238
B009,PRD1332,293
B004,PRD1261,91
B003,PRD0610,191
B006,PRD0020,15
B009,PRD0653,138
B006,PRD0363,160
B009,PRD0463,39
B001,PRD1219,258
B002,PRD0712,23
B007,PRD0734,23
B006,PRD1101,294
B004,PRD0017,43
B002,PRD1421,185
B003,PRD0997,107
B003,PRD1003,2
B004,PRD0119,232
B006,PRD0194,130
B004,PRD0674,259
B005,PRD1163,48
B009,PRD1345,118
B008,PRD0831,199
B009,PRD1247,154
B004,PRD0718,115
B005,PRD0893,169
B003,PRD1391,32
B010,PRD1027,289
B006,PRD0425,163
B002,PRD1461,296
B004,PRD1297,107
B001,PRD0414,89
B008,PRD0931,223
B002,PRD1265,76
B010,PRD1071,42
B010,PRD0579,192
B008,PRD1475,65
B004,PRD0589,289
B003,PRD0542,246
B007,PRD0034,81
B007,PRD0187,80
B005,PRD0054,293
B005,PRD1182,169
B003,PRD0121,248
B010,PRD1223,264
B003,PRD0331,105
B010,PRD0083,144
B006,PRD0717,140
B009,PRD1454,80
B009,PRD1136,7
B007,PRD0396,41
B009,PRD0026,274
B004,PRD0723,31
B006,PRD0089,86
B004,PRD1466,55
B003,PRD0402,32
B007,PRD0688,231
B007,PRD0451,247
B009,PRD0300,58
B005,PRD0710,54
B006,PRD1310,86
B006,PRD0984,112
B005,PRD0845,219
B009,PRD1412,192
B001,PRD1096,109
B009,PRD0340,125
B009,PRD0907,206
B002,PRD0860,129
B006,PRD1068,155
B006,PRD0982,151
B010,PRD0523,261
B002,PRD0346,142
B009,PRD0589,61
B005,PRD1204,224
B001,PRD0021,171
B008,PRD1175,290
B004,PRD1002,32
B002,PRD0325,158
B001,PRD1179,197
B005,PRD0694,201
B001,PRD0396,155
B010,PRD1135,241
