CardID,RegistrationDate,LoyalPoint,LevelID,CustomerID
CARD00001,2022-09-23,8546,L3,CUS49579
CARD00002,2024-06-19,1632,L2,CUS19069
CARD00003,2020-08-25,592,L3,CUS52348
CARD00004,2024-07-20,8356,L1,CUS14708
CARD00005,2022-07-28,9700,L2,CUS41536
CARD00006,2022-09-17,9580,L1,CUS64737
CARD00007,2024-10-10,7867,L1,CUS52326
CARD00008,2022-12-29,4922,L1,CUS58522
CARD00009,2020-04-18,3538,L2,CUS79825
CARD00010,2021-07-15,3412,L1,CUS62168
CARD00011,2024-08-24,7462,L3,CUS18772
CARD00012,2024-03-31,6470,L2,CUS10099
CARD00013,2021-06-13,7660,L2,CUS24847
CARD00014,2021-12-09,5235,L1,CUS09957
CARD00015,2023-02-02,4903,L1,CUS37942
CARD00016,2022-11-10,5146,L2,CUS45495
CARD00017,2021-03-27,2530,L1,CUS02017
CARD00018,2022-08-18,9752,L3,CUS44675
CARD00019,2024-02-03,2382,L1,CUS47309
CARD00020,2020-02-23,8818,L2,CUS78857
CARD00021,2023-06-25,7236,L1,CUS57601
CARD00022,2021-10-19,1136,L1,CUS12416
CARD00023,2022-10-18,2816,L3,CUS59263
CARD00024,2020-02-15,6015,L2,CUS17043
CARD00025,2021-07-23,9336,L3,CUS16778
CARD00026,2022-04-25,7296,L2,CUS75074
CARD00027,2020-12-09,4927,L2,CUS37133
CARD00028,2022-02-10,7662,L1,CUS32857
CARD00029,2020-01-21,5667,L3,CUS41350
CARD00030,2022-04-12,1929,L2,CUS14024
CARD00031,2023-03-08,1579,L1,CUS59734
CARD00032,2021-01-15,8414,L1,CUS68380
CARD00033,2022-10-28,2864,L2,CUS55713
CARD00034,2023-07-01,3133,L3,CUS60559
CARD00035,2020-09-26,5038,L3,CUS27530
CARD00036,2022-12-07,4996,L3,CUS22557
CARD00037,2024-03-07,5879,L1,CUS30414
CARD00038,2021-09-24,9147,L1,CUS59483
CARD00039,2021-03-28,5720,L2,CUS03878
CARD00040,2021-05-10,5954,L2,CUS14031
CARD00041,2020-09-28,9735,L3,CUS13911
CARD00042,2022-03-14,510,L3,CUS32317
CARD00043,2021-12-23,4540,L2,CUS15111
CARD00044,2020-09-23,5686,L1,CUS51709
CARD00045,2021-11-04,9438,L1,CUS18969
CARD00046,2023-07-22,9519,L3,CUS73073
CARD00047,2024-10-15,9469,L1,CUS09945
CARD00048,2021-03-18,7738,L3,CUS77123
CARD00049,2022-05-23,276,L3,CUS35815
CARD00050,2024-11-29,3808,L2,CUS16210
CARD00051,2023-10-05,4776,L1,CUS77028
CARD00052,2021-06-08,3897,L1,CUS65522
CARD00053,2022-03-11,381,L1,CUS06215
CARD00054,2020-08-21,1947,L3,CUS57296
CARD00055,2023-11-21,1956,L2,CUS39349
CARD00056,2022-03-10,3135,L2,CUS16542
CARD00057,2021-09-11,3814,L1,CUS14842
CARD00058,2024-01-10,9423,L3,CUS22491
CARD00059,2023-09-08,8530,L2,CUS36826
CARD00060,2021-01-13,293,L2,CUS42326
CARD00061,2024-05-26,6204,L3,CUS71702
CARD00062,2022-01-12,5966,L2,CUS63416
CARD00063,2022-10-21,7017,L3,CUS36286
CARD00064,2023-06-08,3456,L1,CUS59857
CARD00065,2024-03-13,6366,L2,CUS67265
CARD00066,2022-04-18,9937,L1,CUS29816
CARD00067,2020-03-03,3074,L2,CUS44131
CARD00068,2023-04-02,8205,L3,CUS60740
CARD00069,2021-07-22,234,L2,CUS72829
CARD00070,2020-02-19,6195,L3,CUS64878
CARD00071,2022-12-17,70,L2,CUS51551
CARD00072,2020-02-02,3214,L2,CUS76964
CARD00073,2023-03-14,3368,L3,CUS04180
CARD00074,2023-09-06,3165,L1,CUS77002
CARD00075,2024-11-27,938,L1,CUS16740
CARD00076,2024-09-14,6692,L3,CUS60260
CARD00077,2021-01-05,7150,L2,CUS51325
CARD00078,2020-04-25,5682,L3,CUS34582
CARD00079,2024-10-04,1134,L3,CUS63413
CARD00080,2020-02-08,4023,L1,CUS12491
CARD00081,2021-08-14,7694,L3,CUS20251
CARD00082,2021-09-03,7831,L1,CUS21488
CARD00083,2021-01-13,1647,L1,CUS61282
CARD00084,2024-07-12,3899,L2,CUS24234
CARD00085,2022-11-15,1774,L3,CUS39109
CARD00086,2024-09-17,1968,L2,CUS06463
CARD00087,2022-12-14,5248,L2,CUS56722
CARD00088,2021-01-19,4209,L2,CUS18873
CARD00089,2022-05-16,4575,L3,CUS00774
CARD00090,2021-09-14,7124,L3,CUS50446
CARD00091,2023-07-06,1128,L1,CUS04387
CARD00092,2021-04-25,109,L3,CUS26143
CARD00093,2021-07-30,1863,L3,CUS24836
CARD00094,2024-07-02,7873,L2,CUS29688
CARD00095,2020-11-05,7511,L1,CUS23372
CARD00096,2021-10-17,6606,L3,CUS52367
CARD00097,2020-12-05,8111,L1,CUS25544
CARD00098,2023-08-09,7690,L2,CUS20569
CARD00099,2020-06-26,1474,L3,CUS14569
CARD00100,2020-01-17,9363,L1,CUS56293
CARD00101,2022-05-31,2514,L2,CUS38654
CARD00102,2022-03-05,5602,L2,CUS67799
CARD00103,2021-05-09,6651,L1,CUS78725
CARD00104,2024-02-17,4394,L3,CUS19803
CARD00105,2021-04-20,4126,L2,CUS16497
CARD00106,2022-03-12,6299,L3,CUS29922
CARD00107,2020-05-24,7278,L3,CUS54449
CARD00108,2020-01-31,1583,L3,CUS47923
CARD00109,2022-11-18,2991,L3,CUS04767
CARD00110,2024-03-19,787,L3,CUS56447
CARD00111,2020-10-22,3886,L3,CUS04798
CARD00112,2020-12-27,4577,L1,CUS03746
CARD00113,2020-04-15,4761,L3,CUS15143
CARD00114,2022-09-26,5244,L2,CUS76648
CARD00115,2020-08-18,3198,L3,CUS11548
CARD00116,2024-01-04,6077,L3,CUS08386
CARD00117,2021-08-17,7114,L3,CUS19058
CARD00118,2023-12-05,9757,L1,CUS25385
CARD00119,2024-05-14,9688,L3,CUS40249
CARD00120,2022-08-19,3407,L1,CUS06898
CARD00121,2023-11-12,2510,L2,CUS52476
CARD00122,2022-12-20,7794,L3,CUS09147
CARD00123,2021-04-17,4636,L1,CUS45277
CARD00124,2020-04-27,1604,L3,CUS04243
CARD00125,2022-06-16,8480,L2,CUS06575
CARD00126,2024-10-09,1145,L2,CUS09523
CARD00127,2023-09-01,4792,L3,CUS28214
CARD00128,2022-11-06,8867,L3,CUS23349
CARD00129,2020-06-07,6375,L2,CUS77479
CARD00130,2020-04-21,3387,L2,CUS59413
CARD00131,2021-07-24,1899,L1,CUS69368
CARD00132,2021-09-22,7834,L3,CUS01271
CARD00133,2024-11-08,2555,L2,CUS60839
CARD00134,2020-03-31,8530,L2,CUS16234
CARD00135,2021-11-05,4700,L3,CUS61291
