CertificateID,Name,IssueDate,IssueOrganization
CER0001,Bằng Tiến sĩ Thú y,2022-02-05,Trường Đại học Nông Lâm TP.HCM
CER0002,Chứng chỉ Dinh dưỡng Thú y,2015-01-11,Trường Đại học Kasetsart Thái Lan
CER0003,Bằng Đại học Thú y,2010-11-26,Trung tâm Kiểm dịch Động vật
CER0004,Bằng Tiến sĩ Thú y,2015-07-19,Bộ Nông nghiệp và Phát triển Nông thôn
CER0005,Bằng Tiến sĩ Thú y,2023-12-08,Viện Pasteur Nha Trang
CER0006,Chứng chỉ X-quang Thú y,2012-10-31,Đại học California
CER0007,Chứng chỉ Phẫu thuật Thú y,2022-08-26,Bộ Nông nghiệp và Phát triển Nông thôn
CER0008,Chứng chỉ Bệnh da liễu Thú y,2015-10-01,Trung tâm Kiểm dịch Động vật
CER0009,Chứng chỉ Dinh dưỡng Thú y,2013-10-06,Viện Nông nghiệp Australia
CER0010,Chứng chỉ Chẩn đoán lâm sàng,2012-07-27,Trung tâm Kiểm dịch Động vật
CER0011,Chứng chỉ Nha y Thú y,2016-12-23,Trường Đại học Thú y Hà Nội
CER0012,Chứng chỉ Dịch tễ học Thú y,2010-07-30,Hiệp hội Thú y Việt Nam
CER0013,Chứng chỉ Dịch tễ học Thú y,2018-06-02,Đại học Cornell
CER0014,Chứng chỉ Siêu âm chẩn đoán,2011-09-15,Viện Nông nghiệp Australia
CER0015,Chứng chỉ X-quang Thú y,2012-04-14,Bệnh viện Thú y Quốc gia
CER0016,Chứng chỉ Quản lý bệnh viện Thú y,2023-06-20,Trung tâm Kiểm dịch Động vật
CER0017,Chứng chỉ Phẫu thuật Thú y,2022-09-11,Trung tâm Kiểm dịch Động vật
CER0018,Bằng Thạc sĩ Thú y,2017-10-15,Trường Veterinary Medicine USA
CER0019,Chứng chỉ Sinh sản Thú y,2018-04-24,Trường Đại học Thú y Hà Nội
CER0020,Chứng chỉ Ngoại khoa Thú y,2017-08-27,Trường Đại học Nông Lâm TP.HCM
CER0021,Chứng chỉ Sinh sản Thú y,2020-12-29,Trường Đại học Thú y Hà Nội
CER0022,Chứng chỉ Sinh sản Thú y,2018-02-15,Trường Đại học Kasetsart Thái Lan
CER0023,Chứng chỉ Bệnh da liễu Thú y,2013-06-07,Đại học Cornell
CER0024,Chứng chỉ Nha y Thú y,2021-09-14,Trường Đại học Kasetsart Thái Lan
CER0025,Chứng chỉ Phòng chống bệnh truyền nhiễm,2023-10-25,Trung tâm Kiểm dịch Động vật
CER0026,Chứng chỉ Bệnh học Thú y,2020-11-04,Đại học California
CER0027,Chứng chỉ Sinh sản Thú y,2023-04-16,Hiệp hội Thú y Việt Nam
CER0028,Chứng chỉ Anestesia Thú y,2015-07-05,Hiệp hội Thú y Châu Á-Thái Bình Dương
