DegreeID,Major,School,GraduationYear
DEG001,Chuyên gia Phẫu thuật,ĐH Thái Nguyên,2015
DEG002,Chuyên gia Phẫu thuật,ĐH An Giang,2017
DEG003,Quản lý Bệnh viện Thú y,ĐH An Giang,2009
DEG004,Chuyên gia Nha khoa,ĐH Cần Thơ,2012
DEG005,Chuyên gia X-quang,ĐH Hồng Đức,2022
DEG006,Chuyên gia Nha khoa,ĐH Thái Nguyên,2018
DEG007,Quản lý Bệnh viện Thú y,ĐH Thái Nguyên,2017
DEG008,Chuyên gia Da liễu,ĐH Nông nghiệp Hà Nội,2009
DEG009,Chuyên gia Dinh dưỡng,ĐH An Giang,2007
DEG010,Chuyên gia Phòng chống dịch,ĐH Nông Lâm TP.HCM,2008
DEG011,Kỹ thuật viên Thú y,ĐH Cần Thơ,2018
DEG012,Chuyên gia Dược phẩm,ĐH Thú y Hà Nội,2017
DEG013,Chuyên gia Nội khoa,ĐH Thái Nguyên,2019
DEG014,Chuyên gia Dinh dưỡng,ĐH Huế,2022
DEG015,Chuyên gia Sinh sản,ĐH Nông Lâm TP.HCM,2008
DEG016,Chuyên gia Siêu âm,ĐH Hồng Đức,2013
DEG017,Chuyên gia Phòng chống dịch,ĐH Đà Nẵng,2008
DEG018,Chuyên gia Nha khoa,ĐH Tây Nguyên,2010
DEG019,Chuyên gia Ngoại khoa,ĐH Nông Lâm TP.HCM,2013
DEG020,Chuyên gia Dinh dưỡng,ĐH Cần Thơ,2021
DEG021,Quản lý Bệnh viện Thú y,ĐH Thú y Hà Nội,2014
DEG022,Chuyên gia Sinh sản,ĐH Hồng Đức,2011
DEG023,Kỹ thuật viên Thú y,ĐH Đà Nẵng,2010
DEG024,Chuyên gia Dinh dưỡng,ĐH Hồng Đức,2005
DEG025,Chuyên gia Dược phẩm,ĐH Đà Nẵng,2020
DEG026,Bác sĩ Thú y,ĐH Thú y Hà Nội,2016
DEG027,Quản lý Bệnh viện Thú y,ĐH Huế,2012
DEG028,Bác sĩ Thú y,ĐH Nông nghiệp Hà Nội,2023
DEG029,Y tá Thú y,ĐH Thú y Hà Nội,2020
DEG030,Chuyên gia Sinh sản,ĐH Thú y Hà Nội,2022
DEG031,Chuyên gia Phòng chống dịch,ĐH Cần Thơ,2009
DEG032,Chuyên gia Siêu âm,ĐH An Giang,2022
DEG033,Kỹ thuật viên Thú y,ĐH Huế,2021
DEG034,Chuyên gia Sinh sản,ĐH Thái Nguyên,2018
DEG035,Chuyên gia Phẫu thuật,ĐH Hồng Đức,2011
DEG036,Chuyên gia X-quang,ĐH Huế,2017
DEG037,Chuyên gia Siêu âm,ĐH Đà Nẵng,2019
DEG038,Quản lý Bệnh viện Thú y,ĐH Hồng Đức,2019
DEG039,Y tá Thú y,ĐH Nông nghiệp Hà Nội,2012
DEG040,Y tá Thú y,ĐH Đà Nẵng,2005
DEG041,Chuyên gia Dược phẩm,ĐH Hồng Đức,2012
DEG042,Chuyên gia Dược phẩm,ĐH Nông nghiệp Hà Nội,2005
DEG043,Y tá Thú y,ĐH Nông Lâm TP.HCM,2012
DEG044,Y tá Thú y,ĐH Nông Lâm TP.HCM,2015
DEG045,Y tá Thú y,ĐH Hồng Đức,2012
DEG046,Chuyên gia Nha khoa,ĐH An Giang,2011
DEG047,Chuyên gia Dinh dưỡng,ĐH Cần Thơ,2023
DEG048,Chuyên gia Dược phẩm,ĐH An Giang,2012
DEG049,Chuyên gia Phòng chống dịch,ĐH An Giang,2018
DEG050,Chuyên gia Phẫu thuật,ĐH Thú y Hà Nội,2008
DEG051,Chuyên gia Siêu âm,ĐH Tây Nguyên,2016
DEG052,Chuyên gia Nội khoa,ĐH Tây Nguyên,2019
DEG053,Chuyên gia Sinh sản,ĐH Nông Lâm TP.HCM,2008
DEG054,Bác sĩ Thú y,ĐH Tây Nguyên,2015
DEG055,Chuyên gia Phòng chống dịch,ĐH Thú y Hà Nội,2012
DEG056,Chuyên gia Phẫu thuật,ĐH Nông nghiệp Hà Nội,2022
DEG057,Chuyên gia Ngoại khoa,ĐH Cần Thơ,2018
DEG058,Kỹ thuật viên Thú y,ĐH Huế,2019
DEG059,Chuyên gia Phẫu thuật,ĐH Thú y Hà Nội,2019
DEG060,Chuyên gia Phòng chống dịch,ĐH Hồng Đức,2008
DEG061,Bác sĩ Thú y,ĐH Hồng Đức,2005
DEG062,Y tá Thú y,ĐH Nông nghiệp Hà Nội,2010
DEG063,Chuyên gia Nội khoa,ĐH An Giang,2020
DEG064,Chuyên gia Phẫu thuật,ĐH Tây Nguyên,2006
DEG065,Kỹ thuật viên Thú y,ĐH Tây Nguyên,2005
DEG066,Chuyên gia Nội khoa,ĐH Huế,2019
DEG067,Chuyên gia Nha khoa,ĐH Tây Nguyên,2022
DEG068,Chuyên gia Siêu âm,ĐH An Giang,2009
DEG069,Chuyên gia Phẫu thuật,ĐH Huế,2011
DEG070,Bác sĩ Thú y,ĐH Thái Nguyên,2022
DEG071,Bác sĩ Thú y,ĐH Đà Nẵng,2006
DEG072,Bác sĩ Thú y,ĐH Thái Nguyên,2020
DEG073,Chuyên gia Dinh dưỡng,ĐH Hồng Đức,2010
DEG074,Bác sĩ Thú y,ĐH Hồng Đức,2007
DEG075,Chuyên gia Sinh sản,ĐH Cần Thơ,2007
DEG076,Chuyên gia Dược phẩm,ĐH Thú y Hà Nội,2012
DEG077,Chuyên gia Nội khoa,ĐH Thú y Hà Nội,2023
DEG078,Chuyên gia Phẫu thuật,ĐH Thái Nguyên,2006
DEG079,Chuyên gia Dược phẩm,ĐH Thú y Hà Nội,2018
DEG080,Chuyên gia Siêu âm,ĐH Thái Nguyên,2023
DEG081,Chuyên gia Dinh dưỡng,ĐH Đà Nẵng,2013
DEG082,Chuyên gia Phẫu thuật,ĐH Đà Nẵng,2012
DEG083,Chuyên gia Nha khoa,ĐH Tây Nguyên,2009
DEG084,Chuyên gia Siêu âm,ĐH Huế,2019
DEG085,Chuyên gia Da liễu,ĐH Thú y Hà Nội,2005
DEG086,Chuyên gia Ngoại khoa,ĐH Thái Nguyên,2023
