DID,Specialization,EducationLevel,DegreeID,CerticateID
E0058,Ngoại khoa,ThS,DEG114,CER0212
E0057,Nội tổng quát,ĐH,DEG100,CER0185
E0032,Thú y chó mèo,TS,DEG121,CER0033
E0049,Nội tổng quát,ĐH,DEG141,CER0136
E0039,Da liễu thú y,ĐH,DEG002,CER0143
E0088,Da liễu thú y,ĐH,DEG058,CER0276
E0116,Thú y chó mèo,ThS,DEG038,CER0208
E0104,Nội tổng quát,ĐH,DEG109,CER0203
E0069,Da liễu thú y,ThS,DEG104,CER0250
E0096,Da liễu thú y,ĐH,DEG174,CER0252
E0015,Thú y chó mèo,TS,DEG057,CER0008
E0041,Nội tổng quát,ThS,DEG043,CER0096
E0095,Da liễu thú y,ThS,DEG197,CER0249
E0048,Da liễu thú y,ThS,DEG120,CER0157
E0093,Da liễu thú y,ĐH,DEG102,CER0091
E0085,Thú y chó mèo,TS,DEG118,CER0258
E0068,Thú y chó mèo,ThS,DEG027,CER0104
E0012,Nội tổng quát,TS,DEG182,CER0038
E0097,Da liễu thú y,TS,DEG110,CER0208
E0086,Nội tổng quát,TS,DEG195,CER0157
E0016,Thú y chó mèo,TS,DEG039,CER0050
E0018,Ngoại khoa,TS,DEG196,CER0167
E0101,Nội tổng quát,ĐH,DEG188,CER0083
E0090,Da liễu thú y,TS,DEG046,CER0290
E0013,Thú y chó mèo,ĐH,DEG020,CER0252
E0061,Da liễu thú y,TS,DEG030,CER0107
E0036,Thú y chó mèo,ThS,DEG125,CER0282
E0022,Ngoại khoa,TS,DEG018,CER0049
E0005,Thú y chó mèo,ThS,DEG151,CER0076
E0077,Nội tổng quát,TS,DEG014,CER0001
E0023,Ngoại khoa,ĐH,DEG100,CER0106
E0047,Nội tổng quát,ĐH,DEG044,CER0028
E0080,Da liễu thú y,ĐH,DEG051,CER0199
E0091,Nội tổng quát,ThS,DEG061,CER0237
E0010,Ngoại khoa,TS,DEG029,CER0119
E0102,Da liễu thú y,ĐH,DEG093,CER0128
E0004,Thú y chó mèo,TS,DEG150,CER0288
E0059,Nội tổng quát,ĐH,DEG130,CER0196
E0070,Thú y chó mèo,ThS,DEG145,CER0162
E0084,Ngoại khoa,ThS,DEG155,CER0024
E0112,Thú y chó mèo,ThS,DEG196,CER0017
E0075,Ngoại khoa,ThS,DEG190,CER0200
E0046,Nội tổng quát,ThS,DEG002,CER0004
E0081,Thú y chó mèo,ThS,DEG167,CER0199
E0092,Nội tổng quát,ThS,DEG043,CER0168
E0118,Nội tổng quát,TS,DEG153,CER0218
E0099,Da liễu thú y,ThS,DEG088,CER0075
E0002,Da liễu thú y,ThS,DEG089,CER0292
E0026,Nội tổng quát,ĐH,DEG097,CER0268
E0064,Ngoại khoa,ThS,DEG119,CER0282
E0120,Ngoại khoa,ThS,DEG159,CER0264
E0020,Thú y chó mèo,ĐH,DEG186,CER0229
E0082,Nội tổng quát,ThS,DEG168,CER0071
E0024,Da liễu thú y,ThS,DEG124,CER0031
E0073,Thú y chó mèo,ĐH,DEG039,CER0010
E0054,Da liễu thú y,TS,DEG065,CER0154
E0031,Thú y chó mèo,ĐH,DEG106,CER0091
E0003,Ngoại khoa,ĐH,DEG183,CER0178
E0071,Nội tổng quát,ThS,DEG014,CER0212
E0076,Da liễu thú y,TS,DEG029,CER0066
E0089,Nội tổng quát,ĐH,DEG046,CER0025
E0109,Da liễu thú y,ĐH,DEG062,CER0057
E0067,Da liễu thú y,ĐH,DEG075,CER0090
