DrugID,DrugName,DrugType
DRG0001,Hydrocortisone,Chống viêm
DRG0002,Carprofen,Giảm đau
DRG0003,Vitamin B Complex,Vitamin
DRG0004,Loperamide,Tiêu hoá
DRG0005,Salbutamol,Hô hấp
DRG0006,Salbutamol,Hô hấp
DRG0007,Ranitidine,Tiêu hoá
DRG0008,Paracetamol,Giảm đau
DRG0009,Furosemide,Tim mạch
DRG0010,Dipyrone,Giảm đau
DRG0011,Loperamide,Tiêu hoá
DRG0012,Bromhexine,Hô hấp
DRG0013,Loperamide,Tiêu hoá
DRG0014,Vitamin A+D,Vitamin
DRG0015,Vitamin C,Vitamin
DRG0016,Gentamycin,Kháng sinh
DRG0017,Phenobarbital,Thần kinh
DRG0018,Carprofen,Giảm đau
DRG0019,Diazepam,Thần kinh
DRG0020,Phenobarbital,Thần kinh
DRG0021,Omeprazole,Tiêu hoá
DRG0022,Vitamin B Complex,Vitamin
DRG0023,Vitamin E,Vitamin
DRG0024,Hydrocortisone,Chống viêm
DRG0025,Taurine,Vitamin
DRG0026,Phenylbutazone,Giảm đau
DRG0027,Taurine,Vitamin
DRG0028,Vitamin C,Vitamin
DRG0029,Midazolam,Thần kinh
DRG0030,Vitamin C,Vitamin
DRG0031,Furosemide,Tim mạch
DRG0032,Doxapram,Hô hấp
DRG0033,Diazepam,Thần kinh
DRG0034,Paracetamol,Giảm đau
DRG0035,Gentamycin,Kháng sinh
DRG0036,Diazepam,Thần kinh
DRG0037,Phenylbutazone,Giảm đau
DRG0038,Hydrocortisone,Chống viêm
DRG0039,Trimethoprim,Kháng sinh
DRG0040,Gentamycin,Kháng sinh
DRG0041,Meloxicam,Giảm đau
DRG0042,Gentamycin,Kháng sinh
DRG0043,Furosemide,Tim mạch
DRG0044,Dexamethasone,Chống viêm
DRG0045,Taurine,Vitamin
DRG0046,Phenobarbital,Thần kinh
DRG0047,Diazepam,Thần kinh
DRG0048,Ketamine,Thần kinh
DRG0049,Vitamin E,Vitamin
DRG0050,Vitamin E,Vitamin
DRG0051,Dipyrone,Giảm đau
DRG0052,Phenylbutazone,Giảm đau
DRG0053,Salbutamol,Hô hấp
DRG0054,Omeprazole,Tiêu hoá
DRG0055,Digoxin,Tim mạch
DRG0056,Vitamin C,Vitamin
DRG0057,Midazolam,Thần kinh
DRG0058,Hydrocortisone,Chống viêm
DRG0059,Amoxicillin,Kháng sinh
DRG0060,Enrofloxacin,Kháng sinh
DRG0061,Propofol,Thần kinh
DRG0062,Vitamin C,Vitamin
DRG0063,Hydrocortisone,Chống viêm
DRG0064,Trimethoprim,Kháng sinh
DRG0065,Loperamide,Tiêu hoá
DRG0066,Amoxicillin,Kháng sinh
DRG0067,Ranitidine,Tiêu hoá
DRG0068,Loperamide,Tiêu hoá
DRG0069,Ranitidine,Tiêu hoá
DRG0070,Furosemide,Tim mạch
DRG0071,Ranitidine,Tiêu hoá
DRG0072,Spironolactone,Tim mạch
DRG0073,Vitamin E,Vitamin
DRG0074,Paracetamol,Giảm đau
DRG0075,Propranolol,Tim mạch
DRG0076,Dipyrone,Giảm đau
DRG0077,Gentamycin,Kháng sinh
DRG0078,Amoxicillin,Kháng sinh
DRG0079,Dipyrone,Giảm đau
DRG0080,Taurine,Vitamin
DRG0081,Trimethoprim,Kháng sinh
DRG0082,Paracetamol,Giảm đau
DRG0083,Doxapram,Hô hấp
DRG0084,Midazolam,Thần kinh
DRG0085,Propranolol,Tim mạch
DRG0086,Bromhexine,Hô hấp
DRG0087,Ketamine,Thần kinh
DRG0088,Codeine,Hô hấp
DRG0089,Propofol,Thần kinh
DRG0090,Enrofloxacin,Kháng sinh
DRG0091,Taurine,Vitamin
DRG0092,Gentamycin,Kháng sinh
DRG0093,Vitamin E,Vitamin
DRG0094,Spironolactone,Tim mạch
DRG0095,Digoxin,Tim mạch
DRG0096,Trimethoprim,Kháng sinh
DRG0097,Enrofloxacin,Kháng sinh
DRG0098,Propofol,Thần kinh
DRG0099,Methylprednisolone,Chống viêm
DRG0100,Ranitidine,Tiêu hoá
DRG0101,Theophylline,Hô hấp
DRG0102,Bromhexine,Hô hấp
DRG0103,Ketamine,Thần kinh
DRG0104,Meloxicam,Giảm đau
DRG0105,Vitamin A+D,Vitamin
DRG0106,Furosemide,Tim mạch
DRG0107,Phenobarbital,Thần kinh
DRG0108,Trimethoprim,Kháng sinh
DRG0109,Phenobarbital,Thần kinh
DRG0110,Salbutamol,Hô hấp
DRG0111,Diazepam,Thần kinh
DRG0112,Doxapram,Hô hấp
DRG0113,Gentamycin,Kháng sinh
DRG0114,Taurine,Vitamin
DRG0115,Phenobarbital,Thần kinh
DRG0116,Taurine,Vitamin
DRG0117,Metoclopramide,Tiêu hoá
DRG0118,Propranolol,Tim mạch
DRG0119,Omeprazole,Tiêu hoá
DRG0120,Dipyrone,Giảm đau
DRG0121,Spironolactone,Tim mạch
DRG0122,Gentamycin,Kháng sinh
DRG0123,Midazolam,Thần kinh
DRG0124,Spironolactone,Tim mạch
DRG0125,Carprofen,Giảm đau
DRG0126,Dexamethasone,Chống viêm
DRG0127,Furosemide,Tim mạch
DRG0128,Vitamin E,Vitamin
DRG0129,Ketamine,Thần kinh
DRG0130,Phenobarbital,Thần kinh
DRG0131,Salbutamol,Hô hấp
DRG0132,Ranitidine,Tiêu hoá
DRG0133,Vitamin B Complex,Vitamin
DRG0134,Vitamin E,Vitamin
DRG0135,Propranolol,Tim mạch
DRG0136,Prednisone,Chống viêm
DRG0137,Dipyrone,Giảm đau
DRG0138,Digoxin,Tim mạch
DRG0139,Doxapram,Hô hấp
DRG0140,Dexamethasone,Chống viêm
DRG0141,Methylprednisolone,Chống viêm
DRG0142,Ketamine,Thần kinh
DRG0143,Taurine,Vitamin
DRG0144,Propofol,Thần kinh
DRG0145,Vitamin B Complex,Vitamin
DRG0146,Amoxicillin,Kháng sinh
DRG0147,Bromhexine,Hô hấp
DRG0148,Prednisone,Chống viêm
DRG0149,Captopril,Tim mạch
DRG0150,Dexamethasone,Chống viêm
DRG0151,Ranitidine,Tiêu hoá
DRG0152,Vitamin B Complex,Vitamin
DRG0153,Amoxicillin,Kháng sinh
DRG0154,Phenylbutazone,Giảm đau
DRG0155,Digoxin,Tim mạch
DRG0156,Taurine,Vitamin
DRG0157,Bromhexine,Hô hấp
DRG0158,Methylprednisolone,Chống viêm
DRG0159,Carprofen,Giảm đau
DRG0160,Trimethoprim,Kháng sinh
DRG0161,Midazolam,Thần kinh
DRG0162,Phenylbutazone,Giảm đau
DRG0163,Taurine,Vitamin
DRG0164,Vitamin B Complex,Vitamin
DRG0165,Methylprednisolone,Chống viêm
DRG0166,Prednisone,Chống viêm
DRG0167,Gentamycin,Kháng sinh
DRG0168,Methylprednisolone,Chống viêm
DRG0169,Metoclopramide,Tiêu hoá
DRG0170,Spironolactone,Tim mạch
DRG0171,Bisacodyl,Tiêu hoá
DRG0172,Propranolol,Tim mạch
DRG0173,Omeprazole,Tiêu hoá
DRG0174,Prednisone,Chống viêm
DRG0175,Salbutamol,Hô hấp
DRG0176,Metoclopramide,Tiêu hoá
DRG0177,Taurine,Vitamin
DRG0178,Methylprednisolone,Chống viêm
DRG0179,Carprofen,Giảm đau
DRG0180,Phenylbutazone,Giảm đau
DRG0181,Codeine,Hô hấp
DRG0182,Vitamin E,Vitamin
DRG0183,Vitamin E,Vitamin
DRG0184,Betamethasone,Chống viêm
DRG0185,Ketamine,Thần kinh
DRG0186,Captopril,Tim mạch
DRG0187,Meloxicam,Giảm đau
DRG0188,Vitamin B Complex,Vitamin
DRG0189,Bromhexine,Hô hấp
DRG0190,Gentamycin,Kháng sinh
DRG0191,Digoxin,Tim mạch
DRG0192,Salbutamol,Hô hấp
DRG0193,Dipyrone,Giảm đau
DRG0194,Dipyrone,Giảm đau
DRG0195,Spironolactone,Tim mạch
DRG0196,Ranitidine,Tiêu hoá
DRG0197,Paracetamol,Giảm đau
DRG0198,Prednisone,Chống viêm
DRG0199,Bisacodyl,Tiêu hoá
DRG0200,Paracetamol,Giảm đau
DRG0201,Vitamin E,Vitamin
DRG0202,Prednisone,Chống viêm
DRG0203,Bisacodyl,Tiêu hoá
DRG0204,Betamethasone,Chống viêm
DRG0205,Bromhexine,Hô hấp
DRG0206,Phenobarbital,Thần kinh
DRG0207,Gentamycin,Kháng sinh
DRG0208,Digoxin,Tim mạch
DRG0209,Betamethasone,Chống viêm
DRG0210,Ranitidine,Tiêu hoá
DRG0211,Bisacodyl,Tiêu hoá
DRG0212,Gentamycin,Kháng sinh
DRG0213,Omeprazole,Tiêu hoá
DRG0214,Methylprednisolone,Chống viêm
DRG0215,Phenobarbital,Thần kinh
DRG0216,Vitamin C,Vitamin
DRG0217,Codeine,Hô hấp
DRG0218,Vitamin B Complex,Vitamin
DRG0219,Metoclopramide,Tiêu hoá
DRG0220,Bisacodyl,Tiêu hoá
DRG0221,Loperamide,Tiêu hoá
DRG0222,Doxapram,Hô hấp
DRG0223,Vitamin A+D,Vitamin
DRG0224,Propranolol,Tim mạch
DRG0225,Phenobarbital,Thần kinh
DRG0226,Methylprednisolone,Chống viêm
DRG0227,Ranitidine,Tiêu hoá
DRG0228,Digoxin,Tim mạch
DRG0229,Prednisone,Chống viêm
DRG0230,Theophylline,Hô hấp
DRG0231,Vitamin A+D,Vitamin
DRG0232,Enrofloxacin,Kháng sinh
DRG0233,Doxapram,Hô hấp
DRG0234,Codeine,Hô hấp
DRG0235,Loperamide,Tiêu hoá
DRG0236,Propofol,Thần kinh
DRG0237,Diazepam,Thần kinh
DRG0238,Paracetamol,Giảm đau
DRG0239,Diazepam,Thần kinh
DRG0240,Omeprazole,Tiêu hoá
DRG0241,Oxytetracycline,Kháng sinh
DRG0242,Metoclopramide,Tiêu hoá
DRG0243,Paracetamol,Giảm đau
