EID,PetID,ExaminationDate,Symptoms,Diagnoses,FollowUpDate
SRV0200,PET91928,2021-12-16 23:32:09,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2022-01-06
SRV0006,PET75894,2023-04-11 20:28:38,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Nhiễm trùng vết mổ sau phẫu thuật,2023-04-29
SRV0171,PET37502,2023-02-10 01:28:54,Lờ đờ - mất sinh lực,Viêm mống mắt - cần chỉ định nhanh,2023-02-17
SRV0061,PET111901,2023-02-07 05:48:13,Bụng căng như quả bóng - đau nhiều,Suy thận cấp - cần xét nghiệm ngay,2023-03-04
SRV0159,PET24216,2021-03-17 03:31:03,Bụng căng như quả bóng - đau nhiều,Virus Parvovirus (parvo) - nguy hiểm,2021-04-10
SRV0113,PET94444,2021-11-12 12:01:29,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2021-12-12
SRV0001,PET56731,2023-09-15 19:30:09,Hôi miệng kinh khủng - nướu sưng tấy,Viêm đường hô hấp cấp tính,2023-09-19
SRV0098,PET75477,2022-04-03 20:06:33,Chảy máu cam liên tục - nước tiểu đỏ,Tổn thương thần kinh ngoại biên,2022-05-02
SRV0169,PET55432,2022-11-15 19:25:27,Ho kéo dài - khó thở - chảy nước mũi,Viêm đường hô hấp cấp tính,2022-11-22
SRV0110,PET101779,2023-12-21 11:10:44,Lờ đờ - mất sinh lực,Tổn thương thần kinh ngoại biên,2024-01-08
SRV0130,PET34357,2022-12-22 14:53:32,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-01-08
SRV0003,PET81514,2021-05-09 09:07:37,Liệt chi sau - không đứng được,Thiếu máu do sốc mất máu hoặc ký sinh,2021-05-19
SRV0179,PET87517,2021-10-21 00:57:08,Chảy máu cam liên tục - nước tiểu đỏ,Xuất huyết nội bộ - cấp cứu,2021-10-27
SRV0112,PET23884,2023-08-31 16:32:42,Tê liệt mặt - miệng méo,Bệnh nha chu giai đoạn cuối,2023-09-29
SRV0103,PET98236,2024-12-26 00:36:03,Chảy máu cam liên tục - nước tiểu đỏ,Tổn thương thần kinh ngoại biên,2025-01-18
SRV0038,PET27420,2023-11-10 07:26:22,Chảy máu cam liên tục - nước tiểu đỏ,Xuất huyết nội bộ - cấp cứu,2023-11-15
SRV0173,PET14096,2022-03-15 22:18:32,Liệt chi sau - không đứng được,Bệnh nha chu giai đoạn cuối,2022-04-05
SRV0077,PET36638,2024-11-12 23:55:17,Lờ đờ - mất sinh lực,Thiếu máu do sốc mất máu hoặc ký sinh,2024-11-26
SRV0154,PET69565,2022-01-22 04:07:49,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Chấn thương cột sống lưng thắt lưng,2022-02-16
SRV0035,PET100333,2024-03-23 10:33:58,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Virus Parvovirus (parvo) - nguy hiểm,2024-03-27
SRV0176,PET110698,2021-05-05 18:19:02,Ngứa dữ dội - chảy máu tai từ gãi,Thiếu máu do sốc mất máu hoặc ký sinh,2021-05-16
SRV0049,PET05456,2023-07-03 19:20:46,Ngứa dữ dội - chảy máu tai từ gãi,Suy thận cấp - cần xét nghiệm ngay,2023-08-01
SRV0142,PET07723,2024-09-14 02:11:15,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh nha chu giai đoạn cuối,2024-09-17
SRV0104,PET74503,2024-01-31 04:06:37,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm tai ngoài do nấm Malassezia,2024-03-01
SRV0099,PET101627,2022-08-03 05:26:50,Lờ đờ - mất sinh lực,Thiếu máu do sốc mất máu hoặc ký sinh,2022-08-06
SRV0094,PET22789,2022-01-05 20:14:52,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh nha chu giai đoạn cuối,2022-01-14
SRV0016,PET16457,2022-11-13 00:03:07,Liệt chi sau - không đứng được,Bệnh đĩa đệm (bệnh IVDD),2022-12-10
SRV0083,PET94032,2022-03-02 10:06:11,Tê liệt mặt - miệng méo,Chấn thương cột sống lưng thắt lưng,2022-03-31
SRV0002,PET06497,2023-10-24 04:13:34,Lờ đờ - mất sinh lực,Virus Parvovirus (parvo) - nguy hiểm,2023-10-29
SRV0139,PET68474,2024-07-07 02:56:58,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2024-08-02
SRV0114,PET38517,2024-09-04 16:05:51,Bụng căng như quả bóng - đau nhiều,Tổn thương thần kinh ngoại biên,2024-09-21
SRV0075,PET54875,2022-07-27 03:17:53,Ngứa dữ dội - chảy máu tai từ gãi,Viêm tụy cấp (Pancreatitis),2022-08-06
SRV0182,PET80971,2024-05-16 06:29:04,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Xuất huyết nội bộ - cấp cứu,2024-05-17
SRV0167,PET65486,2022-12-24 00:04:50,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2022-12-30
SRV0193,PET54302,2022-04-07 07:59:58,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Chấn thương cột sống lưng thắt lưng,2022-04-24
SRV0164,PET115316,2024-08-15 21:39:36,Chảy máu cam liên tục - nước tiểu đỏ,Viêm tai ngoài do nấm Malassezia,2024-09-02
SRV0007,PET110119,2024-11-12 12:11:57,Lờ đờ - mất sinh lực,Thiếu máu do sốc mất máu hoặc ký sinh,2024-11-19
SRV0014,PET29960,2022-12-13 16:39:24,Hôi miệng kinh khủng - nướu sưng tấy,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-12-26
SRV0072,PET37059,2022-12-16 06:04:10,Mắt đỏ - phù nề - khó mở mắt,Tổn thương thần kinh ngoại biên,2022-12-21
SRV0122,PET01905,2022-11-23 03:03:43,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm mống mắt - cần chỉ định nhanh,2022-12-12
SRV0184,PET17602,2024-09-13 10:13:10,Mắt đỏ - phù nề - khó mở mắt,Thiếu máu do sốc mất máu hoặc ký sinh,2024-09-16
SRV0145,PET61060,2023-11-15 11:28:22,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm tụy cấp (Pancreatitis),2023-11-20
SRV0065,PET65118,2021-05-18 10:20:10,Liệt chi sau - không đứng được,Tổn thương thần kinh ngoại biên,2021-06-07
SRV0111,PET65405,2021-03-09 17:27:01,Chảy máu cam liên tục - nước tiểu đỏ,Chấn thương cột sống lưng thắt lưng,2021-04-01
