InvoiceID,CustomerID,CID,CardID,CreatedDate,CreatedTime,TotalPrice,PaymentMoney,PaymentTypeID
INV000001,CUS46892,E0066,CARD18366,2024-12-15,11:00:00,395865,395865,PM01
INV000002,CUS40874,E0070,CARD19374,2024-01-08,14:00:00,1502327,1502327,PM01
INV000003,CUS06099,E0130,CARD01835,2023-12-25,08:00:00,256093,256093,PM02
INV000004,CUS10021,E0090,CARD26042,2023-10-28,18:00:00,240798,240798,PM02
INV000005,CUS41990,E0474,CARD45027,2024-09-24,11:00:00,1238287,1238287,PM01
INV000006,CUS47505,E0013,CARD40061,2024-05-01,14:00:00,2818622,2818622,PM01
INV000007,CUS78730,E0363,CARD01360,2024-08-11,14:00:00,1864654,1864654,PM03
INV000008,CUS24670,E0305,CARD32280,2022-05-04,11:00:00,2047139,2047139,PM02
INV000009,CUS20571,E0417,CARD12289,2024-11-28,18:00:00,2162960,2162960,PM04
INV000010,CUS58498,E0235,CARD46748,2024-08-12,11:00:00,423524,423524,PM03
INV000011,CUS55534,E0403,CARD43316,2024-02-05,11:00:00,475963,475963,PM03
INV000012,CUS32121,E0348,CARD24870,2024-08-06,11:00:00,1083241,1083241,PM04
INV000013,CUS45842,E0207,CARD28419,2022-01-25,08:00:00,172624,172624,PM01
INV000014,CUS27501,E0104,CARD17392,2023-12-30,18:00:00,228156,228156,PM01
INV000015,CUS09000,E0468,CARD21265,2024-04-25,14:00:00,509123,509123,PM04
INV000016,CUS68791,E0412,CARD37163,2023-01-27,11:00:00,2254744,2254744,PM01
INV000017,CUS55850,E0165,CARD24722,2022-05-02,08:00:00,1020739,1020739,PM03
INV000018,CUS31918,E0021,CARD08268,2024-03-18,18:00:00,1401183,1401183,PM01
INV000019,CUS72442,E0038,CARD12177,2024-05-03,14:00:00,1588619,1588619,PM03
INV000020,CUS69266,E0204,CARD12822,2024-12-09,08:00:00,2461877,2461877,PM04
INV000021,CUS29097,E0477,CARD32525,2022-12-13,14:00:00,2588804,2588804,PM04
INV000022,CUS19940,E0046,CARD45486,2024-04-16,18:00:00,2596267,2596267,PM02
INV000023,CUS44074,E0073,CARD29411,2022-01-14,11:00:00,1851051,1851051,PM04
INV000024,CUS31750,E0030,CARD14566,2024-10-01,14:00:00,2662133,2662133,PM04
INV000025,CUS18359,E0138,CARD38196,2022-09-28,08:00:00,1636582,1636582,PM04
INV000026,CUS79192,E0330,CARD05035,2023-03-24,08:00:00,541604,541604,PM03
INV000027,CUS54992,E0194,CARD13072,2024-08-05,08:00:00,1302795,1302795,PM03
INV000028,CUS30127,E0482,CARD26283,2024-01-29,11:00:00,2050619,2050619,PM04
INV000029,CUS69021,E0024,CARD26362,2022-03-19,11:00:00,2924914,2924914,PM02
INV000030,CUS79445,E0280,CARD38398,2022-07-23,08:00:00,1933969,1933969,PM01
INV000031,CUS28714,E0281,CARD26370,2023-02-19,11:00:00,202467,202467,PM01
INV000032,CUS78067,E0056,CARD42773,2024-02-21,18:00:00,660863,660863,PM01
INV000033,CUS30473,E0325,CARD16215,2024-11-23,11:00:00,2597663,2597663,PM04
INV000034,CUS09253,E0062,CARD33960,2023-04-08,11:00:00,842243,842243,PM04
INV000035,CUS00342,E0236,CARD28763,2024-12-06,11:00:00,2051044,2051044,PM01
INV000036,CUS47697,E0297,CARD47511,2022-02-22,08:00:00,2017140,2017140,PM02
INV000037,CUS38977,E0024,CARD35989,2022-12-30,18:00:00,1039566,1039566,PM03
INV000038,CUS66182,E0370,CARD40862,2022-08-11,11:00:00,1534507,1534507,PM01
INV000039,CUS55499,E0048,CARD19117,2023-03-13,11:00:00,2061699,2061699,PM03
INV000040,CUS45428,E0209,CARD00366,2024-06-27,18:00:00,611485,611485,PM02
INV000041,CUS14168,E0024,CARD22387,2023-04-01,11:00:00,1523942,1523942,PM03
INV000042,CUS40765,E0048,CARD15381,2024-07-02,08:00:00,960551,960551,PM04
INV000043,CUS04911,E0401,CARD16920,2023-11-04,11:00:00,370324,370324,PM01
INV000044,CUS47782,E0375,CARD21211,2023-04-28,14:00:00,1397923,1397923,PM01
INV000045,CUS47026,E0324,CARD29928,2022-06-16,11:00:00,81377,81377,PM01
