EmployeeID,StartDate,EndDate,Reason,Status,MID
E0227,2024-01-15,2024-01-16,Nghỉ bệnh,Rejected,E0424
E0284,2024-12-04,2024-12-09,Việc gia đình,Rejected,E0327
E0326,2023-12-20,2023-12-23,Nghỉ phép,Rejected,E0372
E0430,2023-08-14,2023-08-17,Nghỉ bệnh,Pending,E0467
E0403,2023-08-06,2023-08-07,Nghỉ bệnh,Approved,E0285
E0377,2024-07-01,2024-07-02,Việc gia đình,Approved,E0327
E0084,2023-07-18,2023-07-23,Việc gia đình,Approved,E0372
E0208,2023-03-09,2023-03-12,Nghỉ bệnh,Rejected,E0306
E0238,2023-12-21,2023-12-24,Nghỉ bệnh,Approved,E0348
E0435,2024-03-15,2024-03-20,Việc gia đình,Pending,E0467
E0148,2023-04-27,2023-05-02,Việc gia đình,Rejected,E0306
E0338,2023-05-01,2023-05-04,Nghỉ bệnh,Approved,E0467
E0251,2023-10-05,2023-10-07,Nghỉ phép,Pending,E0306
E0098,2023-05-29,2023-06-03,Việc gia đình,Pending,E0306
E0302,2024-03-29,2024-03-31,Nghỉ phép,Approved,E0372
E0182,2024-10-23,2024-10-24,Nghỉ phép,Approved,E0467
E0378,2024-08-27,2024-08-28,Việc gia đình,Approved,E0325
E0134,2023-10-28,2023-10-31,Nghỉ bệnh,Pending,E0272
E0078,2024-06-19,2024-06-23,Nghỉ phép,Approved,E0467
E0103,2024-06-26,2024-06-30,Nghỉ bệnh,Pending,E0325
E0208,2024-11-14,2024-11-15,Nghỉ bệnh,Rejected,E0323
E0383,2023-03-23,2023-03-27,Việc gia đình,Approved,E0467
E0352,2023-04-01,2023-04-04,Việc gia đình,Rejected,E0372
E0418,2024-07-21,2024-07-26,Nghỉ bệnh,Rejected,E0306
E0163,2023-07-07,2023-07-08,Nghỉ bệnh,Pending,E0348
E0326,2024-04-15,2024-04-17,Nghỉ phép,Approved,E0325
E0297,2023-06-21,2023-06-26,Việc gia đình,Rejected,E0285
E0204,2024-06-30,2024-07-03,Nghỉ phép,Rejected,E0327
E0497,2024-10-18,2024-10-23,Nghỉ phép,Approved,E0285
E0500,2024-11-22,2024-11-26,Việc gia đình,Approved,E0348
E0242,2023-12-10,2023-12-13,Việc gia đình,Approved,E0327
E0148,2024-02-10,2024-02-12,Nghỉ bệnh,Rejected,E0306
E0423,2024-07-24,2024-07-25,Nghỉ phép,Approved,E0467
E0479,2023-12-17,2023-12-21,Nghỉ phép,Approved,E0325
E0211,2023-02-16,2023-02-18,Nghỉ phép,Approved,E0323
E0198,2023-02-07,2023-02-10,Nghỉ bệnh,Approved,E0306
E0073,2024-09-28,2024-09-29,Việc gia đình,Pending,E0306
E0107,2024-04-01,2024-04-02,Nghỉ phép,Pending,E0348
E0046,2023-12-24,2023-12-25,Nghỉ bệnh,Rejected,E0323
E0461,2024-07-15,2024-07-19,Việc gia đình,Approved,E0272
E0216,2024-12-13,2024-12-18,Việc gia đình,Pending,E0323
E0282,2024-06-14,2024-06-19,Việc gia đình,Pending,E0325
E0223,2023-10-03,2023-10-07,Việc gia đình,Pending,E0272
E0386,2023-07-07,2023-07-08,Việc gia đình,Rejected,E0306
E0207,2024-05-26,2024-05-29,Nghỉ phép,Pending,E0327
E0362,2023-01-23,2023-01-26,Nghỉ phép,Rejected,E0372
E0382,2024-09-18,2024-09-23,Nghỉ phép,Pending,E0327
E0091,2023-03-14,2023-03-16,Nghỉ phép,Pending,E0424
E0456,2024-12-14,2024-12-18,Nghỉ bệnh,Approved,E0348
E0461,2023-04-26,2023-04-29,Nghỉ bệnh,Rejected,E0372
E0430,2024-04-15,2024-04-19,Nghỉ bệnh,Pending,E0372
E0407,2024-09-16,2024-09-20,Nghỉ phép,Pending,E0424
E0039,2023-05-16,2023-05-18,Nghỉ phép,Rejected,E0306
E0234,2023-07-29,2023-07-31,Việc gia đình,Rejected,E0306
E0029,2024-06-19,2024-06-23,Việc gia đình,Approved,E0285
E0246,2024-08-04,2024-08-07,Nghỉ phép,Pending,E0272
E0066,2024-10-31,2024-11-05,Việc gia đình,Approved,E0327
E0153,2023-03-02,2023-03-03,Nghỉ bệnh,Approved,E0325
E0172,2023-10-30,2023-11-02,Việc gia đình,Pending,E0467
E0217,2023-10-21,2023-10-22,Nghỉ bệnh,Approved,E0325
E0279,2023-04-01,2023-04-05,Việc gia đình,Approved,E0327
E0280,2023-03-04,2023-03-09,Nghỉ bệnh,Rejected,E0325
E0411,2024-12-15,2024-12-18,Nghỉ phép,Rejected,E0372
E0229,2023-01-02,2023-01-06,Nghỉ bệnh,Pending,E0372
E0498,2024-09-16,2024-09-17,Nghỉ bệnh,Rejected,E0327
E0435,2023-02-27,2023-03-03,Nghỉ bệnh,Approved,E0323
E0068,2023-12-10,2023-12-14,Việc gia đình,Pending,E0467
E0473,2024-03-19,2024-03-21,Nghỉ phép,Rejected,E0272
E0500,2023-03-02,2023-03-06,Việc gia đình,Pending,E0327
E0422,2024-07-03,2024-07-04,Việc gia đình,Approved,E0323
E0049,2023-06-06,2023-06-10,Nghỉ phép,Rejected,E0325
E0030,2023-12-20,2023-12-23,Việc gia đình,Rejected,E0372
E0330,2024-12-04,2024-12-05,Việc gia đình,Rejected,E0285
E0320,2024-02-10,2024-02-13,Nghỉ phép,Approved,E0467
E0050,2024-07-12,2024-07-13,Việc gia đình,Rejected,E0306
E0190,2024-08-04,2024-08-05,Việc gia đình,Rejected,E0327
E0168,2024-05-25,2024-05-27,Việc gia đình,Rejected,E0325
E0417,2023-06-07,2023-06-10,Việc gia đình,Approved,E0323
E0337,2023-09-19,2023-09-24,Nghỉ bệnh,Rejected,E0467
E0212,2023-06-07,2023-06-11,Nghỉ phép,Rejected,E0348
E0470,2023-12-12,2023-12-15,Nghỉ bệnh,Approved,E0327
E0022,2024-08-16,2024-08-18,Nghỉ bệnh,Pending,E0467
E0168,2024-12-01,2024-12-04,Nghỉ bệnh,Rejected,E0327
E0393,2023-09-22,2023-09-24,Việc gia đình,Approved,E0424
E0412,2023-04-23,2023-04-25,Việc gia đình,Approved,E0348
E0421,2024-09-06,2024-09-09,Nghỉ bệnh,Pending,E0323
E0326,2023-05-21,2023-05-22,Việc gia đình,Approved,E0285
E0419,2024-07-30,2024-08-03,Nghỉ phép,Rejected,E0424
E0308,2024-04-19,2024-04-22,Nghỉ bệnh,Rejected,E0424
E0119,2023-03-22,2023-03-25,Nghỉ phép,Rejected,E0323
E0366,2023-09-27,2023-10-01,Việc gia đình,Pending,E0424
E0476,2024-07-17,2024-07-22,Việc gia đình,Pending,E0285
E0130,2024-03-02,2024-03-06,Việc gia đình,Pending,E0323
E0029,2023-04-04,2023-04-08,Nghỉ phép,Rejected,E0327
E0326,2023-01-19,2023-01-24,Nghỉ bệnh,Approved,E0424
E0107,2023-09-09,2023-09-12,Nghỉ phép,Rejected,E0323
E0418,2023-07-15,2023-07-17,Nghỉ bệnh,Pending,E0372
E0330,2024-03-26,2024-03-27,Nghỉ phép,Approved,E0327
E0137,2023-05-04,2023-05-05,Việc gia đình,Approved,E0327
E0121,2023-02-01,2023-02-03,Nghỉ bệnh,Pending,E0467
E0278,2023-11-03,2023-11-05,Nghỉ phép,Pending,E0424
E0227,2023-02-15,2023-02-19,Nghỉ phép,Rejected,E0467
E0077,2024-01-23,2024-01-25,Việc gia đình,Approved,E0327
