OrderID,ProductID,Quantity,TemporaryPrice
ORD089812,PRD0541,8,478264
ORD091871,PRD0185,1,801885
ORD037535,PRD1430,7,851188
ORD023982,PRD0986,2,56026
ORD131555,PRD1012,6,452793
ORD011237,PRD0205,10,322206
ORD098909,PRD1140,7,353296
ORD013604,PRD0729,9,637148
ORD020760,PRD0419,6,45067
ORD087818,PRD0237,5,970536
ORD028988,PRD1474,5,942233
ORD145491,PRD0934,8,439859
ORD031833,PRD0866,7,267024
ORD047537,PRD1211,10,122736
ORD124810,PRD0306,4,359556
ORD109346,PRD0341,8,253741
ORD048357,PRD0542,5,587135
ORD000452,PRD0985,6,243723
ORD051061,PRD0890,10,447467
ORD116736,PRD0477,2,178065
ORD129037,PRD0602,10,722388
ORD149782,PRD0645,10,670133
ORD116667,PRD0284,2,134853
ORD106788,PRD0056,8,102048
ORD025655,PRD1004,4,497898
ORD045413,PRD0209,9,78029
ORD083202,PRD0814,10,590705
ORD087703,PRD1296,9,995825
ORD128346,PRD1214,9,213050
ORD041179,PRD0949,10,190545
ORD067133,PRD1452,6,230473
ORD006947,PRD1027,6,950609
ORD054402,PRD0551,5,104878
ORD003583,PRD0937,6,44583
ORD009836,PRD0620,9,352378
ORD024372,PRD0267,8,501698
ORD142635,PRD1446,8,913713
ORD076250,PRD1224,8,322069
ORD031858,PRD0304,7,39314
ORD040353,PRD0512,1,144509
ORD103583,PRD0693,7,803279
ORD046863,PRD1046,9,980626
ORD114162,PRD1393,6,630706
ORD078703,PRD0784,6,216713
ORD132319,PRD0319,3,405835
ORD062450,PRD0599,2,217188
ORD116032,PRD1058,6,255642
ORD016445,PRD1362,2,296593
ORD135950,PRD0349,1,128296
ORD039147,PRD0499,1,682704
ORD118835,PRD1072,3,78029
ORD095572,PRD1120,6,800992
ORD122312,PRD1325,2,818652
ORD043775,PRD1051,8,52655
ORD049049,PRD0143,5,80603
ORD077464,PRD1174,4,863326
ORD010606,PRD0889,10,610478
ORD009563,PRD0694,4,533064
ORD130141,PRD0232,9,981173
ORD101943,PRD0250,2,349504
ORD115019,PRD1358,1,912246
ORD133444,PRD0477,10,40910
ORD059815,PRD1116,4,137452
ORD064402,PRD1004,2,316072
ORD107900,PRD0906,1,207705
ORD099411,PRD0642,1,488217
ORD144920,PRD1179,10,312374
ORD099019,PRD0316,2,679763
ORD110885,PRD0122,9,246014
ORD039438,PRD0211,2,843643
ORD090440,PRD0994,3,259909
ORD146140,PRD1011,5,357938
ORD148510,PRD0479,2,480006
ORD136465,PRD0215,5,209175
ORD002042,PRD1076,8,892106
ORD002772,PRD0441,3,62067
ORD064577,PRD0579,5,829813
ORD020249,PRD0492,7,426485
ORD120334,PRD0110,10,991498
ORD025224,PRD0278,1,721637
ORD066563,PRD1361,6,266244
ORD144688,PRD0070,10,814411
ORD056115,PRD0900,2,947050
ORD119695,PRD0635,9,864033
ORD112268,PRD1129,6,496366
ORD004444,PRD0912,10,361495
ORD122433,PRD0812,4,624516
ORD091178,PRD0987,1,132683
ORD112495,PRD0029,6,855073
ORD118763,PRD1173,6,625201
ORD146037,PRD0029,4,748328
ORD106381,PRD1099,5,378206
ORD025431,PRD0014,7,309093
ORD059330,PRD0034,6,643788
ORD143034,PRD1134,9,48650
ORD039570,PRD0100,5,238323
ORD134022,PRD0585,6,87532
ORD043199,PRD0464,1,696019
ORD111401,PRD0869,10,555556
ORD062650,PRD0907,7,38813
ORD115689,PRD1498,10,771513
ORD053019,PRD0259,1,812485
ORD052313,PRD0186,2,724237
ORD021361,PRD0287,3,697367
ORD119626,PRD0615,4,561129
ORD078062,PRD0779,2,119764
ORD122634,PRD0452,6,728566
ORD095404,PRD1312,10,774072
ORD122395,PRD1452,7,257199
ORD127267,PRD1438,9,24599
ORD037594,PRD0995,5,247987
ORD133445,PRD0929,1,789807
ORD104706,PRD0943,7,499792
ORD019712,PRD1303,9,44643
ORD010680,PRD1386,5,447885
ORD062659,PRD1086,3,549418
ORD141924,PRD0500,8,48687
ORD026168,PRD1261,10,460596
ORD058635,PRD0378,10,682137
ORD138630,PRD0413,8,855022
ORD131003,PRD1324,7,884082
ORD083552,PRD1187,1,257921
ORD095299,PRD0065,10,299776
ORD108742,PRD0045,2,619002
ORD137734,PRD0846,2,331651
ORD073275,PRD0858,8,830304
ORD015424,PRD0805,7,129465
ORD058772,PRD0582,7,212927
ORD042561,PRD0287,8,939844
ORD070374,PRD1315,8,651779
ORD009448,PRD1428,5,540001
ORD060377,PRD1204,1,279905
ORD036600,PRD0687,10,374116
ORD002297,PRD1162,3,54544
ORD079415,PRD1094,4,228753
ORD147081,PRD0122,6,622308
ORD008678,PRD1185,10,232224
ORD012339,PRD0778,7,483094
ORD115081,PRD1242,1,551449
ORD046099,PRD1187,9,577779
ORD006923,PRD1217,10,565404
ORD083699,PRD1092,5,538961
ORD040654,PRD0826,4,96033
ORD115236,PRD0068,5,671757
ORD128153,PRD0833,1,906004
ORD041514,PRD0612,7,726960
ORD041194,PRD0413,1,226098
ORD082645,PRD0396,6,916314
ORD003419,PRD1200,7,88356
ORD095345,PRD0868,8,910183
ORD135199,PRD1096,6,903501
ORD033531,PRD0531,7,555421
ORD129021,PRD0311,2,813082
