OrderID,CustomerID,SalesPersonID,CreateDate,CreateTime,Status
ORD000001,CUS34470,E0403,2024-10-15,08:00:00,Cancelled
ORD000002,CUS51364,E0413,2022-02-18,15:00:00,Paid
ORD000003,CUS08551,E0128,2023-12-02,10:30:00,Created
ORD000004,CUS60296,E0193,2022-12-13,19:00:00,Created
ORD000005,CUS66064,E0072,2023-04-22,15:00:00,Created
ORD000006,CUS66448,E0018,2024-05-27,19:00:00,Paid
ORD000007,CUS77899,E0237,2022-10-08,08:00:00,Cancelled
ORD000008,CUS46293,E0459,2022-07-24,08:00:00,Cancelled
ORD000009,CUS12263,E0344,2022-01-12,10:30:00,Created
ORD000010,CUS03298,E0399,2024-08-17,15:00:00,Paid
ORD000011,CUS09853,E0228,2022-02-19,19:00:00,Paid
ORD000012,CUS35203,E0167,2024-01-18,15:00:00,Cancelled
ORD000013,CUS77729,E0133,2023-02-10,15:00:00,Paid
ORD000014,CUS20831,E0279,2022-06-16,19:00:00,Paid
ORD000015,CUS27011,E0146,2022-05-19,15:00:00,Paid
ORD000016,CUS44314,E0412,2024-05-29,08:00:00,Paid
ORD000017,CUS17116,E0067,2023-08-29,08:00:00,Paid
ORD000018,CUS60704,E0327,2023-10-18,19:00:00,Cancelled
ORD000019,CUS23123,E0039,2024-01-05,08:00:00,Created
ORD000020,CUS35230,E0135,2022-02-25,08:00:00,Cancelled
ORD000021,CUS43358,E0114,2024-06-09,15:00:00,Paid
ORD000022,CUS06933,E0107,2022-01-29,10:30:00,Cancelled
ORD000023,CUS33780,E0400,2023-09-19,08:00:00,Created
ORD000024,CUS37635,E0257,2022-12-12,19:00:00,Cancelled
ORD000025,CUS69424,E0256,2024-05-02,19:00:00,Cancelled
ORD000026,CUS54805,E0335,2024-10-14,10:30:00,Paid
ORD000027,CUS48086,E0024,2022-01-07,19:00:00,Cancelled
ORD000028,CUS36382,E0095,2022-03-16,19:00:00,Paid
ORD000029,CUS50193,E0422,2023-04-08,19:00:00,Cancelled
ORD000030,CUS46416,E0407,2023-09-29,19:00:00,Created
ORD000031,CUS74517,E0312,2023-02-06,10:30:00,Created
ORD000032,CUS52391,E0423,2022-07-15,19:00:00,Paid
ORD000033,CUS21370,E0046,2024-09-22,15:00:00,Created
ORD000034,CUS31767,E0263,2023-03-31,19:00:00,Paid
ORD000035,CUS39230,E0491,2022-02-09,08:00:00,Cancelled
ORD000036,CUS46686,E0442,2024-12-20,19:00:00,Cancelled
ORD000037,CUS67815,E0333,2022-03-06,15:00:00,Paid
ORD000038,CUS66968,E0297,2022-07-07,19:00:00,Cancelled
ORD000039,CUS17764,E0218,2023-07-19,08:00:00,Created
ORD000040,CUS64168,E0199,2023-12-06,10:30:00,Created
ORD000041,CUS07374,E0372,2023-11-23,10:30:00,Paid
ORD000042,CUS26149,E0285,2022-01-14,08:00:00,Cancelled
ORD000043,CUS66174,E0113,2022-10-30,08:00:00,Cancelled
ORD000044,CUS04590,E0142,2024-02-11,15:00:00,Created
ORD000045,CUS59573,E0334,2022-01-14,19:00:00,Created
ORD000046,CUS70851,E0220,2024-03-06,19:00:00,Paid
ORD000047,CUS26617,E0464,2024-03-22,10:30:00,Cancelled
ORD000048,CUS73355,E0108,2022-03-02,10:30:00,Cancelled
ORD000049,CUS28387,E0333,2024-12-25,10:30:00,Paid
ORD000050,CUS22426,E0185,2023-09-21,08:00:00,Paid
ORD000051,CUS79346,E0339,2024-06-07,08:00:00,Created
ORD000052,CUS54055,E0209,2023-09-10,19:00:00,Paid
ORD000053,CUS75760,E0112,2022-01-07,08:00:00,Cancelled
ORD000054,CUS68555,E0274,2024-05-26,08:00:00,Paid
ORD000055,CUS31439,E0495,2023-12-12,15:00:00,Paid
ORD000056,CUS47415,E0032,2024-05-28,10:30:00,Paid
ORD000057,CUS10764,E0228,2022-07-11,15:00:00,Paid
ORD000058,CUS15373,E0355,2023-12-26,10:30:00,Paid
ORD000059,CUS67796,E0328,2023-06-19,08:00:00,Cancelled
ORD000060,CUS72597,E0086,2022-06-17,08:00:00,Paid
ORD000061,CUS27599,E0171,2024-09-17,10:30:00,Created
ORD000062,CUS57477,E0374,2023-03-31,10:30:00,Paid
ORD000063,CUS16940,E0325,2022-05-23,19:00:00,Created
ORD000064,CUS56134,E0208,2022-03-06,10:30:00,Paid
ORD000065,CUS39135,E0129,2024-05-25,15:00:00,Created
ORD000066,CUS21585,E0364,2024-12-29,15:00:00,Paid
ORD000067,CUS31630,E0207,2022-06-24,08:00:00,Paid
ORD000068,CUS48209,E0371,2023-06-13,15:00:00,Cancelled
ORD000069,CUS55154,E0471,2024-05-21,10:30:00,Cancelled
ORD000070,CUS37331,E0419,2024-01-07,15:00:00,Paid
ORD000071,CUS48674,E0004,2023-11-17,15:00:00,Paid
ORD000072,CUS22019,E0281,2023-07-10,10:30:00,Cancelled
ORD000073,CUS38519,E0287,2022-09-09,10:30:00,Created
ORD000074,CUS03003,E0351,2024-05-10,08:00:00,Created
ORD000075,CUS00405,E0181,2024-08-16,10:30:00,Cancelled
ORD000076,CUS54612,E0202,2024-04-26,08:00:00,Created
ORD000077,CUS29171,E0401,2023-11-22,10:30:00,Created
ORD000078,CUS41874,E0298,2023-06-27,08:00:00,Created
ORD000079,CUS10191,E0223,2022-07-12,08:00:00,Paid
ORD000080,CUS22254,E0180,2024-09-05,15:00:00,Created
ORD000081,CUS06111,E0414,2024-07-15,15:00:00,Created
ORD000082,CUS42235,E0197,2023-08-22,10:30:00,Paid
ORD000083,CUS51719,E0434,2022-11-10,15:00:00,Paid
ORD000084,CUS79450,E0303,2024-04-08,19:00:00,Cancelled
ORD000085,CUS13414,E0360,2022-09-13,08:00:00,Paid
ORD000086,CUS05248,E0106,2023-08-26,10:30:00,Paid
ORD000087,CUS26595,E0181,2023-11-27,15:00:00,Paid
ORD000088,CUS13477,E0001,2022-11-24,15:00:00,Cancelled
ORD000089,CUS50173,E0023,2024-11-24,15:00:00,Cancelled
ORD000090,CUS63742,E0396,2024-10-17,15:00:00,Created
ORD000091,CUS01523,E0260,2022-12-25,15:00:00,Paid
ORD000092,CUS72364,E0258,2023-01-30,10:30:00,Paid
ORD000093,CUS36139,E0202,2024-08-29,10:30:00,Cancelled
ORD000094,CUS77936,E0044,2024-08-02,19:00:00,Paid
ORD000095,CUS30577,E0054,2022-08-18,08:00:00,Created
ORD000096,CUS24559,E0008,2022-03-24,15:00:00,Created
ORD000097,CUS59479,E0278,2024-07-23,19:00:00,Created
ORD000098,CUS07362,E0316,2022-03-21,08:00:00,Created
ORD000099,CUS55766,E0484,2022-09-28,15:00:00,Cancelled
ORD000100,CUS00241,E0188,2022-01-22,15:00:00,Cancelled
ORD000101,CUS01848,E0126,2022-01-31,10:30:00,Paid
ORD000102,CUS40233,E0298,2024-04-06,10:30:00,Cancelled
