VPID,VaccineID,Quantity
SRV0125,VAC0099,5
SRV0047,VAC0090,4
SRV0042,VAC0011,3
SRV0137,VAC0045,3
SRV0070,VAC0009,1
SRV0185,VAC0015,3
SRV0052,VAC0032,1
SRV0055,VAC0041,5
SRV0068,VAC0080,1
SRV0168,VAC0115,1
SRV0096,VAC0008,2
SRV0076,VAC0021,5
SRV0019,VAC0089,1
SRV0011,VAC0061,5
SRV0076,VAC0015,1
SRV0097,VAC0009,5
SRV0091,VAC0090,3
SRV0190,VAC0064,5
SRV0125,VAC0082,3
SRV0168,VAC0033,3
SRV0192,VAC0013,5
SRV0137,VAC0066,3
SRV0197,VAC0091,3
SRV0097,VAC0004,3
SRV0146,VAC0015,1
SRV0019,VAC0067,3
SRV0015,VAC0012,2
SRV0091,VAC0115,1
SRV0168,VAC0117,4
SRV0160,VAC0053,1
SRV0047,VAC0067,2
SRV0062,VAC0080,1
SRV0019,VAC0061,4
SRV0042,VAC0057,5
SRV0157,VAC0068,1
SRV0091,VAC0112,5
SRV0157,VAC0095,3
SRV0185,VAC0005,3
SRV0168,VAC0081,1
SRV0109,VAC0039,3
SRV0190,VAC0105,3
SRV0090,VAC0054,1
SRV0170,VAC0114,1
SRV0059,VAC0052,1
SRV0011,VAC0110,4
SRV0185,VAC0079,2
SRV0135,VAC0010,4
SRV0042,VAC0106,1
SRV0068,VAC0009,4
SRV0135,VAC0002,4
SRV0190,VAC0117,3
SRV0091,VAC0060,1
SRV0070,VAC0023,5
SRV0160,VAC0117,1
SRV0090,VAC0112,3
SRV0125,VAC0106,5
SRV0196,VAC0103,2
SRV0063,VAC0019,3
SRV0168,VAC0015,2
SRV0109,VAC0081,3
SRV0135,VAC0086,2
SRV0137,VAC0099,3
SRV0197,VAC0034,3
SRV0055,VAC0111,4
SRV0121,VAC0021,4
SRV0185,VAC0063,2
SRV0097,VAC0115,4
SRV0032,VAC0082,5
SRV0100,VAC0098,4
SRV0011,VAC0026,4
SRV0063,VAC0096,1
SRV0146,VAC0056,2
SRV0108,VAC0088,4
SRV0048,VAC0080,1
SRV0055,VAC0103,1
SRV0019,VAC0032,2
SRV0047,VAC0008,1
SRV0195,VAC0014,5
SRV0108,VAC0066,1
SRV0088,VAC0035,3
SRV0135,VAC0097,3
SRV0137,VAC0012,2
SRV0135,VAC0051,1
SRV0068,VAC0097,5
SRV0185,VAC0118,4
SRV0048,VAC0084,2
SRV0146,VAC0110,4
SRV0091,VAC0065,2
SRV0196,VAC0108,3
SRV0088,VAC0017,4
SRV0070,VAC0087,5
SRV0096,VAC0072,4
SRV0062,VAC0033,4
SRV0195,VAC0030,3
SRV0059,VAC0100,1
SRV0109,VAC0116,3
SRV0197,VAC0019,5
SRV0052,VAC0112,3
SRV0108,VAC0011,1
SRV0076,VAC0013,5
SRV0059,VAC0051,1
SRV0090,VAC0113,2
SRV0168,VAC0007,5
SRV0059,VAC0044,4
SRV0070,VAC0109,2
SRV0097,VAC0003,5
SRV0109,VAC0037,3
SRV0068,VAC0034,5
SRV0121,VAC0016,3
SRV0032,VAC0031,3
SRV0121,VAC0118,3
SRV0091,VAC0117,3
SRV0032,VAC0108,3
SRV0097,VAC0112,2
SRV0196,VAC0106,4
SRV0137,VAC0015,2
SRV0197,VAC0102,3
SRV0062,VAC0032,4
SRV0052,VAC0037,1
SRV0062,VAC0002,5
SRV0048,VAC0051,4
SRV0088,VAC0007,5
SRV0076,VAC0031,5
SRV0192,VAC0034,5
SRV0153,VAC0044,3
SRV0070,VAC0112,5
SRV0192,VAC0027,5
SRV0042,VAC0116,5
SRV0121,VAC0031,2
SRV0047,VAC0020,3
SRV0062,VAC0088,2
SRV0160,VAC0062,4
SRV0192,VAC0021,2
SRV0032,VAC0104,3
SRV0048,VAC0054,4
SRV0042,VAC0014,2
SRV0063,VAC0002,1
SRV0137,VAC0011,5
SRV0137,VAC0057,5
SRV0091,VAC0073,5
SRV0070,VAC0077,2
SRV0091,VAC0109,1
SRV0108,VAC0084,5
SRV0089,VAC0014,4
SRV0100,VAC0034,2
SRV0121,VAC0116,2
SRV0048,VAC0021,4
SRV0195,VAC0070,4
SRV0052,VAC0119,2
SRV0055,VAC0023,5
