PetID,CustomerID,PetName,Species,Breed,Birthday,Gender,HealthStatus
PET00001,CUS34566,Xôi,Hamster,Hamster Winter White,2022-11-13,Cái,Phục hồi chấn thương
PET00002,CUS51597,Trăng,Chó,Chó Phú Quốc,2020-07-15,Cái,Chưa tiêm phòng
PET00003,CUS58724,Bông Bông,Chim,Vẹt,2020-01-01,Cái,Khỏe mạnh
PET00004,CUS19824,Cún,Mèo,Bengal,2019-08-07,Đực,Tiêm phòng đầy đủ
PET00005,CUS44727,Cà Rốt,Chó,Labrador,2021-07-18,Đực,Sau phẫu thuật
PET00006,CUS61652,Vàng,Chó,Chó Phú Quốc,2023-07-06,Đực,Phục hồi chấn thương
PET00007,CUS23738,Oreo,Thỏ,Thỏ Angora,2021-05-20,Cái,Cần theo dõi
PET00008,CUS40890,Ki,Rùa,Rùa Cạn,2018-04-04,Đực,Phục hồi chấn thương
PET00009,CUS72351,Na,Thỏ,Thỏ Trắng,2020-02-20,Đực,Sau phẫu thuật
PET00010,CUS44156,Leo,Mèo,Mèo Mướp,2019-11-05,Cái,Tiêm phòng đầy đủ
PET00011,CUS42220,Bún,Thỏ,Thỏ Xám,2021-06-20,Đực,Chưa tiêm phòng
PET00012,CUS44367,Phở,Hamster,Hamster Trung Quốc,2019-06-19,Cái,Bệnh mãn tính
PET00013,CUS56869,Dừa,Chó,Labrador,2023-02-05,Đực,Cần theo dõi
PET00014,CUS20757,Sugar,Chó,Samoyed,2019-06-18,Đực,Đang điều trị
PET00015,CUS39778,Bông Bông,Mèo,Siamese,2023-11-19,Đực,Phục hồi chấn thương
PET00016,CUS73961,Nấm,Thỏ,Thỏ Vặn,2022-02-01,Đực,Phục hồi chấn thương
PET00017,CUS55615,Latte,Rùa,Rùa Sulcata,2020-11-18,Cái,Bệnh mãn tính
PET00018,CUS01758,Lucky,Hamster,Hamster Campbell,2021-01-17,Đực,Đang điều trị
PET00019,CUS34273,Khoai,Hamster,Hamster Campbell,2020-06-22,Đực,Tiêm phòng đầy đủ
PET00020,CUS47186,Lu Lu,Hamster,Hamster Roborovski,2023-12-23,Đực,Bệnh mãn tính
PET00021,CUS70421,Cà Rốt,Chó,Béc giê Đức,2023-12-08,Cái,Cần theo dõi
PET00022,CUS37968,Mít,Chó,Rottweiler,2019-11-19,Đực,Bệnh mãn tính
PET00023,CUS16661,Milu,Chim,Chim Sáo,2019-03-27,Cái,Cần theo dõi
PET00024,CUS08850,Nấm,Chim,Vẹt Xám Châu Phi,2020-08-09,Cái,Khỏe mạnh
PET00025,CUS06263,Pudding,Rùa,Rùa Núi Vimg,2023-03-13,Đực,Cần theo dõi
PET00026,CUS71245,Butter,Thỏ,Thỏ Đen,2021-11-11,Cái,Tiêm phòng đầy đủ
PET00027,CUS56230,Bim,Chó,Rottweiler,2020-12-28,Cái,Chưa tiêm phòng
PET00028,CUS59973,Mun,Chó,Beagle,2018-03-17,Đực,Khỏe mạnh
PET00029,CUS37159,Chè,Hamster,Hamster Trung Quốc,2021-02-09,Cái,Chưa tiêm phòng
PET00030,CUS52154,Bé Bi,Mèo,Mèo ta,2020-08-20,Đực,Bệnh mãn tính
PET00031,CUS47684,Bella,Thỏ,Thỏ Angora,2019-09-03,Cái,Sau phẫu thuật
PET00032,CUS71547,Hoa,Chó,Labrador,2018-07-14,Cái,Sau phẫu thuật
PET00033,CUS21321,Luna,Thỏ,Thỏ Angora,2020-07-30,Đực,Tiêm phòng đầy đủ
PET00034,CUS27780,Đậu,Chim,Vẹt Xám Châu Phi,2019-05-22,Đực,Đang điều trị
PET00035,CUS02204,Bim,Chó,Chihuahua,2018-08-11,Cái,Đang điều trị
PET00036,CUS17162,Mít,Thỏ,Thỏ Xám,2020-11-16,Đực,Sau phẫu thuật
PET00037,CUS62929,Chanh,Mèo,Mèo Nga,2020-03-03,Đực,Đang điều trị
PET00038,CUS43708,Simba,Chim,Vẹt Cockatiel,2023-08-12,Đực,Đang điều trị
PET00039,CUS05867,Canh,Rùa,Rùa Núi Vimg,2023-02-26,Đực,Chưa tiêm phòng
PET00040,CUS44214,Miu,Chim,Vẹt Cockatiel,2018-02-25,Đực,Sau phẫu thuật
PET00041,CUS68763,Chanh,Chó,Labrador,2022-03-14,Cái,Cần theo dõi
PET00042,CUS09000,Nắng,Mèo,Mèo ta,2018-10-08,Cái,Phục hồi chấn thương
PET00043,CUS41003,Mít,Hamster,Hamster Trung Quốc,2023-05-21,Cái,Cần theo dõi
PET00044,CUS39377,Bella,Mèo,Siamese,2021-12-28,Cái,Đang điều trị
PET00045,CUS08743,Chanh,Chó,Chihuahua,2023-11-18,Cái,Khỏe mạnh
PET00046,CUS31306,Honey,Chim,Chim Bồ Câu,2020-02-16,Cái,Cần theo dõi
PET00047,CUS74671,Dưa,Chó,Rottweiler,2018-09-30,Đực,Bệnh mãn tính
PET00048,CUS17355,Bánh,Mèo,Mèo Scottlish Fold,2019-09-23,Đực,Sau phẫu thuật
PET00049,CUS40251,Gió,Chó,Cocker Spaniel,2019-09-09,Cái,Sau phẫu thuật
PET00050,CUS68319,Ki,Mèo,Maine Coon,2022-08-14,Đực,Phục hồi chấn thương
PET00051,CUS14946,Bo,Chó,Samoyed,2019-03-18,Đực,Đang điều trị
PET00052,CUS08791,Bo,Mèo,Mèo Scottlish Fold,2019-06-11,Cái,Tiêm phòng đầy đủ
PET00053,CUS76310,Nem,Rùa,Rùa Tai Đỏ,2023-12-13,Đực,Tiêm phòng đầy đủ
PET00054,CUS45129,Bơ,Rùa,Rùa Sulcata,2022-02-08,Đực,Cần theo dõi
PET00055,CUS62163,Bo,Thỏ,Thỏ Holland Lop,2020-09-26,Cái,Cần theo dõi
PET00056,CUS66893,Canh,Thỏ,Thỏ Trắng,2022-01-23,Cái,Sau phẫu thuật
PET00057,CUS72900,Milu,Mèo,Mèo Ba Tư,2019-02-09,Cái,Sau phẫu thuật
PET00058,CUS23017,Bún,Chó,Pitbull,2024-02-11,Cái,Sau phẫu thuật
PET00059,CUS44355,Sugar,Chó,Samoyed,2023-02-22,Đực,Cần theo dõi
PET00060,CUS05640,Latte,Hamster,Hamster Campbell,2021-04-03,Cái,Chưa tiêm phòng
PET00061,CUS44612,Luna,Chim,Vẹt,2023-10-08,Cái,Khỏe mạnh
PET00062,CUS07322,Mèo Mập,Hamster,Hamster Winter White,2018-06-10,Cái,Khỏe mạnh
PET00063,CUS62413,Milo,Mèo,Ragdoll,2022-07-12,Đực,Khỏe mạnh
PET00064,CUS71005,Khoai,Chó,Chó Phú Quốc,2023-04-25,Cái,Khỏe mạnh
PET00065,CUS43390,Trà,Chó,Chihuahua,2022-08-20,Cái,Chưa tiêm phòng
PET00066,CUS42689,Pudding,Thỏ,Thỏ Vặn,2023-10-10,Đực,Bệnh mãn tính
PET00067,CUS48076,Bim,Hamster,Hamster Trung Quốc,2024-03-23,Cái,Tiêm phòng đầy đủ
PET00068,CUS13022,Trắng,Mèo,Mèo Anh lông ngắn,2019-10-12,Cái,Bệnh mãn tính
PET00069,CUS75551,Latte,Chim,Vẹt,2019-06-05,Cái,Đang điều trị
PET00070,CUS67843,Bim,Chim,Chim Sáo,2022-10-28,Cái,Bệnh mãn tính
PET00071,CUS16337,Mèo Mập,Mèo,Ragdoll,2021-12-19,Cái,Cần theo dõi
PET00072,CUS07318,Leo,Thỏ,Thỏ Trắng,2023-11-11,Cái,Sau phẫu thuật
PET00073,CUS01871,Latte,Chim,Chim Sáo,2024-02-05,Cái,Cần theo dõi
PET00074,CUS52745,Butter,Thỏ,Thỏ Vặn,2018-06-13,Cái,Khỏe mạnh
PET00075,CUS53648,Hoa,Thỏ,Thỏ Lùn Hà Lan,2022-12-19,Đực,Chưa tiêm phòng
PET00076,CUS13968,Dưa,Mèo,Mèo Scottlish Fold,2018-10-13,Đực,Bệnh mãn tính
PET00077,CUS69139,Coco,Hamster,Hamster Campbell,2020-04-12,Đực,Tiêm phòng đầy đủ
PET00078,CUS06920,Leo,Mèo,Mèo Anh lông dài,2019-03-05,Đực,Chưa tiêm phòng
PET00079,CUS63866,Vàng,Rùa,Rùa Núi Vimg,2022-03-20,Cái,Chưa tiêm phòng
PET00080,CUS44688,Mochi,Thỏ,Thỏ Holland Lop,2021-07-10,Đực,Phục hồi chấn thương
PET00081,CUS11484,Trắng,Chim,Chim Bồ Câu,2018-12-26,Đực,Chưa tiêm phòng
PET00082,CUS43949,Phở,Thỏ,Thỏ Lop,2020-09-17,Cái,Đang điều trị
PET00083,CUS28308,Max,Hamster,Hamster Campbell,2019-08-14,Cái,Đang điều trị
PET00084,CUS16376,Trà,Mèo,Mèo Scottlish Fold,2018-11-28,Cái,Đang điều trị
PET00085,CUS31092,Gió,Chó,Chó Nhật,2021-08-24,Đực,Phục hồi chấn thương
PET00086,CUS68107,Oreo,Chó,Shiba Inu,2023-07-06,Cái,Bệnh mãn tính
PET00087,CUS45466,Mochi,Mèo,Mèo ta,2023-01-30,Cái,Sau phẫu thuật
PET00088,CUS31959,Đen,Hamster,Hamster Syria,2020-05-24,Cái,Sau phẫu thuật
PET00089,CUS70917,Cheese,Chó,Golden Retriever,2023-09-08,Cái,Chưa tiêm phòng
PET00090,CUS24649,Leo,Rùa,Rùa Tai Đỏ,2024-03-23,Cái,Bệnh mãn tính
PET00091,CUS26142,Chả,Rùa,Rùa Tai Đỏ,2018-10-18,Cái,Đang điều trị
