MonitorID,SurgeryID,NurseID,CheckTime,Status,Note
MON000001,SRV0186,E0196,2024-09-30 13:12:08,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000002,SRV0105,E0235,2024-06-03 18:52:25,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000003,SRV0132,E0252,2021-08-18 19:20:06,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000004,SRV0107,E0173,2023-09-16 23:51:41,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000005,SRV0198,E0206,2022-01-10 15:12:43,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000006,SRV0054,E0204,2022-08-13 09:50:49,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000007,SRV0009,E0132,2022-02-10 11:01:06,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000008,SRV0010,E0217,2024-12-29 19:34:04,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000009,SRV0026,E0187,2022-01-31 00:09:45,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000010,SRV0105,E0187,2023-04-07 14:26:28,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000011,SRV0147,E0260,2021-09-22 00:52:37,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000012,SRV0198,E0223,2022-07-12 12:21:43,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000013,SRV0147,E0229,2022-04-10 21:23:59,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000014,SRV0186,E0191,2021-04-04 02:06:37,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000015,SRV0025,E0215,2024-12-04 19:27:27,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000016,SRV0012,E0174,2024-10-30 13:04:04,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000017,SRV0129,E0123,2021-12-18 19:49:32,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000018,SRV0149,E0181,2022-10-22 02:47:16,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000019,SRV0177,E0215,2024-09-08 07:38:09,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000020,SRV0186,E0135,2022-10-30 03:18:26,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000021,SRV0150,E0159,2021-02-10 04:41:22,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000022,SRV0198,E0123,2022-12-10 18:53:13,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000023,SRV0053,E0203,2024-07-23 13:47:18,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000024,SRV0025,E0177,2023-08-07 08:16:26,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000025,SRV0026,E0256,2023-09-06 10:43:12,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000026,SRV0029,E0243,2024-04-22 19:41:29,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000027,SRV0188,E0233,2024-05-17 17:47:47,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000028,SRV0043,E0194,2021-09-28 04:24:02,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000029,SRV0105,E0146,2021-02-12 02:03:33,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000030,SRV0132,E0149,2022-03-24 08:44:17,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000031,SRV0039,E0235,2023-09-28 07:52:17,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
