PrescriptionID,DrugID,Quantity,UsageInstruction
PRSC084226,DRG0115,6,"Uống sau khi ăn, ngày 2 lần"
PRSC017939,DRG0157,10,"Uống sau khi ăn, ngày 2 lần"
PRSC083258,DRG0133,4,"Uống sau khi ăn, ngày 2 lần"
PRSC074146,DRG0076,9,"Uống sau khi ăn, ngày 2 lần"
PRSC045294,DRG0232,6,"Uống sau khi ăn, ngày 2 lần"
PRSC002003,DRG0107,1,"Uống sau khi ăn, ngày 2 lần"
PRSC028034,DRG0043,4,"Uống sau khi ăn, ngày 2 lần"
PRSC086673,DRG0028,4,"Uống sau khi ăn, ngày 2 lần"
PRSC031480,DRG0047,7,"Uống sau khi ăn, ngày 2 lần"
PRSC073775,DRG0169,2,"Uống sau khi ăn, ngày 2 lần"
PRSC044594,DRG0014,2,"Uống sau khi ăn, ngày 2 lần"
PRSC021094,DRG0297,3,"Uống sau khi ăn, ngày 2 lần"
PRSC040306,DRG0154,6,"Uống sau khi ăn, ngày 2 lần"
PRSC085288,DRG0205,8,"Uống sau khi ăn, ngày 2 lần"
PRSC082621,DRG0098,10,"Uống sau khi ăn, ngày 2 lần"
PRSC099431,DRG0024,2,"Uống sau khi ăn, ngày 2 lần"
PRSC067936,DRG0091,10,"Uống sau khi ăn, ngày 2 lần"
PRSC022168,DRG0056,6,"Uống sau khi ăn, ngày 2 lần"
PRSC003670,DRG0266,3,"Uống sau khi ăn, ngày 2 lần"
PRSC023072,DRG0171,3,"Uống sau khi ăn, ngày 2 lần"
PRSC029394,DRG0299,1,"Uống sau khi ăn, ngày 2 lần"
PRSC053617,DRG0058,3,"Uống sau khi ăn, ngày 2 lần"
PRSC057603,DRG0087,7,"Uống sau khi ăn, ngày 2 lần"
PRSC078059,DRG0140,7,"Uống sau khi ăn, ngày 2 lần"
PRSC092377,DRG0177,6,"Uống sau khi ăn, ngày 2 lần"
PRSC022660,DRG0276,7,"Uống sau khi ăn, ngày 2 lần"
PRSC008561,DRG0229,7,"Uống sau khi ăn, ngày 2 lần"
PRSC052891,DRG0205,3,"Uống sau khi ăn, ngày 2 lần"
PRSC061087,DRG0224,3,"Uống sau khi ăn, ngày 2 lần"
PRSC035543,DRG0266,10,"Uống sau khi ăn, ngày 2 lần"
PRSC080680,DRG0069,3,"Uống sau khi ăn, ngày 2 lần"
PRSC071460,DRG0110,5,"Uống sau khi ăn, ngày 2 lần"
PRSC079124,DRG0187,5,"Uống sau khi ăn, ngày 2 lần"
PRSC089193,DRG0146,6,"Uống sau khi ăn, ngày 2 lần"
PRSC068867,DRG0017,4,"Uống sau khi ăn, ngày 2 lần"
PRSC004112,DRG0012,5,"Uống sau khi ăn, ngày 2 lần"
PRSC000407,DRG0070,10,"Uống sau khi ăn, ngày 2 lần"
PRSC045739,DRG0200,9,"Uống sau khi ăn, ngày 2 lần"
PRSC009247,DRG0157,9,"Uống sau khi ăn, ngày 2 lần"
PRSC049158,DRG0178,2,"Uống sau khi ăn, ngày 2 lần"
PRSC066509,DRG0088,5,"Uống sau khi ăn, ngày 2 lần"
PRSC061875,DRG0287,8,"Uống sau khi ăn, ngày 2 lần"
PRSC026235,DRG0178,3,"Uống sau khi ăn, ngày 2 lần"
PRSC023665,DRG0251,5,"Uống sau khi ăn, ngày 2 lần"
PRSC074119,DRG0152,10,"Uống sau khi ăn, ngày 2 lần"
PRSC080998,DRG0010,4,"Uống sau khi ăn, ngày 2 lần"
PRSC052171,DRG0074,6,"Uống sau khi ăn, ngày 2 lần"
PRSC019457,DRG0081,8,"Uống sau khi ăn, ngày 2 lần"
PRSC096395,DRG0084,4,"Uống sau khi ăn, ngày 2 lần"
PRSC013573,DRG0056,8,"Uống sau khi ăn, ngày 2 lần"
PRSC051336,DRG0112,9,"Uống sau khi ăn, ngày 2 lần"
PRSC037969,DRG0154,4,"Uống sau khi ăn, ngày 2 lần"
PRSC059622,DRG0207,1,"Uống sau khi ăn, ngày 2 lần"
PRSC000178,DRG0195,2,"Uống sau khi ăn, ngày 2 lần"
PRSC037830,DRG0026,9,"Uống sau khi ăn, ngày 2 lần"
PRSC026336,DRG0164,4,"Uống sau khi ăn, ngày 2 lần"
PRSC001209,DRG0190,6,"Uống sau khi ăn, ngày 2 lần"
PRSC067446,DRG0228,9,"Uống sau khi ăn, ngày 2 lần"
PRSC068219,DRG0167,5,"Uống sau khi ăn, ngày 2 lần"
PRSC013905,DRG0286,4,"Uống sau khi ăn, ngày 2 lần"
PRSC007338,DRG0211,9,"Uống sau khi ăn, ngày 2 lần"
PRSC053627,DRG0094,1,"Uống sau khi ăn, ngày 2 lần"
PRSC036907,DRG0243,5,"Uống sau khi ăn, ngày 2 lần"
PRSC013040,DRG0230,3,"Uống sau khi ăn, ngày 2 lần"
PRSC063004,DRG0279,7,"Uống sau khi ăn, ngày 2 lần"
PRSC054330,DRG0298,7,"Uống sau khi ăn, ngày 2 lần"
PRSC002910,DRG0238,2,"Uống sau khi ăn, ngày 2 lần"
PRSC084774,DRG0220,5,"Uống sau khi ăn, ngày 2 lần"
PRSC009223,DRG0160,9,"Uống sau khi ăn, ngày 2 lần"
PRSC039719,DRG0194,3,"Uống sau khi ăn, ngày 2 lần"
PRSC021184,DRG0286,8,"Uống sau khi ăn, ngày 2 lần"
PRSC009727,DRG0062,3,"Uống sau khi ăn, ngày 2 lần"
PRSC028844,DRG0075,9,"Uống sau khi ăn, ngày 2 lần"
PRSC021119,DRG0156,7,"Uống sau khi ăn, ngày 2 lần"
PRSC036644,DRG0093,9,"Uống sau khi ăn, ngày 2 lần"
PRSC011596,DRG0165,9,"Uống sau khi ăn, ngày 2 lần"
PRSC060330,DRG0025,1,"Uống sau khi ăn, ngày 2 lần"
PRSC016194,DRG0213,8,"Uống sau khi ăn, ngày 2 lần"
PRSC023738,DRG0167,4,"Uống sau khi ăn, ngày 2 lần"
PRSC036554,DRG0168,3,"Uống sau khi ăn, ngày 2 lần"
PRSC064475,DRG0203,1,"Uống sau khi ăn, ngày 2 lần"
PRSC068604,DRG0154,10,"Uống sau khi ăn, ngày 2 lần"
PRSC025761,DRG0008,10,"Uống sau khi ăn, ngày 2 lần"
PRSC033887,DRG0025,8,"Uống sau khi ăn, ngày 2 lần"
PRSC073395,DRG0214,5,"Uống sau khi ăn, ngày 2 lần"
PRSC033050,DRG0103,2,"Uống sau khi ăn, ngày 2 lần"
PRSC019628,DRG0107,3,"Uống sau khi ăn, ngày 2 lần"
PRSC077905,DRG0066,7,"Uống sau khi ăn, ngày 2 lần"
PRSC080757,DRG0063,2,"Uống sau khi ăn, ngày 2 lần"
PRSC097011,DRG0261,3,"Uống sau khi ăn, ngày 2 lần"
PRSC071698,DRG0162,4,"Uống sau khi ăn, ngày 2 lần"
PRSC002343,DRG0138,3,"Uống sau khi ăn, ngày 2 lần"
PRSC001289,DRG0198,8,"Uống sau khi ăn, ngày 2 lần"
PRSC004834,DRG0109,3,"Uống sau khi ăn, ngày 2 lần"
PRSC047808,DRG0161,10,"Uống sau khi ăn, ngày 2 lần"
PRSC047302,DRG0127,9,"Uống sau khi ăn, ngày 2 lần"
PRSC077970,DRG0294,4,"Uống sau khi ăn, ngày 2 lần"
PRSC001273,DRG0182,6,"Uống sau khi ăn, ngày 2 lần"
PRSC017297,DRG0084,5,"Uống sau khi ăn, ngày 2 lần"
PRSC069478,DRG0157,2,"Uống sau khi ăn, ngày 2 lần"
PRSC034465,DRG0140,10,"Uống sau khi ăn, ngày 2 lần"
PRSC046810,DRG0235,9,"Uống sau khi ăn, ngày 2 lần"
PRSC010589,DRG0157,7,"Uống sau khi ăn, ngày 2 lần"
PRSC017536,DRG0209,8,"Uống sau khi ăn, ngày 2 lần"
PRSC044861,DRG0100,3,"Uống sau khi ăn, ngày 2 lần"
PRSC091849,DRG0107,7,"Uống sau khi ăn, ngày 2 lần"
PRSC092113,DRG0124,1,"Uống sau khi ăn, ngày 2 lần"
PRSC062339,DRG0026,7,"Uống sau khi ăn, ngày 2 lần"
PRSC037349,DRG0239,2,"Uống sau khi ăn, ngày 2 lần"
PRSC019786,DRG0185,6,"Uống sau khi ăn, ngày 2 lần"
PRSC076935,DRG0067,6,"Uống sau khi ăn, ngày 2 lần"
PRSC032178,DRG0255,3,"Uống sau khi ăn, ngày 2 lần"
PRSC087326,DRG0067,2,"Uống sau khi ăn, ngày 2 lần"
PRSC094625,DRG0057,4,"Uống sau khi ăn, ngày 2 lần"
PRSC091637,DRG0270,6,"Uống sau khi ăn, ngày 2 lần"
PRSC083570,DRG0037,8,"Uống sau khi ăn, ngày 2 lần"
PRSC070085,DRG0288,7,"Uống sau khi ăn, ngày 2 lần"
PRSC060180,DRG0284,1,"Uống sau khi ăn, ngày 2 lần"
PRSC031852,DRG0072,4,"Uống sau khi ăn, ngày 2 lần"
PRSC062168,DRG0132,2,"Uống sau khi ăn, ngày 2 lần"
PRSC059120,DRG0261,6,"Uống sau khi ăn, ngày 2 lần"
PRSC076771,DRG0020,8,"Uống sau khi ăn, ngày 2 lần"
PRSC013146,DRG0122,3,"Uống sau khi ăn, ngày 2 lần"
PRSC010115,DRG0050,7,"Uống sau khi ăn, ngày 2 lần"
PRSC033805,DRG0137,8,"Uống sau khi ăn, ngày 2 lần"
PRSC011589,DRG0030,2,"Uống sau khi ăn, ngày 2 lần"
PRSC085592,DRG0096,9,"Uống sau khi ăn, ngày 2 lần"
PRSC087389,DRG0015,3,"Uống sau khi ăn, ngày 2 lần"
PRSC036200,DRG0211,5,"Uống sau khi ăn, ngày 2 lần"
