ProductID,ProductName,ProductType,SellingPrice
PRD0001,Kéo tỉa lông chuyên dụng,Dụng cụ grooming,362208
PRD0002,Thuốc nhỏ mắt,Chăm sóc sức khỏe,356645
PRD0003,Sữa cho mèo con,Chăm sóc sức khỏe,141650
PRD0004,Chuồng mèo inox,Phụ kiện,252709
PRD0005,Bóng cao su chó,Đồ chơi,97644
PRD0006,Thuốc vệ sinh tai,Chăm sóc sức khỏe,314090
PRD0007,Máy sấy lông,Dụng cụ grooming,115397
PRD0008,Xịt khử mùi,Vệ sinh,266978
PRD0009,Kéo tỉa lông chuyên dụng,Dụng cụ grooming,392214
PRD0010,Frisbee chó,Đồ chơi,90703
PRD0011,Lược chải lông,Dụng cụ grooming,184508
PRD0012,Thuốc vệ sinh tai,Chăm sóc sức khỏe,149887
PRD0013,Kéo cắt móng,Dụng cụ grooming,93352
PRD0014,Lồng vận chuyển,Phụ kiện,90871
PRD0015,Orijen Chó,Thức ăn chó,477451
PRD0016,Chuột bông cho mèo,Đồ chơi,58846
PRD0017,Khay vệ sinh mèo,Vệ sinh,288892
PRD0018,Orijen Chó,Thức ăn chó,755308
PRD0019,Taste of the Wild Chó,Thức ăn chó,191694
PRD0020,Sữa cho mèo con,Chăm sóc sức khỏe,355544
PRD0021,Bàn grooming,Dụng cụ grooming,106556
PRD0022,Frisbee chó,Đồ chơi,87116
PRD0023,Cây leo mèo 3 tầng,Đồ chơi,70377
PRD0024,Thuốc nhỏ mắt,Chăm sóc sức khỏe,283119
PRD0025,Catidea Premium,Thức ăn mèo,232381
PRD0026,Bịch rác thú cưng,Vệ sinh,382387
PRD0027,Máy cạo lông,Dụng cụ grooming,218814
PRD0028,Orijen Chó,Thức ăn chó,307055
PRD0029,Dầu gội mèo,Vệ sinh,234897
PRD0030,Royal Canin Mèo,Thức ăn mèo,595210
PRD0031,Catidea Premium,Thức ăn mèo,598159
PRD0032,Chuồng mèo inox,Phụ kiện,419082
PRD0033,Dog Mania Premium,Thức ăn chó,329910
PRD0034,Máy cạo lông,Dụng cụ grooming,231296
PRD0035,Blue Buffalo Mèo,Thức ăn mèo,222460
PRD0036,Canxi bổ sung,Chăm sóc sức khỏe,105368
PRD0037,Thuốc vệ sinh tai,Chăm sóc sức khỏe,370700
PRD0038,Găng tay chải lông,Dụng cụ grooming,204954
PRD0039,Cây leo mèo 3 tầng,Đồ chơi,206075
PRD0040,Xương gặm sạch răng,Đồ chơi,75617
PRD0041,Lồng vận chuyển,Phụ kiện,116229
PRD0042,Bột sữa cho chó con,Chăm sóc sức khỏe,392579
PRD0043,Ganador Adult,Thức ăn chó,266957
PRD0044,Khay vệ sinh mèo,Vệ sinh,253208
PRD0045,ANF Chó Trưởng Thành,Thức ăn chó,637055
PRD0046,Túi mèo catnip,Đồ chơi,61198
PRD0047,Máy cạo lông,Dụng cụ grooming,300863
PRD0048,Rọ mõm chó,Phụ kiện,154880
PRD0049,Lược chải lông,Dụng cụ grooming,138685
PRD0050,Me-O Premium,Thức ăn mèo,200026
PRD0051,Whiskas Hạt,Thức ăn mèo,695763
PRD0052,Máy cạo lông,Dụng cụ grooming,150044
PRD0053,Ganador Adult,Thức ăn chó,517961
PRD0054,Cây leo mèo 3 tầng,Đồ chơi,66233
PRD0055,Bát nước tự động,Phụ kiện,180215
PRD0056,Bóng tennis chó,Đồ chơi,113512
PRD0057,Frisbee chó,Đồ chơi,51595
PRD0058,Máy cạo lông,Dụng cụ grooming,397601
PRD0059,Laser pointer mèo,Đồ chơi,228739
PRD0060,Bóng tennis chó,Đồ chơi,55639
PRD0061,Vòng cổ chó da,Phụ kiện,343100
PRD0062,Thuốc nhỏ mắt,Chăm sóc sức khỏe,219112
PRD0063,Men tiêu hóa,Chăm sóc sức khỏe,363084
PRD0064,Men tiêu hóa,Chăm sóc sức khỏe,100755
PRD0065,Máy cạo lông,Dụng cụ grooming,196246
PRD0066,Men tiêu hóa,Chăm sóc sức khỏe,228815
PRD0067,Catidea Premium,Thức ăn mèo,327086
PRD0068,Chuột bông cho mèo,Đồ chơi,155801
PRD0069,Royal Canin Adult Chó,Thức ăn chó,727367
