BranchID,EmployeeID,StartDate,EndDate
B005,E0424,2020-04-04,2021-02-11
B003,E0407,2020-07-12,2020-12-16
B008,E0262,2023-12-20,2024-06-02
B005,E0258,2023-02-10,2023-05-18
B007,E0229,2021-04-01,2021-06-06
B007,E0389,2022-09-28,2023-02-07
B005,E0093,2020-09-19,2021-01-07
B006,E0127,2021-12-02,2022-08-20
B006,E0206,2023-01-09,2023-11-20
B004,E0049,2022-02-12,2022-05-27
B003,E0267,2020-02-24,2020-06-11
B009,E0345,2021-11-11,2022-03-12
B005,E0133,2020-09-19,2021-05-08
B001,E0170,2023-06-12,2023-08-20
B001,E0057,2021-07-28,2021-12-30
B009,E0167,2021-09-18,2022-06-15
B003,E0346,2021-04-16,2021-12-18
B005,E0229,2021-10-03,2022-09-08
B007,E0318,2020-10-11,2021-01-19
B008,E0406,2020-11-10,2021-01-21
B005,E0267,2021-11-04,2022-02-21
B004,E0313,2021-05-17,2021-10-18
B010,E0033,2021-01-09,2021-12-05
B009,E0362,2020-09-10,2021-07-05
B006,E0083,2022-08-11,2023-02-10
B008,E0498,2021-07-08,2022-05-03
B002,E0313,2022-05-16,2022-12-26
B003,E0085,2023-06-28,2023-09-26
B002,E0167,2022-07-21,2022-08-27
B010,E0151,2023-07-28,2023-11-20
B006,E0377,2023-02-03,2023-12-15
B006,E0111,2021-02-27,2021-09-22
B008,E0067,2023-08-30,2023-10-06
B003,E0362,2020-03-14,2021-02-23
B006,E0288,2020-05-16,2021-02-02
B010,E0500,2023-05-20,2024-05-13
B007,E0365,2023-08-29,2024-08-07
B004,E0288,2021-10-24,2022-04-25
B005,E0220,2023-04-30,2023-07-26
B008,E0142,2020-06-27,2020-08-26
B002,E0370,2023-04-27,2024-01-10
B002,E0309,2022-04-30,2023-02-05
B003,E0295,2022-01-16,2022-08-26
B006,E0321,2021-12-21,2022-06-12
B001,E0154,2023-07-26,2023-12-29
B005,E0005,2022-01-15,2022-10-14
B002,E0498,2020-08-29,2020-11-05
B007,E0432,2022-10-23,2022-12-14
B007,E0304,2022-06-24,2023-04-01
B001,E0221,2020-08-04,2021-02-25
B006,E0394,2023-11-01,2024-07-28
B008,E0189,2022-11-17,2023-09-25
B004,E0423,2022-07-23,2022-12-03
B003,E0154,2020-09-24,2021-06-26
B004,E0298,2020-09-21,2021-05-16
B004,E0384,2023-05-27,2023-09-02
B010,E0120,2023-12-16,2024-06-09
B008,E0368,2022-02-22,2022-04-11
B010,E0015,2022-04-21,2023-01-21
B002,E0450,2020-04-05,2020-08-20
B005,E0473,2023-05-17,2023-07-24
B004,E0464,2023-05-03,2024-01-09
B006,E0360,2023-06-19,2023-08-17
B010,E0285,2023-02-28,2023-10-27
B005,E0061,2022-02-26,2022-11-10
B008,E0098,2023-03-12,2023-08-19
B002,E0170,2023-07-22,2024-07-05
B004,E0272,2022-11-25,2023-09-21
B004,E0068,2021-05-13,2021-06-18
B009,E0102,2021-04-05,2021-10-02
B006,E0221,2020-05-12,2021-04-07
B008,E0086,2020-06-02,2020-08-04
B003,E0238,2021-01-08,2021-02-20
B007,E0214,2021-01-26,2021-06-28
B009,E0461,2020-07-13,2021-07-06
B006,E0023,2020-10-05,2021-01-04
B010,E0329,2021-09-10,2022-05-30
B006,E0158,2023-08-24,2024-03-08
B003,E0029,2020-02-23,2021-02-21
B003,E0317,2020-03-30,2020-10-15
B004,E0385,2021-02-02,2021-06-16
B005,E0496,2021-03-22,2021-10-21
B001,E0116,2020-09-15,2021-01-27
B004,E0060,2021-03-20,2021-08-10
B005,E0041,2021-11-09,2022-06-24
B007,E0395,2021-07-19,2022-02-02
B001,E0052,2022-01-13,2022-12-07
B008,E0322,2022-10-17,2023-08-03
B004,E0139,2020-12-20,2021-08-04
B008,E0283,2023-02-08,2023-07-12
B001,E0328,2023-11-06,2024-10-03
B010,E0109,2021-06-20,2022-01-15
B010,E0048,2020-08-29,2021-07-11
B002,E0151,2020-01-18,2020-03-15
B005,E0465,2022-08-26,2022-10-31
B009,E0190,2020-01-23,2020-11-05
B009,E0357,2022-09-19,2023-05-30
B004,E0456,2022-10-14,2023-08-11
B008,E0124,2023-05-12,2023-09-14
B001,E0058,2021-12-25,2022-08-23
B006,E0213,2022-05-09,2023-03-20
B007,E0266,2020-06-29,2021-05-31
B007,E0148,2020-08-07,2020-12-21
B009,E0339,2020-06-14,2020-11-15
B001,E0180,2021-09-09,2021-12-05
B002,E0389,2020-09-12,2020-12-08
B001,E0318,2023-08-13,2024-03-17
B010,E0252,2020-04-30,2021-04-08
B005,E0251,2020-04-03,2020-09-25
B005,E0281,2022-11-10,2023-05-19
B006,E0470,2022-10-29,2022-12-16
B006,E0323,2021-12-07,2022-06-24
B003,E0222,2023-08-30,2023-12-18
B010,E0213,2022-07-21,2023-02-04
B008,E0332,2020-06-08,2021-05-05
B007,E0420,2022-04-18,2023-03-10
B008,E0031,2023-06-07,2023-07-22
B004,E0461,2022-01-23,2022-10-23
B005,E0207,2020-08-12,2021-03-13
B008,E0151,2021-03-03,2022-01-16
B001,E0450,2021-06-11,2022-06-05
B001,E0330,2020-09-25,2020-11-30
B010,E0415,2021-07-03,2022-05-25
B003,E0275,2020-06-25,2021-04-28
B004,E0362,2020-07-21,2020-10-10
B007,E0407,2020-10-17,2021-04-10
B003,E0183,2021-12-25,2022-05-10
B005,E0477,2022-10-27,2023-05-16
B003,E0404,2020-07-26,2021-01-16
B009,E0470,2023-01-11,2023-05-12
B009,E0313,2020-11-11,2021-10-31
B010,E0177,2020-01-08,2020-10-19
B001,E0302,2023-09-03,2024-03-31
B010,E0475,2023-06-03,2023-07-17
B008,E0160,2020-02-04,2020-10-10
B009,E0343,2021-09-02,2022-05-10
B009,E0134,2020-06-21,2020-07-26
B004,E0194,2022-04-28,2023-03-08
B005,E0310,2020-02-08,2021-01-09
B009,E0416,2021-07-16,2021-10-06
B001,E0368,2022-05-27,2023-04-19
B002,E0041,2022-08-12,2023-05-27
B010,E0407,2020-07-17,2021-05-23
B001,E0379,2021-01-22,2021-05-17
B001,E0126,2023-11-09,2024-11-03
B002,E0240,2022-05-11,2023-04-21
B003,E0196,2020-01-07,2020-11-13
B005,E0260,2021-09-12,2022-09-09
B002,E0376,2023-06-07,2024-04-15
B010,E0388,2021-07-31,2022-01-15
B008,E0154,2023-11-10,2024-04-16
B008,E0402,2021-09-27,2022-04-06
B003,E0066,2020-02-01,2020-12-07
B010,E0458,2021-05-14,2022-02-27
B005,E0324,2022-03-07,2022-07-31
B003,E0040,2023-11-05,2024-02-04
B006,E0306,2021-10-11,2021-11-17
B005,E0159,2021-05-10,2021-10-31
B009,E0320,2020-12-14,2021-11-04
B009,E0159,2022-12-03,2023-04-11
B006,E0165,2022-10-02,2023-02-06
B005,E0039,2020-09-28,2021-05-02
B001,E0311,2023-09-14,2024-05-09
B003,E0402,2023-07-28,2023-10-21
B009,E0164,2020-01-06,2020-06-29
B003,E0123,2020-06-04,2020-10-02
B003,E0353,2021-03-15,2021-05-24
B008,E0020,2020-09-02,2021-05-09
B006,E0482,2023-05-18,2023-06-22
B008,E0288,2022-03-18,2022-07-27
B005,E0050,2020-12-14,2021-10-24
B007,E0488,2020-04-04,2020-09-11
B008,E0299,2023-06-07,2024-01-05
B004,E0345,2021-10-06,2022-01-06
B001,E0087,2022-12-26,2023-10-24
B010,E0185,2021-02-16,2021-05-17
B006,E0181,2023-03-11,2023-04-13
B003,E0045,2020-04-16,2020-09-17
B003,E0137,2023-09-25,2024-01-26
B002,E0322,2021-12-26,2022-08-16
B003,E0345,2023-03-14,2024-02-07
B007,E0089,2022-11-09,2023-03-19
B006,E0341,2020-09-14,2021-01-21
B003,E0497,2021-06-03,2022-05-02
B009,E0255,2020-01-25,2020-06-27
B006,E0372,2022-07-28,2023-02-08
B008,E0290,2023-05-01,2024-04-17
B002,E0005,2020-09-10,2020-12-16
B010,E0340,2022-07-02,2023-03-10
B009,E0439,2022-05-15,2023-01-20
B004,E0469,2022-01-10,2022-05-12
B007,E0498,2022-08-07,2023-06-07
B008,E0481,2022-12-05,2023-01-14
B009,E0298,2020-02-14,2020-07-17
B006,E0135,2020-09-27,2021-03-11
B009,E0188,2021-01-17,2021-03-28
B001,E0039,2020-11-25,2021-05-15
B008,E0159,2023-04-09,2023-05-26
B007,E0004,2022-12-20,2023-04-05
B009,E0051,2022-05-05,2022-07-03
B007,E0202,2023-05-19,2024-05-03
B001,E0113,2022-03-22,2022-10-15
B002,E0415,2023-07-13,2024-07-06
B006,E0218,2021-01-25,2021-06-16
B005,E0225,2023-02-26,2023-06-19
B004,E0030,2022-11-15,2023-03-20
B005,E0368,2020-12-12,2021-05-08
B010,E0106,2020-12-29,2021-02-06
B010,E0125,2021-03-04,2021-09-08
B006,E0327,2022-12-10,2023-10-10
B003,E0377,2020-05-26,2021-01-27
B001,E0403,2020-11-05,2021-03-01
B003,E0348,2021-07-30,2022-07-12
B002,E0181,2020-05-16,2020-12-17
B001,E0287,2022-04-27,2023-04-03
B005,E0471,2021-04-01,2021-10-10
B002,E0342,2022-06-08,2022-08-23
B002,E0219,2020-03-30,2020-12-26
B001,E0231,2023-01-26,2023-07-24
B010,E0273,2023-06-13,2024-05-15
B007,E0084,2021-07-20,2022-06-05
B009,E0260,2022-01-14,2022-08-28
B004,E0101,2022-08-27,2023-02-25
B009,E0402,2020-11-11,2021-02-21
B001,E0323,2020-04-27,2020-09-15
B003,E0041,2021-09-15,2022-03-22
B007,E0341,2023-07-02,2024-05-12
B005,E0155,2022-03-22,2022-07-11
B004,E0024,2021-11-23,2022-04-10
B004,E0430,2022-10-19,2023-06-20
B006,E0422,2022-04-12,2022-07-19
B007,E0353,2023-11-09,2024-07-02
B005,E0363,2021-03-19,2021-11-09
B009,E0293,2023-09-16,2024-02-19
B009,E0353,2022-01-18,2022-06-05
B007,E0481,2023-12-15,2024-12-09
B007,E0062,2021-09-22,2022-09-03
B006,E0204,2022-06-11,2023-01-11
B003,E0340,2021-10-06,2022-08-13
B003,E0305,2022-05-21,2022-07-02
B009,E0158,2021-02-07,2021-03-23
B008,E0363,2022-12-13,2023-01-19
B002,E0034,2022-02-27,2023-02-03
B007,E0474,2022-09-12,2023-04-21
B008,E0491,2020-06-28,2021-04-03
B007,E0048,2021-11-19,2022-09-07
B003,E0026,2021-12-29,2022-07-29
B007,E0430,2020-10-16,2021-04-25
B009,E0076,2023-03-03,2024-02-26
B003,E0457,2021-02-21,2021-04-06
B004,E0315,2023-03-07,2024-03-02
B003,E0047,2022-09-17,2022-12-19
B005,E0142,2021-04-18,2022-02-16
B010,E0443,2020-07-20,2020-11-25
B007,E0010,2022-05-08,2022-10-11
B002,E0351,2023-06-07,2023-08-17
B006,E0425,2020-10-15,2020-11-18
B004,E0248,2020-03-16,2021-02-08
B004,E0122,2023-04-17,2023-08-17
B005,E0242,2021-07-11,2021-12-27
B010,E0295,2022-09-14,2022-11-02
B005,E0366,2022-08-24,2023-06-03
B006,E0263,2023-05-17,2023-12-06
B008,E0119,2022-01-11,2022-05-04
B002,E0143,2020-04-01,2020-11-23
B002,E0232,2020-06-14,2021-02-12
B001,E0206,2020-05-18,2021-01-09
B010,E0258,2022-10-26,2023-01-23
B006,E0435,2020-11-17,2021-09-28
B008,E0328,2023-07-12,2024-01-01
B001,E0337,2021-02-26,2021-05-24
B006,E0060,2023-03-09,2023-06-19
B004,E0424,2022-07-21,2023-04-24
B002,E0362,2022-01-22,2022-08-19
B009,E0491,2021-09-12,2022-03-29
B006,E0315,2022-06-25,2022-09-01
B004,E0422,2023-06-09,2023-09-02
B008,E0043,2021-03-08,2021-07-17
B003,E0210,2020-11-16,2021-08-01
B010,E0018,2020-11-17,2021-05-22
B010,E0123,2020-05-22,2020-10-20
B009,E0388,2022-07-03,2022-09-25
B005,E0265,2020-09-12,2021-09-05
B008,E0179,2021-01-29,2021-12-19
B003,E0432,2023-05-09,2024-04-19
B007,E0444,2020-05-04,2021-01-15
B005,E0483,2020-08-03,2021-04-18
B003,E0386,2021-07-21,2022-07-20
B006,E0443,2021-03-17,2021-08-31
B007,E0123,2021-06-24,2022-06-24
B003,E0206,2020-02-12,2021-02-03
B001,E0101,2023-12-04,2024-02-12
B007,E0141,2023-04-06,2023-12-02
B007,E0310,2020-06-08,2020-11-20
B001,E0467,2023-03-20,2023-10-16
B007,E0372,2020-12-05,2021-04-06
B001,E0233,2023-06-30,2023-11-18
B004,E0066,2023-06-06,2024-03-02
B003,E0324,2023-10-01,2024-01-18
B010,E0206,2022-05-16,2022-10-11
B009,E0163,2021-11-05,2022-01-21
B004,E0305,2022-12-28,2023-04-06
B004,E0035,2023-04-28,2023-12-02
B009,E0289,2021-12-13,2022-03-21
B003,E0401,2023-08-17,2024-05-27
B010,E0471,2020-07-26,2021-02-03
B008,E0186,2023-12-16,2024-04-15
B003,E0260,2021-07-11,2022-01-25
B009,E0062,2021-02-10,2021-04-10
B001,E0173,2021-06-26,2022-04-10
B004,E0337,2022-06-05,2022-07-25
B001,E0428,2021-02-18,2021-08-21
B004,E0251,2022-07-28,2023-01-28
B010,E0431,2020-10-20,2021-10-01
B005,E0335,2021-07-23,2021-12-12
B005,E0414,2020-02-20,2020-07-02
B001,E0242,2020-08-16,2021-04-19
B004,E0435,2023-10-18,2024-06-22
B006,E0252,2021-07-15,2022-07-13
B005,E0443,2020-03-02,2020-05-31
B001,E0077,2020-03-25,2020-09-09
B001,E0028,2021-06-30,2021-10-28
B008,E0117,2020-06-19,2021-06-02
B007,E0408,2021-09-23,2022-09-19
B007,E0415,2021-11-22,2022-02-02
B006,E0172,2021-04-13,2022-02-07
B009,E0117,2022-08-02,2023-07-03
B006,E0008,2021-09-11,2021-10-12
B001,E0097,2023-05-27,2024-03-26
B009,E0140,2021-02-14,2021-03-20
B002,E0312,2023-04-28,2023-06-02
B003,E0214,2023-03-25,2024-02-07
B009,E0485,2021-11-27,2022-08-07
B006,E0472,2021-01-25,2021-07-14
B005,E0415,2022-09-15,2023-08-30
B010,E0299,2023-07-29,2024-02-04
B001,E0354,2020-07-03,2020-10-21
B001,E0074,2020-09-02,2021-05-25
B001,E0413,2020-10-05,2021-05-21
B004,E0208,2020-10-03,2020-12-30
B007,E0026,2022-08-01,2023-05-16
B007,E0094,2022-10-26,2023-07-19
B010,E0050,2022-06-12,2022-09-15
B003,E0415,2023-09-05,2024-06-13
B007,E0437,2020-02-05,2020-11-11
B006,E0256,2021-08-07,2022-04-02
B001,E0300,2023-10-28,2024-06-02
B008,E0232,2023-02-17,2023-05-16
B001,E0014,2022-11-30,2023-10-22
B007,E0354,2021-06-03,2021-11-27
B009,E0278,2022-05-23,2022-12-28
B009,E0175,2022-06-03,2022-12-07
B004,E0129,2021-04-20,2021-06-05
B006,E0408,2022-11-13,2023-02-15
B005,E0067,2020-01-27,2021-01-05
B001,E0397,2020-06-19,2021-01-08
B009,E0031,2021-07-28,2022-02-15
B002,E0359,2021-11-05,2022-09-14
B009,E0059,2022-08-03,2023-04-27
B005,E0074,2021-08-03,2022-05-04
B009,E0487,2021-05-05,2021-07-15
B004,E0350,2021-08-07,2022-04-21
B010,E0315,2020-12-21,2021-05-17
B008,E0470,2023-11-25,2024-07-09
B004,E0325,2023-10-03,2024-08-15
B001,E0356,2021-11-22,2022-01-28
B004,E0231,2023-03-05,2023-06-28
B008,E0200,2022-01-15,2022-10-18
B005,E0385,2023-01-26,2023-03-03
B002,E0477,2020-06-27,2020-08-04
B005,E0442,2020-04-19,2020-06-16
B004,E0480,2021-05-15,2021-08-23
B007,E0442,2020-04-17,2020-08-22
B009,E0302,2023-07-11,2024-02-10
B001,E0383,2020-06-06,2020-10-12
B004,E0070,2020-06-02,2020-10-27
B006,E0447,2021-10-01,2022-03-30
B003,E0007,2023-09-04,2024-03-20
B001,E0020,2021-11-25,2022-11-14
B005,E0440,2021-02-09,2021-12-24
B001,E0466,2020-08-09,2021-02-01
B001,E0241,2023-11-29,2024-09-23
B008,E0375,2021-12-28,2022-09-28
B009,E0316,2022-10-17,2023-09-26
B007,E0005,2021-08-09,2022-01-20
B005,E0359,2023-12-20,2024-03-27
B006,E0387,2023-05-30,2024-02-13
B008,E0219,2023-11-14,2024-03-04
B001,E0456,2023-05-24,2023-09-30
B009,E0208,2020-05-08,2020-07-31
B007,E0483,2023-07-23,2023-09-12
B007,E0388,2021-04-27,2022-04-05
B002,E0097,2023-12-08,2024-10-25
B007,E0433,2021-08-16,2021-11-05
B005,E0135,2020-10-08,2020-12-02
B001,E0218,2023-11-03,2024-04-10
B007,E0208,2021-07-14,2021-12-20
B007,E0095,2022-05-09,2023-05-06
B008,E0192,2023-09-07,2024-05-05
B006,E0284,2020-03-26,2020-11-21
B004,E0455,2020-03-27,2020-10-05
B009,E0199,2022-03-02,2022-09-06
B004,E0095,2020-11-20,2021-09-09
B004,E0311,2022-10-02,2023-03-02
B002,E0374,2021-10-04,2022-06-28
B005,E0055,2022-04-11,2022-11-04
B004,E0218,2023-06-02,2023-12-17
B007,E0248,2021-01-25,2021-06-22
B001,E0452,2022-10-26,2023-03-15
B010,E0088,2023-01-16,2023-03-26
B009,E0014,2021-03-20,2022-03-15
B003,E0205,2022-10-12,2023-05-09
B001,E0400,2022-01-28,2022-06-21
B005,E0308,2020-11-24,2021-06-15
B006,E0410,2023-11-17,2024-08-21
B003,E0284,2020-03-01,2020-04-13
B004,E0318,2021-08-08,2022-01-05
B006,E0324,2020-01-03,2020-10-19
B003,E0171,2020-01-26,2020-09-22
B009,E0012,2022-03-13,2023-03-01
B010,E0383,2023-05-15,2023-10-09
B005,E0098,2020-05-23,2020-07-29
B007,E0406,2022-01-31,2022-04-04
B008,E0294,2020-02-05,2020-09-28
B005,E0086,2023-11-20,2024-03-16
B008,E0153,2023-01-05,2023-05-17
B007,E0272,2021-07-04,2021-08-21
B003,E0475,2021-03-12,2021-08-24
B002,E0429,2023-10-18,2024-07-23
B002,E0256,2021-11-18,2021-12-20
B003,E0135,2020-02-03,2020-07-12
B009,E0072,2022-06-10,2022-12-08
B010,E0392,2022-05-12,2023-03-30
B002,E0461,2022-08-01,2022-10-11
B002,E0139,2022-04-05,2022-06-03
B004,E0476,2023-03-29,2023-06-03
B002,E0072,2022-06-27,2022-10-17
B010,E0275,2021-09-02,2022-03-16
B004,E0490,2022-11-17,2022-12-19
B006,E0042,2023-06-13,2024-04-05
B001,E0198,2023-08-27,2024-07-18
