VPID,Duration,DiscountRate
SRV0019,309,0.15
SRV0135,276,0.05
SRV0100,234,0.15
SRV0153,238,0.15
SRV0070,250,0.15
SRV0015,356,0.05
SRV0160,249,0.05
SRV0076,283,0.05
SRV0052,258,0.1
SRV0192,354,0.15
SRV0096,250,0.15
SRV0109,344,0.1
SRV0195,222,0.1
SRV0146,254,0.05
SRV0108,188,0.05
SRV0090,218,0.15
SRV0011,301,0.1
SRV0059,267,0.15
SRV0055,203,0.1
SRV0197,271,0.15
SRV0089,327,0.15
SRV0068,277,0.15
SRV0190,184,0.15
SRV0170,235,0.05
SRV0185,309,0.15
SRV0088,272,0.1
SRV0048,345,0.1
SRV0168,346,0.05
SRV0196,360,0.15
SRV0125,246,0.15
SRV0032,304,0.15
SRV0097,256,0.1
SRV0062,231,0.1
SRV0137,215,0.05
SRV0121,225,0.1
SRV0157,205,0.05
SRV0047,305,0.15
SRV0042,184,0.15
SRV0063,357,0.15
SRV0091,358,0.15
