EmployeeID,WorkDate,WorkTime,Shift,MID
E0459,2024-08-16,7,Ca sáng,E0325
E0340,2024-10-03,7,Ca sáng,E0285
E0109,2024-03-28,18,Ca tối,E0372
E0055,2024-08-10,18,Ca tối,E0327
E0083,2024-06-16,13,Ca chiều,E0272
E0113,2024-05-11,18,Ca tối,E0325
E0488,2024-12-09,7,Ca sáng,E0424
E0473,2024-09-30,18,Ca tối,E0325
E0047,2024-12-20,13,Ca chiều,E0285
E0478,2024-10-21,18,Ca tối,E0372
E0330,2024-06-24,13,Ca chiều,E0348
E0335,2024-11-24,18,Ca tối,E0348
E0414,2024-04-29,7,Ca sáng,E0272
E0060,2024-05-28,7,Ca sáng,E0372
E0046,2024-06-23,18,Ca tối,E0306
E0480,2024-04-06,18,Ca tối,E0372
E0294,2024-07-07,7,Ca sáng,E0323
E0489,2024-07-13,18,Ca tối,E0327
E0160,2024-02-01,18,Ca tối,E0467
E0098,2024-07-17,13,Ca chiều,E0323
E0395,2024-07-05,18,Ca tối,E0424
E0267,2024-12-05,18,Ca tối,E0306
E0114,2024-02-24,13,Ca chiều,E0327
E0276,2024-08-23,13,Ca chiều,E0424
E0418,2024-05-31,7,Ca sáng,E0325
E0349,2024-08-21,7,Ca sáng,E0306
E0146,2024-03-15,18,Ca tối,E0327
E0307,2024-06-12,13,Ca chiều,E0467
E0353,2024-03-04,13,Ca chiều,E0306
E0245,2024-11-19,7,Ca sáng,E0325
E0150,2024-12-26,13,Ca chiều,E0327
E0415,2024-06-19,7,Ca sáng,E0285
E0435,2024-04-25,18,Ca tối,E0327
E0473,2024-04-01,13,Ca chiều,E0348
E0154,2024-12-03,7,Ca sáng,E0327
E0281,2024-07-19,13,Ca chiều,E0348
E0348,2024-08-30,13,Ca chiều,E0348
E0201,2024-02-06,18,Ca tối,E0272
E0145,2024-12-22,7,Ca sáng,E0467
E0202,2024-02-19,7,Ca sáng,E0323
E0386,2024-10-24,7,Ca sáng,E0272
E0235,2024-12-01,7,Ca sáng,E0306
E0071,2024-08-14,18,Ca tối,E0325
E0150,2024-03-15,7,Ca sáng,E0285
E0412,2024-04-10,18,Ca tối,E0327
E0186,2024-10-21,7,Ca sáng,E0424
E0193,2024-08-06,18,Ca tối,E0424
E0475,2024-01-29,7,Ca sáng,E0323
E0499,2024-08-30,7,Ca sáng,E0327
E0061,2024-09-20,18,Ca tối,E0323
E0304,2024-08-10,7,Ca sáng,E0348
E0126,2024-01-18,7,Ca sáng,E0285
E0204,2024-09-07,13,Ca chiều,E0306
E0489,2024-03-29,18,Ca tối,E0348
E0398,2024-12-20,18,Ca tối,E0372
E0399,2024-08-25,18,Ca tối,E0348
E0141,2024-11-19,18,Ca tối,E0325
E0189,2024-01-06,7,Ca sáng,E0372
E0043,2024-03-03,13,Ca chiều,E0467
E0116,2024-01-12,18,Ca tối,E0306
E0294,2024-09-02,13,Ca chiều,E0372
E0407,2024-10-30,7,Ca sáng,E0348
E0248,2024-11-26,18,Ca tối,E0348
E0153,2024-10-19,7,Ca sáng,E0372
E0167,2024-02-02,18,Ca tối,E0467
E0095,2024-07-26,18,Ca tối,E0327
E0202,2024-10-11,18,Ca tối,E0467
E0251,2024-02-02,18,Ca tối,E0306
E0276,2024-12-31,18,Ca tối,E0372
E0386,2024-04-16,18,Ca tối,E0372
E0093,2024-11-02,18,Ca tối,E0424
E0003,2024-10-11,13,Ca chiều,E0323
E0063,2024-01-21,7,Ca sáng,E0306
E0106,2024-11-30,7,Ca sáng,E0372
E0288,2024-05-11,7,Ca sáng,E0372
E0064,2024-09-16,13,Ca chiều,E0323
E0495,2024-10-05,7,Ca sáng,E0348
E0484,2024-12-02,7,Ca sáng,E0285
E0154,2024-01-24,18,Ca tối,E0272
E0338,2024-09-30,13,Ca chiều,E0424
E0296,2024-09-08,18,Ca tối,E0323
E0268,2024-06-29,18,Ca tối,E0467
E0262,2024-04-17,18,Ca tối,E0372
E0340,2024-01-23,7,Ca sáng,E0327
E0097,2024-03-13,13,Ca chiều,E0285
E0491,2024-03-09,18,Ca tối,E0467
E0111,2024-10-29,13,Ca chiều,E0272
E0066,2024-11-14,13,Ca chiều,E0372
E0282,2024-05-10,13,Ca chiều,E0348
E0333,2024-03-24,13,Ca chiều,E0325
E0043,2024-05-10,18,Ca tối,E0348
E0482,2024-12-21,7,Ca sáng,E0467
E0105,2024-02-06,18,Ca tối,E0272
E0325,2024-12-22,18,Ca tối,E0285
E0366,2024-07-09,18,Ca tối,E0467
E0310,2024-03-24,13,Ca chiều,E0424
E0162,2024-08-10,13,Ca chiều,E0327
E0494,2024-11-05,7,Ca sáng,E0372
E0139,2024-03-04,18,Ca tối,E0372
E0351,2024-10-07,13,Ca chiều,E0372
E0169,2024-11-23,7,Ca sáng,E0323
E0466,2024-06-19,13,Ca chiều,E0424
E0445,2024-04-25,13,Ca chiều,E0327
E0051,2024-07-12,7,Ca sáng,E0348
E0488,2024-02-23,7,Ca sáng,E0424
E0270,2024-06-05,18,Ca tối,E0325
E0049,2024-09-27,13,Ca chiều,E0306
E0444,2024-05-24,18,Ca tối,E0272
E0312,2024-02-20,7,Ca sáng,E0424
E0163,2024-07-18,7,Ca sáng,E0323
E0413,2024-12-13,18,Ca tối,E0467
E0305,2024-07-25,13,Ca chiều,E0306
E0066,2024-05-12,7,Ca sáng,E0467
E0366,2024-03-20,18,Ca tối,E0424
E0074,2024-07-12,18,Ca tối,E0272
E0028,2024-11-23,13,Ca chiều,E0285
E0348,2024-11-07,13,Ca chiều,E0325
E0094,2024-08-12,13,Ca chiều,E0325
E0258,2024-05-26,13,Ca chiều,E0348
E0267,2024-04-27,13,Ca chiều,E0372
E0486,2024-06-05,13,Ca chiều,E0323
E0433,2024-02-16,18,Ca tối,E0372
E0040,2024-05-02,7,Ca sáng,E0424
E0295,2024-01-30,7,Ca sáng,E0272
E0284,2024-09-09,7,Ca sáng,E0348
E0347,2024-09-17,18,Ca tối,E0424
E0246,2024-09-11,18,Ca tối,E0467
E0358,2024-03-04,13,Ca chiều,E0327
E0316,2024-04-07,18,Ca tối,E0327
E0366,2024-08-05,18,Ca tối,E0467
E0384,2024-06-25,7,Ca sáng,E0467
E0351,2024-11-07,7,Ca sáng,E0306
E0230,2024-03-27,18,Ca tối,E0467
E0463,2024-04-25,7,Ca sáng,E0372
E0188,2024-03-09,18,Ca tối,E0323
E0488,2024-01-27,13,Ca chiều,E0325
E0195,2024-03-28,13,Ca chiều,E0372
E0174,2024-12-13,7,Ca sáng,E0467
E0436,2024-03-01,13,Ca chiều,E0272
E0248,2024-05-30,13,Ca chiều,E0285
E0002,2024-11-19,18,Ca tối,E0348
E0112,2024-06-05,18,Ca tối,E0467
E0423,2024-01-19,13,Ca chiều,E0306
E0435,2024-09-06,7,Ca sáng,E0323
E0004,2024-11-11,13,Ca chiều,E0323
E0153,2024-06-30,7,Ca sáng,E0327
E0180,2024-04-05,13,Ca chiều,E0323
E0005,2024-02-21,13,Ca chiều,E0325
E0102,2024-02-13,18,Ca tối,E0467
E0461,2024-03-19,13,Ca chiều,E0372
E0468,2024-09-06,7,Ca sáng,E0424
E0394,2024-12-02,13,Ca chiều,E0285
