InvoiceID,DiscountID,AppliedDate
INV033011,DST0061,2022-08-16
INV111980,DST0027,2023-03-22
INV128870,DST0013,2023-10-28
INV021407,DST0014,2024-04-22
INV093620,DST0018,2024-01-12
INV057110,DST0018,2024-05-14
INV087291,DST0016,2022-12-17
INV083948,DST0017,2023-06-12
INV135581,DST0075,2024-10-24
INV037488,DST0047,2022-10-02
INV137505,DST0066,2022-08-26
INV009876,DST0032,2022-07-29
INV144811,DST0071,2024-05-27
INV063864,DST0046,2022-11-16
INV128577,DST0055,2022-11-24
INV085807,DST0006,2024-10-09
INV081854,DST0006,2022-03-05
INV137399,DST0027,2024-10-16
INV028205,DST0038,2024-08-12
INV040056,DST0019,2024-08-05
INV087966,DST0004,2022-01-19
INV048133,DST0042,2023-03-23
INV067410,DST0064,2024-01-31
INV010178,DST0015,2023-12-14
INV007297,DST0046,2024-12-30
INV086123,DST0033,2023-10-25
INV109204,DST0072,2023-11-26
INV057939,DST0018,2022-02-04
INV125299,DST0009,2024-09-07
INV034006,DST0063,2023-03-31
INV062321,DST0040,2023-05-30
INV008217,DST0024,2024-04-20
INV134250,DST0006,2024-02-26
INV115909,DST0038,2024-07-12
INV113173,DST0067,2022-06-13
INV143332,DST0034,2022-08-22
INV097305,DST0061,2023-03-19
INV060113,DST0016,2024-09-11
INV079825,DST0025,2024-12-28
INV127773,DST0016,2022-09-22
INV131368,DST0076,2023-10-23
INV129103,DST0053,2022-07-19
INV149245,DST0064,2023-02-21
INV045958,DST0029,2023-10-23
INV147386,DST0055,2022-01-16
INV106436,DST0076,2024-09-27
INV120924,DST0035,2024-04-25
INV019672,DST0040,2023-10-23
INV124538,DST0032,2024-05-16
INV102964,DST0056,2022-06-19
INV046359,DST0055,2024-05-13
INV124587,DST0030,2022-04-18
INV068524,DST0008,2024-11-27
INV069285,DST0056,2024-07-23
INV095427,DST0034,2023-11-01
INV129246,DST0039,2024-10-04
INV078227,DST0052,2024-12-18
INV131350,DST0070,2023-09-13
INV114711,DST0041,2024-05-12
INV077556,DST0063,2023-03-11
INV053833,DST0066,2024-08-25
INV111006,DST0057,2023-05-01
INV103103,DST0066,2023-11-06
INV020812,DST0073,2022-12-11
INV026835,DST0013,2024-11-20
INV010025,DST0038,2023-05-07
INV139738,DST0062,2023-04-13
INV042491,DST0076,2023-02-17
INV116821,DST0040,2024-07-05
INV042365,DST0068,2022-06-04
INV117626,DST0054,2024-04-23
INV107297,DST0046,2023-02-12
INV014793,DST0029,2023-08-02
INV083237,DST0023,2023-03-14
INV001440,DST0015,2024-05-27
INV062421,DST0063,2024-01-30
INV039849,DST0080,2022-06-23
INV011176,DST0080,2024-11-30
INV146595,DST0046,2022-08-31
INV060170,DST0018,2023-01-28
INV050331,DST0035,2024-08-26
INV048018,DST0022,2022-01-17
INV013606,DST0024,2024-05-28
INV000531,DST0033,2022-05-17
INV145403,DST0041,2024-04-24
INV138475,DST0034,2023-11-26
