BranchID,ProductID,StockQuantity
B001,PRD0198,217
B010,PRD0363,143
B001,PRD0268,71
B007,PRD0545,251
B003,PRD0698,20
B005,PRD1225,213
B010,PRD1199,70
B003,PRD0455,109
B003,PRD0993,186
B002,PRD1189,82
B001,PRD0199,232
B005,PRD1040,197
B004,PRD1246,15
B006,PRD1368,293
B005,PRD1267,241
B008,PRD0366,208
B005,PRD0680,12
B006,PRD0889,62
B004,PRD0544,69
B002,PRD1300,52
B004,PRD0216,258
B008,PRD0714,285
B008,PRD0574,145
B005,PRD0912,183
B008,PRD0745,11
B010,PRD0367,44
B010,PRD1172,92
B002,PRD0193,95
B008,PRD0712,21
B004,PRD0264,93
B002,PRD0009,22
B002,PRD0247,154
B007,PRD0921,119
B009,PRD0764,69
B009,PRD0614,145
B010,PRD1283,165
B002,PRD0938,64
B009,PRD0164,60
B010,PRD1166,82
B009,PRD1425,188
B005,PRD0506,172
B008,PRD1498,64
B008,PRD0746,267
B006,PRD0856,252
B005,PRD0265,245
B004,PRD1124,244
B007,PRD1224,169
B010,PRD0344,260
B010,PRD1432,188
B004,PRD1097,244
B009,PRD0045,249
B009,PRD0514,105
B009,PRD1171,201
B007,PRD0338,53
B006,PRD1070,195
B003,PRD0565,37
B010,PRD0478,70
B006,PRD0521,11
B003,PRD0477,104
B006,PRD1055,138
B006,PRD0731,272
B004,PRD0965,231
B003,PRD0262,175
B007,PRD0559,42
B009,PRD1056,42
B009,PRD0306,185
B002,PRD1473,125
B002,PRD0651,235
B009,PRD1405,260
B007,PRD0040,272
B002,PRD0248,297
B008,PRD1106,145
B007,PRD1311,226
B007,PRD0671,59
B009,PRD0939,293
B007,PRD0322,196
B009,PRD0880,223
B003,PRD1290,24
B005,PRD1299,77
B006,PRD1308,233
B006,PRD0691,233
B005,PRD1052,256
B006,PRD1043,251
B003,PRD0062,124
B004,PRD0438,78
B005,PRD0124,7
B005,PRD0016,277
B006,PRD1218,9
B004,PRD1075,56
B007,PRD0839,277
B004,PRD0934,76
B005,PRD1217,97
B006,PRD0910,161
B005,PRD1495,179
B006,PRD0391,123
B005,PRD0158,232
B001,PRD0633,267
B008,PRD0322,169
B010,PRD1483,87
B001,PRD1095,70
B006,PRD0537,53
B006,PRD0564,123
B004,PRD0589,186
B002,PRD0309,81
B004,PRD1274,136
B005,PRD0231,171
B008,PRD0806,195
B006,PRD0921,245
B001,PRD1420,107
B006,PRD0826,194
B009,PRD0287,45
B005,PRD0036,126
B008,PRD1241,284
B001,PRD0450,8
B002,PRD0476,240
B006,PRD1347,188
B003,PRD0901,201
B003,PRD0707,39
B004,PRD0807,277
B009,PRD1249,49
B008,PRD1446,36
B008,PRD1007,251
B001,PRD0869,279
B009,PRD1327,158
B005,PRD0916,247
B007,PRD1034,21
B010,PRD0090,245
B001,PRD0407,10
B010,PRD0044,147
