CardID,RegistrationDate,LoyalPoint,LevelID,CustomerID
CARD00001,2023-08-15,6654,L2,CUS19362
CARD00002,2024-03-30,320,L2,CUS79782
CARD00003,2023-04-06,2398,L1,CUS74285
CARD00004,2022-02-01,8176,L3,CUS63044
CARD00005,2022-07-22,1938,L1,CUS68277
CARD00006,2020-05-05,4302,L2,CUS68430
CARD00007,2024-02-10,4357,L3,CUS31999
CARD00008,2022-08-24,2544,L1,CUS24975
CARD00009,2023-05-23,4956,L3,CUS64718
CARD00010,2020-06-29,332,L3,CUS12872
CARD00011,2022-08-03,9159,L1,CUS10895
CARD00012,2023-10-26,1908,L2,CUS69525
CARD00013,2023-05-18,8256,L1,CUS10933
CARD00014,2022-08-18,9251,L3,CUS76606
CARD00015,2022-04-05,6391,L3,CUS68965
CARD00016,2024-07-28,9733,L2,CUS05143
CARD00017,2024-12-21,4912,L1,CUS53485
CARD00018,2020-01-25,8687,L1,CUS27118
CARD00019,2022-10-27,2363,L3,CUS48361
CARD00020,2022-06-16,4299,L2,CUS07081
CARD00021,2020-04-23,1564,L1,CUS61199
CARD00022,2022-01-23,1354,L2,CUS79143
CARD00023,2022-10-17,7736,L2,CUS22937
CARD00024,2024-02-18,8200,L2,CUS01481
CARD00025,2020-04-15,7896,L1,CUS01108
CARD00026,2020-10-27,1281,L3,CUS15312
CARD00027,2024-04-29,7526,L3,CUS09092
CARD00028,2021-02-07,6894,L1,CUS02145
CARD00029,2021-09-17,3398,L1,CUS09895
CARD00030,2023-11-20,209,L1,CUS16982
CARD00031,2022-05-16,5241,L2,CUS77024
CARD00032,2020-08-29,8511,L1,CUS22275
CARD00033,2022-05-10,2280,L1,CUS18735
CARD00034,2024-07-25,9817,L2,CUS53778
CARD00035,2024-07-04,6199,L1,CUS29885
CARD00036,2021-08-03,3975,L2,CUS19661
CARD00037,2021-02-11,9710,L3,CUS34843
CARD00038,2024-12-13,3487,L3,CUS48291
CARD00039,2021-03-31,7803,L1,CUS06999
CARD00040,2020-12-16,6544,L3,CUS39433
CARD00041,2022-09-21,9805,L2,CUS01839
CARD00042,2021-05-14,8957,L1,CUS12832
CARD00043,2022-09-04,5741,L1,CUS33550
CARD00044,2021-10-07,1890,L3,CUS71788
CARD00045,2021-06-04,5056,L2,CUS16031
CARD00046,2024-05-07,2238,L3,CUS42201
CARD00047,2021-06-08,7684,L3,CUS14293
CARD00048,2024-02-21,1852,L3,CUS50600
CARD00049,2024-12-11,3228,L3,CUS54210
CARD00050,2024-02-09,320,L3,CUS69901
CARD00051,2024-11-17,3897,L1,CUS50554
CARD00052,2021-10-26,6733,L2,CUS49638
CARD00053,2020-10-30,1690,L1,CUS36003
CARD00054,2020-01-09,4740,L3,CUS32338
CARD00055,2023-01-26,7449,L3,CUS40890
CARD00056,2022-01-10,1616,L1,CUS62916
CARD00057,2021-06-13,3321,L1,CUS65440
CARD00058,2021-06-04,5616,L3,CUS20348
CARD00059,2022-03-18,4128,L1,CUS58945
CARD00060,2024-08-04,7983,L2,CUS47980
CARD00061,2023-01-06,7746,L2,CUS16138
CARD00062,2021-09-11,2175,L2,CUS27355
CARD00063,2021-06-17,2511,L3,CUS69453
CARD00064,2023-08-25,7432,L3,CUS60285
CARD00065,2024-05-05,5146,L1,CUS54008
CARD00066,2020-04-05,6096,L3,CUS06097
CARD00067,2024-08-05,9674,L1,CUS55924
CARD00068,2021-05-10,4925,L3,CUS07215
CARD00069,2021-06-29,6868,L1,CUS67896
CARD00070,2022-05-22,139,L1,CUS33045
CARD00071,2024-08-28,6143,L1,CUS33914
CARD00072,2022-12-04,748,L3,CUS44968
CARD00073,2024-05-20,8280,L1,CUS52061
CARD00074,2021-10-17,1049,L1,CUS27965
CARD00075,2020-04-21,7312,L1,CUS49084
CARD00076,2023-05-29,8628,L2,CUS04789
CARD00077,2023-04-15,8668,L2,CUS01916
CARD00078,2021-05-19,514,L3,CUS72092
CARD00079,2024-01-23,2692,L1,CUS62758
CARD00080,2023-12-18,6577,L2,CUS24249
CARD00081,2022-04-14,2732,L2,CUS68180
CARD00082,2023-06-01,9027,L3,CUS49540
CARD00083,2024-07-14,8703,L1,CUS32487
CARD00084,2022-11-26,1737,L3,CUS34905
CARD00085,2024-12-27,1862,L2,CUS30015
CARD00086,2024-02-24,9263,L2,CUS59795
CARD00087,2021-03-24,4817,L1,CUS23241
CARD00088,2020-02-24,7048,L2,CUS79155
CARD00089,2021-12-24,8650,L2,CUS33915
CARD00090,2022-02-11,4563,L1,CUS59739
CARD00091,2022-07-03,3462,L2,CUS12053
CARD00092,2022-05-25,3604,L3,CUS11451
CARD00093,2023-10-22,4335,L3,CUS55696
CARD00094,2024-11-22,9979,L3,CUS67680
CARD00095,2023-12-21,8930,L2,CUS72553
CARD00096,2021-06-07,984,L3,CUS55063
CARD00097,2022-10-20,9971,L2,CUS45038
CARD00098,2021-08-08,3663,L1,CUS57930
CARD00099,2020-11-22,4690,L2,CUS32497
CARD00100,2022-11-17,3472,L1,CUS00377
CARD00101,2021-12-26,8323,L1,CUS02497
CARD00102,2023-12-15,6483,L1,CUS48317
CARD00103,2021-08-14,6070,L2,CUS14614
CARD00104,2022-05-02,9939,L3,CUS07316
CARD00105,2024-11-25,2659,L1,CUS27315
CARD00106,2024-05-22,6733,L2,CUS76936
CARD00107,2020-09-18,5168,L2,CUS29807
CARD00108,2020-11-23,570,L3,CUS25374
CARD00109,2022-01-15,6074,L2,CUS46549
CARD00110,2023-01-24,4084,L3,CUS58570
CARD00111,2022-04-18,4427,L1,CUS41333
CARD00112,2021-04-11,7192,L2,CUS31887
CARD00113,2023-01-03,8217,L2,CUS45845
CARD00114,2023-12-17,737,L2,CUS53232
CARD00115,2021-06-23,6653,L3,CUS27062
CARD00116,2024-06-09,2428,L1,CUS43990
CARD00117,2021-08-11,1816,L3,CUS05787
CARD00118,2024-10-09,5835,L1,CUS06749
CARD00119,2020-01-10,4239,L3,CUS78633
CARD00120,2021-03-30,1662,L2,CUS06765
CARD00121,2021-10-22,852,L3,CUS63869
CARD00122,2021-07-24,3,L1,CUS66270
CARD00123,2022-09-22,3326,L2,CUS45458
CARD00124,2024-03-29,3310,L3,CUS31416
CARD00125,2020-09-10,4688,L1,CUS55841
CARD00126,2021-12-16,7980,L2,CUS13061
CARD00127,2022-02-13,8535,L1,CUS75603
CARD00128,2022-01-22,9761,L1,CUS56553
CARD00129,2020-01-17,7503,L1,CUS12949
CARD00130,2024-04-15,855,L3,CUS03541
CARD00131,2024-02-13,3518,L1,CUS39194
CARD00132,2024-03-27,5219,L2,CUS36645
CARD00133,2022-12-01,2724,L2,CUS36356
CARD00134,2024-09-13,9583,L2,CUS17453
CARD00135,2020-06-04,547,L1,CUS60067
CARD00136,2024-08-11,8714,L3,CUS02376
CARD00137,2020-06-05,8113,L2,CUS31053
CARD00138,2022-05-10,8231,L1,CUS44850
CARD00139,2024-01-27,5451,L1,CUS25665
