DiscountID,DiscountName,StartDate,EndDate,TargetUser,Percentage,MID
DST0001,Giảm giá khách VIP,2023-01-29,2023-03-25,Khách hàng lần đầu,0.15,E0418
DST0002,Khuyến mãi thanh viên mới,2024-06-13,2024-06-20,Hội viên CLB thú cưng,0.25,E0452
DST0003,Giảm giá dành cho tập thể,2023-04-02,2023-05-04,Khách hàng mới,0.15,E0380
DST0004,Khuyến mãi tặng quà,2023-01-10,2023-02-25,Thành viên VIP,0.25,E0388
DST0005,Giảm giá dịch vụ khám bệnh,2023-08-26,2023-09-27,Tổ chức,0.25,E0351
DST0006,Khuyến mãi mua kèm thức ăn,2023-07-24,2023-08-23,Khách hàng mới,0.05,E0388
DST0007,Khuyến mãi mua kèm thức ăn,2024-04-18,2024-06-14,Doanh nghiệp,0.25,E0418
DST0008,Khuyến mãi cuối tuần,2024-03-11,2024-05-05,Thành viên Cơ Bản,0.25,E0434
DST0009,Flash sale 20% tất cả sản phẩm,2024-02-06,2024-03-10,Thành viên Cơ Bản,0.2,E0434
DST0010,Flash sale 20% tất cả sản phẩm,2024-03-24,2024-04-28,Doanh nghiệp,0.15,E0290
DST0011,Giảm giá dành cho tập thể,2024-06-10,2024-07-30,Tất cả khách hàng,0.2,E0351
DST0012,Flash sale 20% tất cả sản phẩm,2023-10-30,2023-12-03,Tổ chức,0.25,E0417
DST0013,Khuyến mãi thanh viên mới,2023-04-01,2023-05-27,Khách hàng mới,0.25,E0417
DST0014,Khuyến mãi lên băng hàng tháng,2023-09-01,2023-09-24,Hội viên CLB thú cưng,0.05,E0351
DST0015,Khuyến mãi mua kèm thức ăn,2023-09-24,2023-11-05,Nhóm khách hàng đặc biệt,0.05,E0434
DST0016,Giảm giá khách VIP,2023-09-20,2023-11-13,Tất cả khách hàng,0.15,E0491
DST0017,Giảm giá thẻ thành viên,2023-06-26,2023-07-25,Thành viên VIP,0.1,E0290
DST0018,Flash sale 20% tất cả sản phẩm,2023-06-11,2023-07-10,Thành viên Standard,0.15,E0374
DST0019,Giảm giá thẻ thành viên,2023-02-23,2023-03-30,Thành viên Standard,0.05,E0418
DST0020,Flash sale 20% tất cả sản phẩm,2024-03-26,2024-04-28,Thành viên Standard,0.25,E0452
DST0021,Khuyến mãi thanh viên mới,2023-01-14,2023-02-22,Khách hàng lần đầu,0.15,E0491
DST0022,Khuyến mãi cuối tuần,2023-06-30,2023-08-28,Hội viên CLB thú cưng,0.15,E0491
DST0023,Combo vaccine tiêm phòng,2023-02-02,2023-03-07,Thành viên VIP,0.25,E0434
DST0024,Giảm giá thẻ thành viên,2024-06-28,2024-08-08,Khách hàng mới,0.15,E0374
DST0025,Giảm giá thẻ thành viên,2024-05-28,2024-07-11,Tổ chức,0.1,E0418
DST0026,Giảm giá dịch vụ khám bệnh,2023-02-03,2023-03-05,Nhóm khách hàng đặc biệt,0.05,E0452
DST0027,Giảm giá khách VIP,2023-05-22,2023-07-17,Tất cả khách hàng,0.25,E0434
DST0028,Khuyến mãi tặng quà,2023-03-11,2023-03-22,Thành viên Cơ Bản,0.25,E0351
DST0029,Khuyến mãi tặng quà,2023-05-23,2023-07-21,Tổ chức,0.25,E0418
DST0030,Khuyến mãi lên băng hàng tháng,2023-02-20,2023-04-04,Thành viên Cơ Bản,0.05,E0388
DST0031,Combo vaccine tiêm phòng,2024-05-30,2024-07-25,Tổ chức,0.05,E0452
DST0032,Khuyến mãi lên băng hàng tháng,2023-07-13,2023-07-23,Thành viên VIP,0.25,E0418
DST0033,Giảm giá dịch vụ khám bệnh,2023-10-31,2023-12-12,Tất cả khách hàng,0.05,E0380
DST0034,Khuyến mãi tặng quà,2023-09-10,2023-10-15,Doanh nghiệp,0.2,E0380
DST0035,Khuyến mãi tặng quà,2024-05-20,2024-06-24,Doanh nghiệp,0.1,E0418
DST0036,Khuyến mãi cuối tuần,2023-02-25,2023-03-24,Thành viên Cơ Bản,0.05,E0491
DST0037,Khuyến mãi mua kèm thức ăn,2023-05-24,2023-06-01,Thành viên VIP,0.1,E0434
DST0038,Giảm 50% dịch vụ grooming,2024-05-27,2024-06-26,Thành viên VIP,0.2,E0380
DST0039,Khuyến mãi mua kèm thức ăn,2023-07-02,2023-07-11,Thành viên Standard,0.2,E0491
DST0040,Khuyến mãi lên băng hàng tháng,2024-06-02,2024-06-28,Tất cả khách hàng,0.2,E0452
DST0041,Khuyến mãi tặng quà,2023-03-04,2023-05-03,Nhóm khách hàng đặc biệt,0.1,E0351
DST0042,Giảm giá khách VIP,2023-08-14,2023-09-17,Nhóm khách hàng đặc biệt,0.05,E0418
DST0043,Khuyến mãi mua kèm thức ăn,2023-09-18,2023-10-23,Khách hàng mới,0.05,E0418
DST0044,Giảm 50% dịch vụ grooming,2023-10-30,2023-11-22,Thành viên VIP,0.1,E0491
DST0045,Khuyến mãi lên băng hàng tháng,2023-09-26,2023-11-04,Khách hàng mới,0.25,E0434
DST0046,Khuyến mãi mua kèm thức ăn,2023-06-12,2023-07-19,Doanh nghiệp,0.2,E0388
DST0047,Khuyến mãi lên băng hàng tháng,2024-05-19,2024-06-18,Nhóm khách hàng đặc biệt,0.1,E0452
DST0048,Combo vaccine tiêm phòng,2024-04-22,2024-05-02,Khách hàng mới,0.2,E0417
DST0049,Giảm 50% dịch vụ grooming,2024-05-20,2024-06-06,Hội viên CLB thú cưng,0.25,E0434
DST0050,Giảm 50% dịch vụ grooming,2023-07-13,2023-09-10,Hội viên CLB thú cưng,0.2,E0452
DST0051,Giảm giá dành cho tập thể,2023-11-03,2023-12-20,Khách hàng lần đầu,0.15,E0380
DST0052,Giảm giá dành cho tập thể,2023-09-06,2023-10-13,Hội viên CLB thú cưng,0.15,E0417
DST0053,Giảm giá khách VIP,2023-06-04,2023-07-09,Tất cả khách hàng,0.1,E0374
DST0054,Giảm giá dịch vụ khám bệnh,2023-07-20,2023-08-29,Khách hàng mới,0.05,E0380
DST0055,Khuyến mãi lên băng hàng tháng,2023-07-15,2023-07-25,Thành viên Standard,0.2,E0388
DST0056,Flash sale 20% tất cả sản phẩm,2024-06-22,2024-08-17,Nhóm khách hàng đặc biệt,0.25,E0351
DST0057,Khuyến mãi tặng quà,2023-05-18,2023-06-04,Khách hàng mới,0.25,E0434
DST0058,Khuyến mãi cuối tuần,2023-03-05,2023-03-17,Khách hàng lần đầu,0.15,E0452
DST0059,Khuyến mãi tặng quà,2023-10-25,2023-12-08,Tất cả khách hàng,0.25,E0417
DST0060,Combo vaccine tiêm phòng,2023-10-27,2023-11-04,Nhóm khách hàng đặc biệt,0.25,E0388
DST0061,Combo vaccine tiêm phòng,2023-06-22,2023-07-31,Hội viên CLB thú cưng,0.2,E0388
DST0062,Giảm giá dịch vụ khám bệnh,2023-01-08,2023-02-24,Doanh nghiệp,0.25,E0452
DST0063,Flash sale 20% tất cả sản phẩm,2023-09-16,2023-10-20,Hội viên CLB thú cưng,0.2,E0374
DST0064,Khuyến mãi thanh viên mới,2023-11-12,2023-11-25,Nhóm khách hàng đặc biệt,0.1,E0388
DST0065,Flash sale 20% tất cả sản phẩm,2024-01-24,2024-03-05,Nhóm khách hàng đặc biệt,0.25,E0380
DST0066,Combo vaccine tiêm phòng,2023-06-04,2023-07-06,Khách hàng lần đầu,0.05,E0418
