EmployeeID,StartDate,EndDate,Reason,Status,MID
E0424,2024-09-06,2024-09-07,Nghỉ bệnh,Approved,E0418
E0072,2023-10-28,2023-11-01,Nghỉ bệnh,Pending,E0418
E0236,2023-06-11,2023-06-12,Nghỉ phép,Approved,E0380
E0380,2023-10-24,2023-10-27,Việc gia đình,Pending,E0418
E0032,2023-12-27,2023-12-29,Nghỉ phép,Approved,E0290
E0135,2023-11-18,2023-11-23,Nghỉ phép,Pending,E0351
E0069,2024-08-21,2024-08-26,Nghỉ phép,Pending,E0418
E0485,2024-02-02,2024-02-03,Nghỉ phép,Rejected,E0452
E0382,2023-04-19,2023-04-24,Nghỉ bệnh,Rejected,E0452
E0446,2023-03-11,2023-03-12,Nghỉ bệnh,Approved,E0491
E0314,2023-04-16,2023-04-19,Nghỉ phép,Rejected,E0351
E0320,2024-10-14,2024-10-16,Nghỉ phép,Pending,E0388
E0235,2024-06-08,2024-06-13,Nghỉ phép,Pending,E0417
E0167,2024-06-14,2024-06-18,Việc gia đình,Rejected,E0380
E0038,2024-08-15,2024-08-17,Nghỉ bệnh,Approved,E0491
E0395,2024-01-03,2024-01-08,Việc gia đình,Approved,E0388
E0021,2023-01-18,2023-01-20,Nghỉ phép,Rejected,E0417
E0178,2023-06-12,2023-06-13,Việc gia đình,Approved,E0374
E0364,2024-10-31,2024-11-03,Nghỉ phép,Approved,E0418
E0250,2023-11-06,2023-11-11,Nghỉ bệnh,Rejected,E0418
E0154,2023-02-20,2023-02-23,Việc gia đình,Pending,E0452
E0402,2024-08-28,2024-09-02,Việc gia đình,Approved,E0434
E0087,2024-01-08,2024-01-13,Việc gia đình,Pending,E0434
E0235,2024-06-24,2024-06-26,Nghỉ bệnh,Rejected,E0380
E0194,2024-09-01,2024-09-04,Nghỉ phép,Rejected,E0417
E0174,2024-04-12,2024-04-17,Việc gia đình,Rejected,E0491
E0144,2023-09-10,2023-09-11,Nghỉ phép,Approved,E0374
E0315,2023-12-01,2023-12-04,Việc gia đình,Rejected,E0351
E0246,2023-01-05,2023-01-08,Nghỉ bệnh,Pending,E0351
E0170,2024-01-13,2024-01-18,Nghỉ bệnh,Approved,E0380
E0460,2024-09-20,2024-09-22,Việc gia đình,Pending,E0452
E0262,2024-04-29,2024-05-03,Nghỉ bệnh,Rejected,E0374
E0475,2024-03-03,2024-03-07,Nghỉ bệnh,Approved,E0452
E0204,2024-11-21,2024-11-23,Nghỉ phép,Rejected,E0290
E0323,2023-12-23,2023-12-25,Nghỉ bệnh,Pending,E0374
E0492,2024-01-10,2024-01-14,Nghỉ phép,Pending,E0452
E0361,2024-10-31,2024-11-02,Nghỉ bệnh,Pending,E0491
E0277,2023-02-23,2023-02-27,Nghỉ phép,Pending,E0452
E0013,2024-11-03,2024-11-04,Nghỉ bệnh,Pending,E0491
E0410,2023-06-08,2023-06-11,Nghỉ bệnh,Approved,E0388
E0488,2024-03-01,2024-03-03,Nghỉ phép,Rejected,E0434
E0386,2024-05-02,2024-05-03,Việc gia đình,Rejected,E0434
E0464,2024-01-06,2024-01-10,Nghỉ bệnh,Pending,E0491
E0208,2023-05-14,2023-05-15,Việc gia đình,Pending,E0380
E0277,2023-03-19,2023-03-24,Nghỉ phép,Pending,E0417
E0379,2024-03-10,2024-03-12,Việc gia đình,Approved,E0452
E0196,2024-06-15,2024-06-16,Nghỉ bệnh,Pending,E0351
E0168,2024-12-11,2024-12-13,Việc gia đình,Rejected,E0388
E0347,2023-06-22,2023-06-24,Việc gia đình,Pending,E0351
E0235,2024-09-01,2024-09-03,Nghỉ phép,Rejected,E0290
E0135,2023-10-29,2023-11-03,Việc gia đình,Pending,E0351
E0059,2023-11-26,2023-11-27,Nghỉ bệnh,Pending,E0388
E0412,2023-05-08,2023-05-09,Nghỉ phép,Approved,E0417
E0225,2024-08-18,2024-08-20,Nghỉ bệnh,Rejected,E0388
E0159,2024-06-19,2024-06-22,Nghỉ phép,Pending,E0380
E0247,2024-01-04,2024-01-08,Việc gia đình,Pending,E0491
E0256,2023-02-13,2023-02-14,Nghỉ bệnh,Approved,E0374
E0432,2023-03-30,2023-04-01,Nghỉ phép,Approved,E0491
E0292,2023-08-17,2023-08-19,Việc gia đình,Approved,E0417
E0237,2023-12-16,2023-12-19,Việc gia đình,Pending,E0434
E0181,2024-05-28,2024-05-29,Nghỉ bệnh,Pending,E0374
E0421,2024-09-26,2024-10-01,Việc gia đình,Rejected,E0351
E0450,2023-09-22,2023-09-26,Việc gia đình,Pending,E0452
E0273,2024-11-21,2024-11-26,Nghỉ phép,Pending,E0418
E0344,2024-11-01,2024-11-02,Nghỉ phép,Approved,E0491
E0497,2024-03-24,2024-03-29,Việc gia đình,Approved,E0290
E0154,2024-09-08,2024-09-10,Nghỉ phép,Approved,E0388
E0323,2023-09-29,2023-10-04,Nghỉ bệnh,Approved,E0417
E0341,2023-08-02,2023-08-04,Nghỉ bệnh,Rejected,E0491
