NID,Specialization,EducationLevel,DegreeID
E0252,Tiêm ngừa,CĐ,DEG197
E0239,Chăm sóc nội trú,ĐH,DEG130
E0151,Tiêm ngừa,ĐH,DEG039
E0135,Chăm sóc hậu phẫu,ĐH,DEG138
E0158,Chăm sóc nội trú,ĐH,DEG199
E0137,Chăm sóc hậu phẫu,ĐH,DEG049
E0222,Chăm sóc hậu phẫu,CĐ,DEG138
E0169,Chăm sóc hậu phẫu,ĐH,DEG070
E0255,Chăm sóc nội trú,CĐ,DEG096
E0264,Chăm sóc hậu phẫu,ĐH,DEG134
E0202,Chăm sóc nội trú,CĐ,DEG164
E0217,Chăm sóc hậu phẫu,CĐ,DEG156
E0183,Chăm sóc hậu phẫu,CĐ,DEG092
E0130,Tiêm ngừa,ĐH,DEG088
E0176,Chăm sóc hậu phẫu,ĐH,DEG043
E0125,Chăm sóc hậu phẫu,ĐH,DEG128
E0226,Tiêm ngừa,CĐ,DEG122
E0126,Tiêm ngừa,CĐ,DEG032
E0140,Chăm sóc hậu phẫu,ĐH,DEG046
E0147,Chăm sóc hậu phẫu,CĐ,DEG174
E0145,Chăm sóc hậu phẫu,ĐH,DEG164
E0228,Tiêm ngừa,CĐ,DEG048
E0144,Chăm sóc nội trú,CĐ,DEG106
E0123,Chăm sóc nội trú,CĐ,DEG043
E0160,Chăm sóc nội trú,CĐ,DEG083
E0261,Tiêm ngừa,CĐ,DEG020
E0146,Tiêm ngừa,ĐH,DEG023
E0254,Tiêm ngừa,CĐ,DEG108
E0193,Chăm sóc nội trú,CĐ,DEG192
E0133,Chăm sóc hậu phẫu,CĐ,DEG121
E0124,Chăm sóc hậu phẫu,CĐ,DEG070
E0248,Tiêm ngừa,CĐ,DEG048
E0224,Chăm sóc nội trú,CĐ,DEG053
E0230,Chăm sóc hậu phẫu,ĐH,DEG005
E0225,Tiêm ngừa,ĐH,DEG158
E0155,Chăm sóc nội trú,CĐ,DEG093
E0259,Chăm sóc hậu phẫu,CĐ,DEG114
E0212,Chăm sóc hậu phẫu,ĐH,DEG024
E0128,Chăm sóc hậu phẫu,CĐ,DEG020
E0232,Chăm sóc nội trú,ĐH,DEG049
E0139,Tiêm ngừa,CĐ,DEG113
E0178,Chăm sóc nội trú,ĐH,DEG092
E0235,Chăm sóc hậu phẫu,CĐ,DEG054
E0179,Chăm sóc nội trú,ĐH,DEG171
E0243,Tiêm ngừa,ĐH,DEG003
E0163,Tiêm ngừa,ĐH,DEG048
E0198,Chăm sóc nội trú,ĐH,DEG009
E0269,Tiêm ngừa,CĐ,DEG172
E0156,Chăm sóc nội trú,CĐ,DEG194
E0238,Chăm sóc nội trú,CĐ,DEG006
E0263,Chăm sóc hậu phẫu,CĐ,DEG080
E0208,Chăm sóc nội trú,ĐH,DEG144
E0205,Chăm sóc hậu phẫu,ĐH,DEG106
E0221,Chăm sóc hậu phẫu,CĐ,DEG178
E0207,Tiêm ngừa,ĐH,DEG079
E0244,Tiêm ngừa,ĐH,DEG186
E0142,Chăm sóc nội trú,ĐH,DEG083
E0164,Tiêm ngừa,ĐH,DEG102
E0134,Tiêm ngừa,ĐH,DEG114
E0194,Tiêm ngừa,CĐ,DEG071
E0231,Tiêm ngừa,CĐ,DEG033
E0247,Chăm sóc nội trú,CĐ,DEG141
E0121,Tiêm ngừa,CĐ,DEG023
E0161,Chăm sóc nội trú,CĐ,DEG187
E0220,Tiêm ngừa,ĐH,DEG082
E0249,Tiêm ngừa,CĐ,DEG183
E0216,Tiêm ngừa,ĐH,DEG081
E0241,Tiêm ngừa,CĐ,DEG097
E0159,Chăm sóc nội trú,CĐ,DEG045
E0153,Chăm sóc nội trú,CĐ,DEG119
E0227,Chăm sóc hậu phẫu,ĐH,DEG181
E0240,Tiêm ngừa,CĐ,DEG102
E0242,Tiêm ngừa,CĐ,DEG081
E0204,Tiêm ngừa,CĐ,DEG175
E0251,Chăm sóc nội trú,CĐ,DEG068
E0148,Tiêm ngừa,CĐ,DEG157
E0236,Chăm sóc nội trú,ĐH,DEG193
E0122,Chăm sóc hậu phẫu,CĐ,DEG134
E0190,Chăm sóc nội trú,CĐ,DEG179
E0162,Chăm sóc hậu phẫu,CĐ,DEG021
E0206,Chăm sóc hậu phẫu,ĐH,DEG118
E0199,Chăm sóc hậu phẫu,CĐ,DEG062
E0253,Chăm sóc hậu phẫu,CĐ,DEG129
E0234,Chăm sóc hậu phẫu,CĐ,DEG026
E0181,Tiêm ngừa,CĐ,DEG060
E0173,Chăm sóc hậu phẫu,ĐH,DEG093
