ProductID,ProductName,ProductType,SellingPrice
PRD0001,Tunnel chơi thỏ,Đồ chơi,751370
PRD0002,Ký sinh trùng detector,Thiết bị y tế,242905
PRD0003,Bàn chải đánh răng,Thiết bị y tế,996708
PRD0004,Thức ăn thỏ hữu cơ,Thức ăn,433048
PRD0005,Ngoạm cắt móng,Thiết bị y tế,943065
PRD0006,Cát lót thỏ,Phụ kiện,622570
PRD0007,Xịt khử mùi,Chăm sóc da,711660
PRD0008,Kem chống côn trùng,Chăm sóc da,58432
PRD0009,Thức ăn mèo cao cấp,Thức ăn,794584
PRD0010,Thức ăn Tây Ban Nha,Thức ăn,584751
PRD0011,Chuông leng keng,Đồ chơi,129578
PRD0012,Canxi cho chó già,Vitamin,522901
PRD0013,Siro ho cho chó,Dược phẩm,887064
PRD0014,Thức ăn Tây Ban Nha,Thức ăn,714583
PRD0015,Thức ăn mèo cao cấp,Thức ăn,142048
PRD0016,Thức ăn Tây Ban Nha,Thức ăn,139318
PRD0017,Dầu cá tốt cho lông,Vitamin,160019
PRD0018,Dây kéo vải,Đồ chơi,28719
PRD0019,Ký sinh trùng detector,Thiết bị y tế,296789
PRD0020,Xịt khử mùi,Chăm sóc da,286590
PRD0021,Vitamin C dạng bột,Vitamin,678478
PRD0022,Bàn chải đánh răng,Thiết bị y tế,345868
PRD0023,Siro ho cho chó,Dược phẩm,932270
PRD0024,Vitamin B12 tiêm,Dược phẩm,177300
PRD0025,Dây kéo vải,Đồ chơi,686743
PRD0026,Dầu cá tốt cho lông,Vitamin,295843
PRD0027,Giường nằm cho mèo,Phụ kiện,244919
PRD0028,Kem chống côn trùng,Chăm sóc da,380549
PRD0029,Kem chữa ghề,Dược phẩm,267671
PRD0030,Cát lót thỏ,Phụ kiện,131653
PRD0031,Bóng cao su,Đồ chơi,453727
PRD0032,Thức ăn thỏ hữu cơ,Thức ăn,60719
PRD0033,Kháng sinh dạng bột,Dược phẩm,127954
PRD0034,Máy hút bụi lông,Thiết bị y tế,389059
PRD0035,Vitamin C dạng bột,Vitamin,833589
PRD0036,Kem chữa ghề,Dược phẩm,320600
PRD0037,Cát lót thỏ,Phụ kiện,27543
PRD0038,Ký sinh trùng detector,Thiết bị y tế,849254
PRD0039,Thức ăn Tây Ban Nha,Thức ăn,607741
PRD0040,Thuốc tẩy giun,Dược phẩm,846452
PRD0041,Lồng chim,Phụ kiện,112713
PRD0042,Xịt khử mùi,Chăm sóc da,401059
PRD0043,Glucosamine cho khớp,Vitamin,814147
PRD0044,Cây mèo 3 tầng,Đồ chơi,554758
PRD0045,Dây xích chó,Phụ kiện,294333
PRD0046,Thức ăn Tây Ban Nha,Thức ăn,542531
PRD0047,Thức ăn chó Poodle,Thức ăn,951521
PRD0048,Dây kéo vải,Đồ chơi,242213
PRD0049,Kem mềm da,Chăm sóc da,223835
PRD0050,Vitamin C dạng bột,Vitamin,111081
PRD0051,Ngoạm cắt móng,Thiết bị y tế,112696
PRD0052,Bàn chải đánh răng,Thiết bị y tế,578613
PRD0053,Kem chống côn trùng,Chăm sóc da,873795
PRD0054,Probiotic tiêu hóa,Vitamin,346299
PRD0055,Vitamin B12 tiêm,Dược phẩm,350603
PRD0056,Kem chống côn trùng,Chăm sóc da,723723
PRD0057,Kem chữa ghề,Dược phẩm,541532
PRD0058,Dây xích chó,Phụ kiện,759066
PRD0059,Vòng cổ chó thông minh,Phụ kiện,419458
PRD0060,Vitamin C dạng bột,Vitamin,318806
PRD0061,Glucosamine cho khớp,Vitamin,200238
