ServiceID,ServiceName,ServiceDescription,DID
SRV0001,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0079
SRV0002,Khám nha y,Dịch vụ thú y tổng hợp,E0021
SRV0003,Tiêm vắc-xin panleukopenia,Dịch vụ thú y tổng hợp,E0082
SRV0004,Khám sau phẫu thuật,Dịch vụ thú y tổng hợp,E0097
SRV0005,Tiêm vắc-xin distemper,Dịch vụ thú y tổng hợp,E0116
SRV0006,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0078
SRV0007,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0095
SRV0008,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0084
SRV0009,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0001
SRV0010,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0022
SRV0011,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0016
SRV0012,Khám nha y,Dịch vụ thú y tổng hợp,E0048
SRV0013,Khám nha y,Dịch vụ thú y tổng hợp,E0097
SRV0014,Khám nội khoa,Dịch vụ thú y tổng hợp,E0117
SRV0015,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0104
SRV0016,Phẫu thuật da thịt,Dịch vụ thú y tổng hợp,E0016
SRV0017,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0050
SRV0018,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0113
SRV0019,Khám da liễu,Dịch vụ thú y tổng hợp,E0055
SRV0020,Khám nha y,Dịch vụ thú y tổng hợp,E0077
SRV0021,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0080
SRV0022,Khám nha y,Dịch vụ thú y tổng hợp,E0047
SRV0023,Phẫu thuật cắt khối종,Dịch vụ thú y tổng hợp,E0088
SRV0024,Khám chẩn đoán bệnh,Dịch vụ thú y tổng hợp,E0040
SRV0025,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0102
SRV0026,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0055
SRV0027,Khám nha y,Dịch vụ thú y tổng hợp,E0036
SRV0028,Khám nội khoa,Dịch vụ thú y tổng hợp,E0012
SRV0029,Khám nội khoa,Dịch vụ thú y tổng hợp,E0023
SRV0030,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0029
SRV0031,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0021
SRV0032,Khám hậu phục hồi,Dịch vụ thú y tổng hợp,E0018
SRV0033,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0112
SRV0034,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0112
SRV0035,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0038
SRV0036,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0005
SRV0037,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0085
SRV0038,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0090
SRV0039,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0003
SRV0040,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0004
SRV0041,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0095
SRV0042,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0048
SRV0043,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0018
SRV0044,Phẫu thuật chỉnh hình,Dịch vụ thú y tổng hợp,E0094
SRV0045,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0016
SRV0046,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0013
SRV0047,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0016
SRV0048,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0096
SRV0049,Khám hậu phục hồi,Dịch vụ thú y tổng hợp,E0051
SRV0050,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0039
SRV0051,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0091
SRV0052,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0051
SRV0053,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0058
SRV0054,Tiêm vắc-xin hepatitis,Dịch vụ thú y tổng hợp,E0016
SRV0055,Khám nội khoa,Dịch vụ thú y tổng hợp,E0002
SRV0056,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0053
SRV0057,Khám nha y,Dịch vụ thú y tổng hợp,E0062
SRV0058,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0115
SRV0059,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0044
SRV0060,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0088
SRV0061,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0098
SRV0062,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0067
SRV0063,Phẫu thuật cắt khối종,Dịch vụ thú y tổng hợp,E0021
SRV0064,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0009
SRV0065,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0011
SRV0066,Tiêm vắc-xin panleukopenia,Dịch vụ thú y tổng hợp,E0104
SRV0067,Khám da liễu,Dịch vụ thú y tổng hợp,E0065
SRV0068,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0090
SRV0069,Khám da liễu,Dịch vụ thú y tổng hợp,E0079
SRV0070,Phẫu thuật chỉnh hình,Dịch vụ thú y tổng hợp,E0094
SRV0071,Tiêm vắc-xin parvo,Dịch vụ thú y tổng hợp,E0061
SRV0072,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0066
SRV0073,Tiêm vắc-xin hepatitis,Dịch vụ thú y tổng hợp,E0102
SRV0074,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0077
SRV0075,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0099
SRV0076,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0004
SRV0077,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0104
SRV0078,Khám da liễu,Dịch vụ thú y tổng hợp,E0074
SRV0079,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0046
SRV0080,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0119
SRV0081,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0062
SRV0082,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0034
SRV0083,Tiêm vắc-xin dại,Dịch vụ thú y tổng hợp,E0107
SRV0084,Phẫu thuật hóa giải,Dịch vụ thú y tổng hợp,E0049
