BranchID,EmployeeID,StartDate,EndDate
B005,E0035,2022-05-11,2022-09-07
B004,E0294,2022-08-11,2022-09-11
B005,E0192,2021-07-07,2022-06-12
B009,E0459,2023-03-11,2023-06-20
B001,E0372,2020-02-20,2021-02-09
B010,E0020,2023-10-21,2024-06-21
B007,E0060,2021-01-16,2021-03-18
B001,E0432,2023-11-02,2024-04-26
B007,E0317,2021-06-09,2021-07-19
B004,E0174,2020-10-11,2020-11-19
B009,E0031,2022-05-20,2022-10-29
B001,E0386,2023-09-23,2023-12-11
B003,E0238,2021-12-24,2022-07-08
B003,E0069,2022-12-26,2023-02-15
B005,E0105,2022-09-18,2022-11-19
B008,E0405,2020-10-12,2021-06-04
B008,E0394,2021-12-28,2022-06-05
B010,E0014,2022-06-13,2022-12-07
B001,E0496,2022-02-05,2022-11-04
B009,E0413,2023-09-07,2023-12-28
B003,E0176,2020-04-17,2020-06-30
B002,E0153,2021-02-13,2021-05-13
B009,E0154,2021-02-19,2021-10-28
B003,E0259,2020-05-19,2021-02-11
B006,E0353,2022-12-12,2023-07-02
B004,E0500,2020-10-18,2021-03-26
B006,E0025,2022-02-13,2022-05-31
B005,E0003,2021-08-07,2021-11-05
B006,E0034,2020-12-10,2021-12-09
B005,E0484,2022-05-24,2022-08-21
B003,E0067,2023-01-02,2023-12-29
B004,E0367,2023-06-23,2024-06-10
B007,E0152,2022-06-19,2022-12-14
B002,E0236,2023-09-03,2024-06-14
B004,E0409,2023-05-12,2023-08-04
B006,E0311,2022-11-20,2023-04-17
B010,E0252,2022-12-11,2023-06-10
B007,E0084,2022-11-02,2023-09-02
B008,E0089,2022-03-04,2022-05-29
B005,E0126,2021-09-20,2022-01-06
B003,E0171,2021-06-26,2021-12-11
B009,E0036,2022-04-21,2022-09-26
B006,E0402,2021-03-23,2022-01-25
B005,E0289,2020-12-02,2021-08-10
B007,E0383,2022-06-17,2023-03-08
B009,E0236,2021-10-25,2022-03-09
B004,E0394,2023-11-16,2024-02-24
B009,E0075,2021-03-26,2022-01-10
B008,E0079,2022-12-20,2023-10-17
B006,E0126,2023-05-14,2024-02-19
B008,E0216,2023-02-11,2023-09-08
B005,E0395,2021-08-06,2022-04-03
B010,E0394,2021-04-26,2021-11-13
B010,E0338,2022-10-04,2023-07-16
B002,E0248,2021-04-03,2021-11-08
B007,E0050,2022-11-22,2023-07-22
B002,E0118,2021-04-29,2022-04-05
B005,E0234,2020-11-01,2021-02-23
B003,E0334,2022-04-20,2023-01-19
B004,E0479,2022-01-24,2022-05-20
B002,E0158,2020-10-24,2021-02-28
B002,E0083,2020-06-15,2021-03-15
B002,E0249,2023-12-07,2024-03-09
B010,E0090,2020-05-08,2020-08-19
B008,E0395,2020-06-04,2021-04-07
B008,E0400,2023-10-06,2024-04-18
B003,E0469,2023-10-05,2024-02-11
B003,E0051,2020-02-24,2020-08-20
B009,E0012,2021-10-07,2022-05-29
B005,E0394,2022-05-28,2023-05-21
B007,E0436,2020-07-31,2021-02-19
B010,E0282,2023-01-15,2023-10-02
B006,E0314,2021-06-03,2022-02-11
B003,E0127,2022-09-09,2023-05-22
B009,E0237,2020-10-11,2021-04-19
B004,E0092,2023-06-21,2023-12-11
B004,E0316,2022-06-04,2022-10-04
B006,E0299,2022-04-27,2023-01-25
B009,E0017,2022-02-11,2022-12-22
B009,E0202,2023-03-18,2023-05-05
B003,E0155,2023-03-16,2023-11-17
B005,E0218,2021-06-04,2022-01-07
B008,E0146,2023-11-27,2024-04-19
B010,E0296,2023-08-30,2024-05-29
B005,E0451,2023-10-20,2024-02-22
B004,E0192,2023-07-17,2024-01-04
B003,E0244,2022-06-20,2023-06-10
B009,E0159,2021-05-19,2022-04-09
B010,E0460,2022-06-11,2022-08-07
B001,E0058,2023-01-27,2023-04-21
B009,E0169,2020-01-27,2020-07-30
B009,E0029,2022-03-03,2022-10-30
B008,E0199,2023-06-02,2023-12-11
