VID,VaccineID,VaccinationDate,Dosage
SRV0145,VAC0051,2024-02-18 05:56:48,1ml/kg
SRV0007,VAC0110,2023-06-13 04:21:10,1ml/kg
SRV0147,VAC0012,2021-06-26 23:45:43,1ml/kg
SRV0188,VAC0102,2023-04-27 11:04:00,1ml/kg
SRV0186,VAC0008,2024-09-14 01:59:17,1ml/kg
SRV0199,VAC0101,2024-11-24 18:38:21,1ml/kg
SRV0159,VAC0024,2023-03-23 18:05:06,1ml/kg
SRV0154,VAC0055,2024-11-19 05:50:35,1ml/kg
SRV0107,VAC0001,2024-08-19 19:48:18,1ml/kg
SRV0122,VAC0039,2021-06-10 17:23:43,1ml/kg
SRV0003,VAC0036,2022-08-21 14:23:18,1ml/kg
SRV0172,VAC0103,2021-09-27 21:10:01,1ml/kg
SRV0184,VAC0071,2023-06-12 16:54:45,1ml/kg
SRV0071,VAC0060,2023-10-28 01:20:20,1ml/kg
SRV0079,VAC0073,2021-03-21 07:02:50,1ml/kg
SRV0095,VAC0111,2021-04-30 22:54:35,1ml/kg
SRV0169,VAC0120,2021-07-20 07:57:39,1ml/kg
SRV0099,VAC0062,2024-04-11 21:33:16,1ml/kg
SRV0119,VAC0107,2023-11-28 19:01:20,1ml/kg
SRV0094,VAC0001,2024-10-29 11:22:10,1ml/kg
SRV0075,VAC0101,2021-05-30 04:40:28,1ml/kg
SRV0066,VAC0014,2024-06-19 09:34:28,1ml/kg
SRV0005,VAC0097,2022-04-29 13:09:01,1ml/kg
SRV0026,VAC0036,2022-11-20 22:27:00,1ml/kg
SRV0065,VAC0022,2021-10-28 10:25:43,1ml/kg
SRV0096,VAC0014,2021-03-06 14:20:37,1ml/kg
SRV0054,VAC0062,2024-06-30 05:24:11,1ml/kg
SRV0090,VAC0026,2022-04-07 00:30:45,1ml/kg
SRV0187,VAC0103,2021-11-03 23:09:49,1ml/kg
SRV0045,VAC0112,2022-09-11 15:03:55,1ml/kg
SRV0151,VAC0103,2022-11-11 17:58:09,1ml/kg
SRV0153,VAC0055,2023-05-09 15:37:54,1ml/kg
SRV0021,VAC0075,2024-03-15 04:07:43,1ml/kg
SRV0138,VAC0057,2024-09-29 01:18:47,1ml/kg
SRV0175,VAC0116,2021-06-03 17:04:09,1ml/kg
SRV0190,VAC0106,2024-12-19 09:33:23,1ml/kg
SRV0194,VAC0111,2023-08-31 12:04:53,1ml/kg
SRV0156,VAC0008,2021-01-29 14:06:57,1ml/kg
SRV0139,VAC0108,2021-02-09 03:47:54,1ml/kg
SRV0136,VAC0106,2021-04-29 08:08:22,1ml/kg
SRV0083,VAC0056,2024-04-28 10:43:19,1ml/kg
SRV0035,VAC0005,2021-06-07 21:04:17,1ml/kg
SRV0088,VAC0073,2024-12-02 08:39:32,1ml/kg
SRV0046,VAC0054,2021-07-18 01:12:13,1ml/kg
SRV0073,VAC0016,2023-12-07 09:37:03,1ml/kg
SRV0113,VAC0105,2023-04-21 21:05:48,1ml/kg
SRV0077,VAC0042,2021-11-09 16:51:41,1ml/kg
