VaccineID,VaccineName,ExpiryDate,ProductionDate,VaccineType,Manufacturer,SideEffects
VAC0001,Giardia Vaccine,2023-02-16,2022-03-08,Recombinant,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0002,FELV (Feline Leukemia Virus),2021-09-02,2020-05-21,Live attenuated,Pfizer,Sốt cao - mất ăn trong vài ngày
VAC0003,DHP(Distemper - Hepatitis- Parvovirus),2025-01-24,2022-11-20,Vi khuẩn,Pfizer,Phản ứng dị ứng nặng (rất hiếm)
VAC0004,Rabies,2023-07-10,2022-01-22,Live attenuated,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0005,Feline Calicivirus,2022-05-27,2020-02-07,Live attenuated,Merck,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0006,Feline Herpesvirus,2023-08-20,2022-05-14,Hỗn hợp,Zoetis,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0007,Bordetella,2023-04-22,2021-04-09,Hỗn hợp,Elanco,Phản ứng dị ứng nặng (rất hiếm)
VAC0008,FIP (Feline Infectious Peritonitis),2023-04-07,2022-09-14,Hỗn hợp,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0009,Feline Herpesvirus,2025-12-24,2023-07-22,Virus,MSD,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0010,Giardia Vaccine,2023-01-11,2021-06-30,Vi khuẩn,Ceva,Sốt cao - mất ăn trong vài ngày
VAC0011,Feline Calicivirus,2023-07-12,2021-10-16,Vi khuẩn,Virbac,Sưng hạch bạch huyết tạm thời
VAC0012,Feline Panleukopenia,2022-10-30,2020-12-21,Vi khuẩn,Pfizer,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0013,Leptospirosis,2022-11-28,2021-12-05,Virus,Pfizer,Sốt cao - mất ăn trong vài ngày
VAC0014,Leptospirosis,2023-11-10,2022-08-09,Virus,Ceva,Sốt cao - mất ăn trong vài ngày
VAC0015,Giardia Vaccine,2025-01-15,2023-12-11,Vi khuẩn,Merck,Sốt cao - mất ăn trong vài ngày
VAC0016,Rabies,2024-04-15,2022-07-23,Hỗn hợp,Merck,Phát ban nhẹ tại vị trí tiêm
VAC0017,Feline Leukemia,2022-06-21,2020-05-24,Live attenuated,MSD,Sốt cao - mất ăn trong vài ngày
VAC0018,Chlamydia,2024-11-20,2022-10-19,Virus,Boehringer Ingelheim,Phát ban nhẹ tại vị trí tiêm
VAC0019,Feline Herpesvirus,2022-01-05,2021-03-03,Recombinant,Zoetis,Sốt cao - mất ăn trong vài ngày
VAC0020,FELV (Feline Leukemia Virus),2024-10-29,2022-12-24,Recombinant,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0021,FIP (Feline Infectious Peritonitis),2023-01-11,2022-05-09,Hỗn hợp,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0022,Giardia Vaccine,2023-08-12,2021-03-11,Live attenuated,Boehringer Ingelheim,Sưng hạch bạch huyết tạm thời
VAC0023,Chlamydia,2025-10-11,2023-05-10,Live attenuated,Pfizer,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0024,DHP(Distemper - Hepatitis- Parvovirus),2023-12-26,2023-03-08,Hỗn hợp,Pfizer,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0025,Giardia Vaccine,2022-01-28,2020-08-14,Virus,Zoetis,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0026,FIP (Feline Infectious Peritonitis),2021-09-30,2021-02-17,Hỗn hợp,MSD,Phản ứng dị ứng nặng (rất hiếm)
VAC0027,Rabies,2024-07-23,2023-03-28,Recombinant,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0028,Feline Herpesvirus,2026-02-24,2023-11-22,Hỗn hợp,Merck,Phản ứng dị ứng nặng (rất hiếm)
VAC0029,Leptospirosis,2022-02-05,2021-02-27,Virus,Elanco,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0030,Rabies,2022-04-04,2021-05-05,Recombinant,MSD,Phát ban nhẹ tại vị trí tiêm
VAC0031,Feline Leukemia,2022-04-15,2020-10-02,Virus,MSD,Phản ứng dị ứng nặng (rất hiếm)
VAC0032,FIP (Feline Infectious Peritonitis),2022-03-11,2021-01-04,Virus,Zoetis,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0033,Leptospirosis,2022-06-16,2020-05-31,Hỗn hợp,Zoetis,Không có tác dụng phụ đáng kể
VAC0034,DHP(Distemper - Hepatitis- Parvovirus),2024-09-05,2022-11-01,Recombinant,Boehringer Ingelheim,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0035,Chlamydia,2021-07-31,2021-02-01,Recombinant,Merck,Phát ban nhẹ tại vị trí tiêm
VAC0036,DHP(Distemper - Hepatitis- Parvovirus),2025-08-03,2023-08-08,Virus,Pfizer,Không có tác dụng phụ đáng kể
VAC0037,FELV (Feline Leukemia Virus),2022-11-19,2020-08-30,Live attenuated,Elanco,Không có tác dụng phụ đáng kể
VAC0038,FIP (Feline Infectious Peritonitis),2023-11-19,2022-10-27,Live attenuated,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0039,FIP (Feline Infectious Peritonitis),2023-01-09,2021-08-08,Recombinant,Ceva,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0040,FIP (Feline Infectious Peritonitis),2022-07-03,2020-02-19,Recombinant,Pfizer,Sốt cao - mất ăn trong vài ngày
VAC0041,FELV (Feline Leukemia Virus),2022-07-02,2021-04-27,Hỗn hợp,MSD,Sưng hạch bạch huyết tạm thời
VAC0042,Feline Panleukopenia,2021-05-30,2020-06-30,Hỗn hợp,Virbac,Sốt cao - mất ăn trong vài ngày
VAC0043,DHP(Distemper - Hepatitis- Parvovirus),2020-10-19,2020-01-03,Recombinant,Virbac,Sưng hạch bạch huyết tạm thời
VAC0044,Bordetella,2024-05-01,2023-01-09,Recombinant,Elanco,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0045,Leptospirosis,2022-11-28,2021-11-19,Vi khuẩn,Ceva,Phát ban nhẹ tại vị trí tiêm
VAC0046,FIP (Feline Infectious Peritonitis),2022-09-06,2020-09-25,Hỗn hợp,Merck,Phát ban nhẹ tại vị trí tiêm
VAC0047,FELV (Feline Leukemia Virus),2021-09-21,2020-01-06,Vi khuẩn,Ceva,Sưng hạch bạch huyết tạm thời
VAC0048,DHP(Distemper - Hepatitis- Parvovirus),2023-10-22,2021-12-14,Vi khuẩn,Boehringer Ingelheim,Phát ban nhẹ tại vị trí tiêm
VAC0049,Bordetella,2022-05-12,2020-08-27,Vi khuẩn,Merck,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0050,DHP(Distemper - Hepatitis- Parvovirus),2023-06-04,2022-06-04,Recombinant,Boehringer Ingelheim,Phản ứng dị ứng nặng (rất hiếm)
VAC0051,DHP(Distemper - Hepatitis- Parvovirus),2020-10-02,2020-01-23,Hỗn hợp,Boehringer Ingelheim,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0052,Chlamydia,2024-02-01,2022-02-01,Hỗn hợp,Virbac,Không có tác dụng phụ đáng kể
VAC0053,Feline Leukemia,2025-09-10,2023-04-12,Recombinant,Boehringer Ingelheim,Sốt cao - mất ăn trong vài ngày
VAC0054,Feline Herpesvirus,2022-08-03,2021-08-23,Vi khuẩn,Zoetis,Sốt cao - mất ăn trong vài ngày
VAC0055,Feline Panleukopenia,2021-07-15,2020-04-08,Virus,Pfizer,Phát ban nhẹ tại vị trí tiêm
VAC0056,Leptospirosis,2024-10-13,2023-01-21,Virus,Zoetis,Sốt cao - mất ăn trong vài ngày
VAC0057,Chlamydia,2024-06-20,2022-01-06,Vi khuẩn,Merck,Không có tác dụng phụ đáng kể
VAC0058,Feline Leukemia,2023-12-17,2022-09-29,Hỗn hợp,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0059,FIP (Feline Infectious Peritonitis),2023-05-29,2022-08-30,Recombinant,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0060,FELV (Feline Leukemia Virus),2025-06-25,2023-12-28,Hỗn hợp,Boehringer Ingelheim,Sốt nhẹ - sưng vùng tiêm
VAC0061,Rabies,2020-10-28,2020-01-11,Vi khuẩn,MSD,Sưng hạch bạch huyết tạm thời
VAC0062,DHP(Distemper - Hepatitis- Parvovirus),2021-04-09,2020-08-18,Vi khuẩn,Ceva,Phản ứng dị ứng nặng (rất hiếm)
VAC0063,Feline Herpesvirus,2026-01-04,2023-08-28,Virus,Ceva,Sốt cao - mất ăn trong vài ngày
VAC0064,Leptospirosis,2021-05-13,2020-01-29,Virus,Virbac,Sưng hạch bạch huyết tạm thời
VAC0065,Giardia Vaccine,2023-03-01,2021-06-23,Live attenuated,Merck,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0066,Feline Panleukopenia,2024-04-13,2022-05-17,Live attenuated,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0067,Bordetella,2022-06-11,2021-04-11,Live attenuated,Boehringer Ingelheim,Sưng hạch bạch huyết tạm thời
VAC0068,Rabies,2023-09-28,2021-09-23,Hỗn hợp,Virbac,Sốt cao - mất ăn trong vài ngày
VAC0069,FELV (Feline Leukemia Virus),2024-01-03,2022-05-03,Recombinant,Virbac,Phát ban nhẹ tại vị trí tiêm
VAC0070,FELV (Feline Leukemia Virus),2021-12-04,2021-01-10,Hỗn hợp,Virbac,Sưng hạch bạch huyết tạm thời
VAC0071,Leptospirosis,2025-04-05,2023-10-03,Virus,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0072,Chlamydia,2023-01-02,2020-09-06,Virus,Merck,Phản ứng dị ứng nặng (rất hiếm)
VAC0073,Leptospirosis,2021-12-29,2021-05-11,Virus,Elanco,Phản ứng dị ứng nặng (rất hiếm)
VAC0074,Giardia Vaccine,2022-07-22,2021-05-18,Virus,MSD,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0075,Feline Herpesvirus,2022-09-01,2020-06-25,Virus,Zoetis,Sốt nhẹ - sưng vùng tiêm
VAC0076,Chlamydia,2024-11-13,2023-04-05,Virus,MSD,Sốt cao - mất ăn trong vài ngày
VAC0077,FELV (Feline Leukemia Virus),2026-03-28,2023-12-29,Virus,MSD,Không có tác dụng phụ đáng kể
VAC0078,Giardia Vaccine,2023-01-02,2020-08-08,Virus,Pfizer,Phản ứng dị ứng nặng (rất hiếm)
VAC0079,Bordetella,2025-04-03,2023-06-23,Virus,Elanco,Không có tác dụng phụ đáng kể
VAC0080,Feline Leukemia,2023-05-16,2022-04-03,Virus,Elanco,Không có tác dụng phụ đáng kể
VAC0081,Chlamydia,2025-05-02,2023-01-04,Virus,Pfizer,Sốt nhẹ - sưng vùng tiêm
VAC0082,FIP (Feline Infectious Peritonitis),2023-12-05,2022-02-06,Recombinant,Merck,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0083,Chlamydia,2023-10-27,2023-03-17,Live attenuated,Boehringer Ingelheim,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0084,FELV (Feline Leukemia Virus),2021-04-15,2020-01-06,Virus,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0085,DHP(Distemper - Hepatitis- Parvovirus),2022-08-19,2021-03-30,Recombinant,Zoetis,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0086,Giardia Vaccine,2023-07-16,2021-05-29,Virus,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0087,Feline Herpesvirus,2024-08-10,2022-11-07,Vi khuẩn,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0088,Feline Calicivirus,2023-08-05,2023-01-09,Recombinant,Boehringer Ingelheim,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0089,Feline Leukemia,2022-12-24,2020-09-08,Recombinant,MSD,Phản ứng dị ứng nặng (rất hiếm)
VAC0090,Giardia Vaccine,2022-09-19,2021-12-12,Live attenuated,Boehringer Ingelheim,Phản ứng dị ứng nặng (rất hiếm)
VAC0091,Feline Herpesvirus,2025-06-23,2023-11-10,Recombinant,Ceva,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0092,Giardia Vaccine,2024-12-02,2023-07-29,Virus,Boehringer Ingelheim,Không có tác dụng phụ đáng kể
VAC0093,Bordetella,2025-05-25,2023-03-20,Live attenuated,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0094,Feline Herpesvirus,2024-06-20,2022-12-31,Virus,Zoetis,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0095,DHP(Distemper - Hepatitis- Parvovirus),2022-11-07,2022-03-16,Recombinant,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0096,Feline Leukemia,2023-09-18,2021-07-05,Recombinant,Elanco,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0097,Feline Herpesvirus,2024-09-02,2023-03-07,Vi khuẩn,Merck,Sốt cao - mất ăn trong vài ngày
VAC0098,DHP(Distemper - Hepatitis- Parvovirus),2022-01-31,2020-09-21,Vi khuẩn,Merck,Phát ban nhẹ tại vị trí tiêm
VAC0099,Rabies,2024-04-08,2023-08-29,Live attenuated,Merck,Không có tác dụng phụ đáng kể
VAC0100,Leptospirosis,2025-12-21,2023-07-31,Vi khuẩn,Ceva,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0101,Chlamydia,2022-02-03,2020-10-19,Live attenuated,Virbac,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0102,Rabies,2024-06-23,2022-04-05,Recombinant,Pfizer,Phát ban nhẹ tại vị trí tiêm
VAC0103,Chlamydia,2024-11-16,2023-09-14,Vi khuẩn,Elanco,Sưng hạch bạch huyết tạm thời
VAC0104,DHP(Distemper - Hepatitis- Parvovirus),2023-06-16,2021-03-21,Hỗn hợp,Ceva,Sốt cao - mất ăn trong vài ngày
VAC0105,FIP (Feline Infectious Peritonitis),2021-10-20,2021-03-15,Hỗn hợp,Ceva,Không có tác dụng phụ đáng kể
VAC0106,Feline Leukemia,2023-08-20,2021-07-26,Recombinant,Elanco,Sưng hạch bạch huyết tạm thời
VAC0107,Rabies,2025-04-03,2023-12-14,Virus,MSD,Phát ban nhẹ tại vị trí tiêm
